#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IS_NOT_LOVER_OF;Is NOT a Lover of §Y$WHO$§!;N'est pas l'amant(e) de §Y$WHO$§!;Ist KEIN Liebhaber von §Y$WHO$§!;;No es un amante de §Y$WHO$§!;;;;;;;;;x
convert_to_local_culture_desc;I catch myself thinking in the [Root.Capital.Culture.GetName] language all the time. I govern the [Root.Capital.Culture.GetName] people of [Root.Capital.GetName], but am I truly one of them?;Je me surprends à penser en langue [Root.Capital.Culture.GetName] constamment. Je règne sur le peuple [Root.Capital.GetCultureMasc] de [Root.Capital.GetName], mais suis-je réellement l'un[Root.GetNoneE] des leurs ?;Ich ertappe mich ständig dabei, meine Gedanken in der [Root.Capital.Culture.GetName]en Sprache zu formulieren. Ich regiere die [Root.Capital.Culture.GetName]en Menschen aus [Root.Capital.GetName], aber bin ich wahrhaftig einer von ihnen?;; Me sorprendo a mí mismo pensando en el idioma [Root.Capital.Culture.GetName] todo el tiempo. Yo gobierno a los [Root.Capital.Culture.GetName] gente de [Root.Capital.GetName], pero en realidad, soy uno de ellos? ;;;;;;;;;x
convert_to_local_religion;Convert to Local Religion ([Root.Capital.Religion.GetName]);Adopter la religion locale;Konvertiert zur lokalen Religion ([Root.Capital.Religion.GetName]);; Convertir a la religión local ([Root.Capital.Religion.GetName];;;;;;;;;x
convert_to_local_religion_desc;The §Y[Root.Capital.Religion.GetName]§! people in §Y[Root.Capital.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert and embrace the glory of §Y[Root.Capital.Religion.GetRandomGodName]§!...;Les gens de religion §Y[Root.Capital.Religion.GetName]§! de §Y[Root.Capital.GetName]§! m'impressionnent par la profondeur et la passion avec laquelle ils vivent leur foi. J'envisage de me convertir et de faire mienne la gloire §Y[Root.Capital.GetHighGodDuDelaDes]§!.;Die §Y[Root.Capital.Religion.GetName]en§! Menschen in §Y[Root.Capital.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, zu konvertieren und §Y[Root.Capital.Religion.GetRandomGodName]§! zu preisen...;;La gente §Y[Root.Capital.Religion.GetName]§! de §Y[Root.Capital.GetName]§! me impresiona con la profundidad y la pasión de su fe. Estoy tentado a convertirme y abrazar la gloria de §Y[Root.Capital.Religion.GetRandomGodName]§!...;;;;;;;;;x
e_india;India;Inde;Indien;; India;;;;;;;;;x
EVTDESC_RoI_403;Ganges is the embodiment of all sacred waters in Hindu mythology and is personified in the goddess Ganga. As you live fairly close to this great river, your Upadhyaya suggests that you make a visit.;Le Gange incarne toutes les eaux sacrées dans la mythologie hindoue et est personnifié par la déesse Ganga. Étant donné que vous habitez proche de ce grand fleuve, Upadhyaya vous suggère une visite.;Ganges ist die Verkörperung aller heiligen Gewässer in der Hindu-Mythologie und wird durch die Göttin Ganga personifiziert. Da Ihr ganz in der Nähe dieses großen Flusses lebt, rät Euer Upadhyaya Euch zu einem Besuch.;; Ganges es la encarnación de todas las aguas sagradas de la mitología hindú y se personifica en la diosa Ganga. Como vives bastante cerca de este gran río, tu Upadhyaya sugiere que hagas una visita.;;;;;;;;;x
EVTOPTA_RoI_403;I will go.;J'irai.;Ich werde ihm einen Besuch abstatten.;; Iré.;;;;;;;;;x
EVTOPTB_RoI_403;I have no time.;Je n'ai pas le temps.;Ich habe keine Zeit.;; No tengo tiempo.;;;;;;;;;x
EVTDESC_RoI_404;You have arrived at the banks of the Ganges. You enter a temple at the banks of the river, avoiding the throng of the common pilgrims. The sacred waters offer a ritual of purification and will strengthen your link to the divine.;Vous arrivez sur les bords du Gange. Vous pénétrez dans le temple construit sur la rive, prenant soin d'éviter la foule des pèlerins. Les eaux sacrées vous permettront un rituel de purification et renforceront votre relation avec le divin.;Ihr seid am Ufer des Ganges angekommen. Ihr betretet einen Tempel am Flussufer und vermeidet das Gedränge der gewöhnlichen Pilger. Das heilige Wasser bietet die Möglichkeit eines Reinigungsrituals und wird Eure Verbindung zum Göttlichen stärken.;; Has llegado a las orillas del Ganges. Entras en un templo situado a las orillas del río, evitando la multitud de los comunes peregrinos. Las aguas sagradas ofrecen un ritual de purificación y fortalecerá tu vínculo con lo divino.;;;;;;;;;x
EVTOPTA_RoI_404;I descend into the water and Ganga washes away my sins.;Je descends dans les eaux et le Gange me lave de mes péchés.;Ich steige ins Wasser und der Ganges wäscht meine Sünden fort.;; Desciendo en el agua y Ganga lava mis pecados.;;;;;;;;;x
EVTDESC_RoI_3150;Your court guru doesnt' talk much. He gives strange advice and has also been caught drinking on several occasions. You're beginning to doubt that he's a real guru.;Le gourou de votre cour n'es pas très bavard. Il vous donne d'étranges conseils, et on l'a plusieurs fois surpris en train de boire. Vous commencez à douter qu'il soit un véritable gourou.;Euer Hofguru redet nicht viel. Er gibt seltsame Ratschläge und wurde verschiedene Male dabei ertappt, wie er Alkohol zu sich genommen hat. Ihr zweifelt langsam daran, ob er wirklich ein echter Guru ist.;; Tu gurú de la corte no habla mucho. Da consejos extraño y además ha sido pillado bebiendo en varias ocasiones. Estás empezando a dudar de que él sea un gurú real.;;;;;;;;;x
EVTOPTA_RoI_3150;I must investigate this.;Je dois mener une enquête.;Ich muss der Sache auf den Grund gehen.;; Tengo que investigar esto.;;;;;;;;;x
EVTOPTB_RoI_3150;Who cares?;Peu importe;Wen kümmert's?;; ÀA quién le importa?;;;;;;;;;x
EVTDESC_RoI_3151;You've had your court guru watched for several weeks. He secretly drinks and smokes herbs, he keeps sneaking out to pleasure houses in disguise, and spends the money he gets from donations on playing cards.;Vous avez fait surveiller votre gourou pendant plusieurs semaines. Il boit en secret et fume des herbes. Il s'éclipse discrètement pour visiter des lieux de plaisir incognito. Il dépense aux cartes les dons d'argent qu'il reçoit.;Ihr habt Euren Hofguru einige Wochen lang beobachten lassen. Er trinkt heimlich und raucht Kräuter, er schleicht sich verkleidet aus dem Haus, um Freudenhäuser zu besuchen, und gibt das Geld, das er durch Spenden einnimmt, beim Kartenspiel aus.;; Has tenido a tu gurú de la corte bajo observación durante varias semanas. Él bebe y fuma hierba en secreto, va furtivamente a casas de placer disfrazado, y gasta el dinero que recibe de donaciones jugando a las cartas.;;;;;;;;;x
EVTOPTA_RoI_3151;I must confront him.;Je vais lui parler face à face.;Ich muss ihn darauf ansprechen.;; Tengo que enfrentarme a él.;;;;;;;;;x
EVTOPTB_RoI_3151;Actually, that's my kind of guru.;À la réflexion, j'aime bien son style.;Eigentlich mag ich einen solchen Guru.;; En realidad, ese es mi tipo de gurú.;;;;;;;;;x
EVTDESC_RoI_3152;As you confront your court guru over his habits, he breaks down and pleads for mercy: 'I confess, I'm an impostor. Please have mercy on me - I'm just a common man trying to make a living.';Alors que votre gourou entend vos remontrances concernant la vie qu'il mène, il se décompose et implore votre clémence. «Je l'avoue, je suis un imposteur. Ayez pitié de moi, je suis juste un homme du peuple qui tente de gagner sa vie.»;Als Ihr den Hofguru auf seine Gewohnheiten ansprecht, bricht er zusammen und bittet um Gnade: "Ich gebe es zu, ich bin ein Hochstapler. Bitte lasst Gnade walten - ich bin nur ein einfacher Mann, der versucht seinen Lebensunterhalt zu verdienen.";; Como te enfrentas a tu gurú de la corte por sus hábitos, él se viene abajo e implora misericordia: 'Confieso que soy un impostor. Por favor, tenga piedad de mí - Sólo soy un hombre común tratando de ganarse la vida.';;;;;;;;;x
EVTOPTA_RoI_3152;It's the dungeons for you!;Au cachot !;In den Kerker mit dir!;;A los mazmorras contigo!;;;;;;;;;x
EVTOPTB_RoI_3152;Leave my palace now. Your charade is over.;Quittez mon palais dans la seconde. Votre comédie est terminée.;Entferne dich sofort aus meinem Palast. Diese Posse ist vorüber.;; Márchate de mi palacio ahora. Tu farsa se ha terminado.;;;;;;;;;x
EVTDESC_RoI_3100;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a drunkard.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un ivrogne ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen Herrscher, ein Trunkenbold zu sein." Er verbeugt sich und schaut Euch gelassen an.;;Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea un borracho.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTOPTA_RoI_3100;I shall strive to improve.;Je dois améliorer ma conduite.;Ich werde versuchen, mich zu bessern.;; Me esforzaré para mejorar.;;;;;;;;;x
EVTOPTB_RoI_3100;Leave me alone.;Laisse-moi tranquille.;Lass mich in Frieden.;; Déjame en paz.;;;;;;;;;x
EVTOPTC_RoI_3100;No one speaks to me like that!;Personne ne me parle ainsi !;Keiner darf so mit mir sprechen!;;Nadie me habla así!;;;;;;;;;x
EVTDESC_RoI_3101;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be such a hedonist.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un hédoniste ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher ein Hedonist zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan hedonista.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3102;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be known as an impaler.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être un empaleur ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher als Pfähler bekannt zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un noble gobernante sea conocido como un empalador. Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3103;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so lecherous and lustful.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de luxure ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher lüstern und unzüchtig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan libidinoso y lujurioso.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3104;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be gluttonous.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de gourmandise ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher gefräßig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea glotón.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3105;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so greedy.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve d'avarice ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher gierig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan avaro.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3106;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be consumed by envy.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'envier les autres ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher dem Neid erlegen zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea consumido por la envidia.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3107;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so wroth.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de s'emporter constamment ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher ein zornig zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan iracundo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3108;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to have so much pride.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'avoir tellement d'orgueil ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher Stolz zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble tenga tanto orgullo.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3109;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain de faire preuve de partialité ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher willkürlich zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan arbitrario en [Root.GetHerHis] gobierno.' Se inclina y te mira en silencio.;;;;;;;;;x
EVTDESC_RoI_3110;Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so cynical.' He bows and looks at you in silence.;Le gourou de votre cour vient vous voir. « Je dois vous entretenir d'un sujet important, M[Root.GetOnA][Root.GetLordLady]... Nous devons sans cesse chercher la sagesse et tenter de suivre la voie du bien. Il n'est pas convenable pour un noble souverain d'être tellement cynique ». Il s'incline et vous dévisage en silence.;Euer Hofguru bittet um eine Audienz: "Ich muss Euch in einer dringenden Angelegenheit sprechen, [Root.GetLordLady] [Root.GetFirstName]... Wir müssen immer nach Weisheit streben und versuchen, im Leben den rechten Pfad einzuschlagen. Es ziemt sich nicht für einen edlen Herrscher zynisch zu sein." Er verbeugt sich und schaut Euch gelassen an.;; Tu gurú de la corte ha venido a verte: 'Tengo que hablar con usted de un asunto importante, [Root.GetLordLady] [Root.GetFirstName]... Siempre debemos buscar la sabiduría y tratar de caminar por el camino recto en la vida. No es adecuado que un gobernante noble sea tan cínico.' Se inclina y te mira en silencio.;;;;;;;;;x
