#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC61212;[Root.Regent.GetFirstName] stabs wildly in the air with [Root.Regent.GetHerHis] dagger, missing you by a hair's breadth as you leap away in panic. Guards rush inside and pull your regent away as [Root.Regent.GetSheHe] screams, "Why won't you die?!";[Root.Regent.GetFirstName] fend l'air devant [Root.Regent.GetLuiElle] avec sa dague vous ratant d'un cheveux alors que vous esquivez, paniqué[Root.GetNoneE]. Les gardes se ruent dans la salle et trainent hors de votre vue votre régent[Root.Regent.GetNoneE] alors qu'[Root.Regent.GetIlElle] hurle : « Pourquoi ne voulez-vous pas mourir ?! »;[Root.Regent.GetFirstName] wirbelt [Root.Regent.GetHerHis]en Dolch wild durch die Gegend und verfehlt Euch um Haaresbreite, während Ihr panisch versucht zu entwischen. Die Wachen stürmen herein und zerren Euren "Wieso wollt Ihr nicht einfach sterben?!" schreienden Regenten davon.;;"[Root.Regent.GetFirstName] acuchilla violentamente al aire con su daga, fallando a darte por los pelos de un calvo mientras huyes presa del pánico. Los guardias entran corriendo y le reducen mientras grita ""¡¿Por qué no te mueres?!""";;;;;;;;;x
EVTTOOLTIP61213;Thrown into a dark cell.;Jeté dans une cellule sombre.;In eine dunkle Zelle geworfen worden.;;Encerrádlo en la mazmorra más oscura.;;;;;;;;;x
YEARLY_INCOME_LESS_THAN;Yearly income less than ;Revenus annuels inférieurs à;Jahreseinkommen unter ;;Ingresos anual inferiores a ;Entrate annuale inferiori a ;;;;;;;;x
YEARLY_INCOME_GREATER_THAN;Yearly income greater than ;Revenus annuels supérieurs à;Jahreseinkommen über ;;Ingresos anual superiores a ;Entrate annuale superiori a ;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_SETUP;Landed title changes de jure liege;Le titre foncier change de seigneur de jure;Landtitel verändert De-jure-Lehnsherren;;El título nobiliario cambia señor de facto;;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_LOG;After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§!, the §Y$TITLE$§! is now considered part of it.;Après §Y$YEARS$§! années passées sous le joug de §Y$NEW_LIEGE$§!, le §Y$TITLE$§! est désormais considéré comme faisant partie de celui-ci.;Nach §Y$YEARS$§! Jahren Zugehörigkeit zum §Y$NEW_LIEGE$§! wird der Titel §Y$TITLE$§! nun als legitimer Teil davon angesehen.;;Después de §Y$YEARS$§! años bajo la §Y$NEW_LIEGE$§!, el §Y$TITLE$§! ahora se considera parte de ella.;;;;;;;;;x
TITLE_CANNOT_USURP_REL_HEADS;Cannot usurp religious head titles;Impossible d'usurper les titres de chefs religieux;Religiöse Oberhaupt-Titel sind nicht übernehmbar;;No se puede usurpar los principales títulos religiosos;;;;;;;;;x
INTERACTION_REQUIRES_NOT_IN_REVOLT;§Y[Actor.GetTitledFirstName]§! is not in revolt;§Y[Actor.GetTitledFirstName]§! n'est pas en révolte;§Y[Actor.GetTitledFirstName]§! revoltiert nicht;;§Y[Actor.GetTitledFirstName]§! no está en la revuelta;;;;;;;;;x
INTERACTION_REQUIRES_TP_IS_NOT_LIEGE;§Y[Actor.GetTitledFirstName]§! is not a vassal of §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! n'est pas un vassal de §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! ist nicht ein Vasall von §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;§Y[Actor.GetTitledFirstName]§! no es un vasallo de §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;x
BROKEN_SAVEGAME;§RBROKEN SAVEGAME§!;§RSAUVEGARDE CORROMPUE§!;§RDEFEKTER SPIELSTAND§!;;§RPARTIDA GUARDADA ROTO§!;;;;;;;;;x
