#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
employ_court_physician_tooltip;Ensure the entire realm knows you are looking for a candidate for the position of Court Physician.\n;Vous vous assurez que tout le pays sache que vous êtes à la recherche d'un candidat pour le poste de physicien de la Cour.\n;Ihr solltet im gesamten Reich verlauten lassen, dass Ihr nach einem Anwärter für die Stelle des Hofarztes sucht.\n;;Asegúrate de que todo el reino sepa que buscas un/a candidato/a al puesto de §YMédico de la corte§!.\n;;;;;;;;;x
EVTDESC_RIP_11050;You have sent messengers and scouts out in all directions to scour the realm for skilled physicians that would be willing to take up residence in your court. Word should reach you shortly if they manage to find a suitable candidate. Hopefully they will not bring back a quacksalver...;Vous avez envoyé vos messagers et éclaireurs dans toutes les directions pour fouiller le pays à la recherche d'un physicien compétent qui serait d'accord pour rejoindre votre Cour. La nouvelle vous parviendra rapidement s'ils réussissent à trouver un candidat convenable. Espérons qu'ils ne ramèneront pas un charlatan...;Ihr habt Boten und Kundschafter in alle Himmelsrichtungen ausgesandt, um einen talentierten Arzt in Eurem Reich zu finden, der bereit ist, sich an Eurem Hof niederzulassen. Ihr solltet bald Berichte über ihre Fortschritte erhalten. Hoffentlich bringen sie Euch keinen Quacksalber ...;;Has enviado mensajeros y exploradores en todas direcciones en busca de médicos diestros que deseen establecerse en tu corte. Muy pronto sabrás si han encontrado un/a candidato/a viable. Es de esperar que no traigan ningún charlatán...;;;;;;;;;x
EVTOPTA_RIP_11050;I hope I do not have to wait long.;J'espère ne pas avoir à attendre longtemps.;Ich hoffe, ich muss nicht allzu lange warten.;;Ojalá no tenga que esperar mucho.;;;;;;;;;x
EVTOPTA_RIP_11053;I have changed my mind, I do not require [recruited_physician_target.GetHerHis] services.;J'ai changé d'avis, je n'ai pas besoin de ses services.;Ich habe meine Meinung geändert. Ich benötige die Dienste dieser Person nicht.;;He cambiado de idea, no preciso [recruited_physician_target.GetHerHis] servicios.;;;;;;;;;x
EVTDESC_RIP_11053_VILLAGE_DRUNKARD;Your scouts inform you of a most skilled physician residing in a nearby village. Even though [recruited_physician_target.GetSheHe] lacks any formal schooling and supposedly is a raging alcoholic, the villagers swear that [recruited_physician_target.GetSheHe] has been able to cure any ailment afflicting them. This '[recruited_physician_target.GetFullName]' could easily be persuaded to come take up residence in your court.;Vos éclaireurs vous informent qu'un physicien très compétent réside dans un village voisin. Bien qu'[recruited_physician_target.GetIlElle] soit dépourvu[recruited_physician_target.GetNoneE] de toute éducation formelle, qu'[recruited_physician_target.GetIlElle] serait alcoolique et qu'[recruited_physician_target.GetIlElle] ferait preuve de violence, les villageois jurent qu'[recruited_physician_target.GetIlElle] a été en mesure de guérir toutes les maladies les affligeant. C[recruited_physician_target.GetEEtte] « [recruited_physician_target.GetFullName] » pourrait facilement être persuadé[recruited_physician_target.GetNoneE] de venir s'installer à votre Cour.;Eure Kundschafter berichten über einen äußerst talentierten Hofarzt in einem nahen Dorf. Obwohl [recruited_physician_target.GetSheHe] zwar keine formelle Ausbildung genossen hat und häufig zu tief ins Glas schauen soll, schwören die Dorfbewohner, dass [recruited_physician_target.GetSheHe] bisher noch jedes Gebrechen heilen konnte. Es sollte ein Leichtes sein, [recruited_physician_target.GetFullName] davon zu überzeugen, sich am Hof einzurichten.;;Tus exploradores te informan de un médico muy diestro que reside en un pueblo cercano. Aunque [recruited_physician_target.GetSheHe] carece de educación formal y al parecer es un/a tremendo/a alcohólico/a, los habitantes del pueblo juran que [recruited_physician_target.GetSheHe] fue capaz de curar todas las dolencias que les afectaban. Se podría persuadir fácilmente a tal '[recruited_physician_target.GetFullName]' a establecerse en tu corte.;;;;;;;;;x
EVTOPTB_RIP_11053;I'm willing to take the risk.;Je prends le risque.;Ich werde das Risiko eingehen.;;Estoy dispuesto a correr el riesgo.;;;;;;;;;x
EVTDESC_RIP_11053_SHIPS_PHYSICIAN;Reports reach you about a ship that just docked in [physician_port_target.GetName]. The ship is called 'Storm of [recruited_physician_target.Religion.GetRandomGodNameCap]' and on board resides the renowned physician [recruited_physician_target.GetFirstNameWithNick], who is currently in the employ of the ship's captain. If you were to offer a large sum of gold to the greedy physician, [recruited_physician_target.GetSheHe] would surely be willing to take up residence in your court instead!;Des rapports font état d'un navire arrimé à [physician_port_target.GetName] qui est appelé « La tempête envoyée par [recruited_physician_target.Religion.GetRandomGodName] » et à bord se trouve le physicien réputé [recruited_physician_target.GetFirstNameWithNick], qui est actuellement au service du capitaine du bateau. Si vous offriez une grande quantité d'or à l'avide physicien, [recruited_physician_target.GetIlElle] accepterait certainement de s'installer à votre Cour !;Ihr erhaltet Berichte über ein Schiff, das gerade in [physician_port_target.GetName] eingetroffen ist. An Bord des Schiffs mit dem Namen [recruited_physician_target.Religion.GetRandomGodNameCap]-Sturm arbeitet [recruited_physician_target.GetFirstNameWithNick] als Schiffsarzt im Dienste des Kapitäns. Wenn Ihr eine ordentliche Summe Gold investiert, würde [recruited_physician_target.GetSheHe] sicher gierig zugreifen und sich stattdessen an Eurem Hof niederlassen!;;Te informan de que un barco acaba de atracar en [physician_port_target.GetName]. La nave se llama 'Tormenta de [recruited_physician_target.Religion.GetRandomGodNameCap]' y a bordo reside el/la famoso/a médico, [recruited_physician_target.GetFirstNameWithNick], que ahora mismo está al servicio del capitán del barco. ¡Si ofreces una gran cantidad de oro al/a la codicioso/a médico, [recruited_physician_target.GetSheHe] seguramente aceptará con placer establecerse en tu corte!;;;;;;;;;x
EVTOPTC_RIP_11053;I'd pay any price for good health.;Je paierai n'importe quel prix pour une bonne santé.;Für meine Gesundheit ist mir kein Preis zu hoch.;;Pagaré lo que sea por una buena salud.;;;;;;;;;x
EVTDESC_RIP_11053_WISE_DWARF;Your rangers report that a brilliant physician is supposedly residing deep in the forests of [physician_forest_target.GetName]. The physician, a dwarf named [recruited_physician_target.GetFirstName], only ever leaves the forest in order to heal the sick children of nearby villages. With the right amount of coercion and praise [recruited_physician_target.GetSheHe] would reluctantly agree to take up residence at your court.;Vos gardes forestiers rapportent qu'un brillant physicien résiderait dans une forêt de [physician_forest_target.GetName]. Le physicien, un nain nommé [recruited_physician_target.GetFirstName], ne quitte jamais la forêt afin de guérir les enfants malades des villages voisins. Avec le bon dosage de coercition et de louange, [recruited_physician_target.GetIlElle] accepterait à contrecœur de s'installer à votre Cour.;Eure Kundschafter berichten, dass ein brillanter Arzt tief in den Wäldern von [physician_forest_target.GetName] hausen soll. Dieser Zwerg namens [recruited_physician_target.GetFirstName] verlässt den Wald nur, um die kranken Kinder in den umliegenden Dörfern zu behandeln. Mit genügend Überredungskunst und überschwänglichem Lob würde [recruited_physician_target.GetSheHe] sich vielleicht widerstrebend bereit erklären, an Eurem Hof zu dienen.;;Tus exploradores te informan que al parecer un/a médico brillante reside en lo profundo de los bosques de [physician_forest_target.GetName]. El/La médico, un/a enano/a llamado/a [recruited_physician_target.GetFirstName], solo sale del bosque para curar a los niños enfermos de las aldeas cercanas. Con una adecuada cantidad de coerción y halagos, [recruited_physician_target.GetSheHe] aceptaría a regañadientes establecerse en tu corte.;;;;;;;;;x
EVTOPTD_RIP_11053;A strange little [recruited_physician_target.GetManWoman], but very skilled! Bring [recruited_physician_target.GetHerHim] to my court.;Un[recruited_physician_target.GetNoneE] [recruited_physician_target.GetManWoman] de petite taille et étrange, mais qui a les compétences requises ! Amenez-[recruited_physician_target.GetLeLa] à ma Cour.;Ein Kleinwüchsiger - aber talentiert. An meinen Hof mit ihm!;;¡Un/a [recruited_physician_target.GetManWoman] algo peculiar, pero con mucho talento! Traed[recruited_physician_target.GetHerHim] a mi corte.;;;;;;;;;x
EVTDESC_RIP_11053_JEWISH_EXILE;Shortly after you spread the word of you seeking the employ of a court physician a Jewish exile appeared at your court. The exile introduced [recruited_physician_target.GetHerselfHimself] as [recruited_physician_target.GetFullName] and explained that [recruited_physician_target.GetSheHe]'d served as physician to many rulers before, and as such offers [recruited_physician_target.GetHerHis] services to you in return for fair pay.;Peu de temps après que vous avez annoncé être à la recherche d'un physicien pour votre Cour, une personne de confession juive en exil s'est présentée comme étant [recruited_physician_target.GetFullName]. [recruited_physician_target.GetIlElleCap] a expliqué avoir servi comme physicien auprès de nombreux souverains auparavant, et en tant que tel, vous propose ses services en échange d'un juste salaire.;Kurz nachdem Ihr verlauten habt lassen, dass Ihr einen Hofarzt sucht, erscheint [recruited_physician_target.GetFullName] an Eurem Hof. [recruited_physician_target.GetSheHeCap] ist jüdischen Glaubens und erklärt, in der Position des Hofarztes schon vielen Herrschern gedient zu haben. Gegen ein angemessenes Entgelt möchte [recruited_physician_target.GetSheHe] gerne in Eure Dienste treten.;;Al poco de hacer saber que buscas contratar un médico para la corte, un/a exiliado/a judío/a aparece en tu corte. Este/a se presenta a [recruited_physician_target.GetHerselfHimself] como [recruited_physician_target.GetFullName] y explica que [recruited_physician_target.GetSheHe] ha trabajado con anterioridad como médico de muchos gobernantes y como tal ofrece [recruited_physician_target.GetHerHis] servicio a cambio de una paga justa.;;;;;;;;;x
EVTOPTE_RIP_11053;I accept your generous offer!;J'accepte votre généreuse offre !;Ich nehme Euer großzügiges Angebot an!;;¡Acepto tu generosa oferta!;;;;;;;;;x
EVTDESC_RIP_11053_CONDEMNED_SORCERER;Your [Root.GetSpymasterName], [Root.job_spymaster.GetTitledFirstName], reports that a heretical sorcerer has been caught and jailed in the city of [sorcerer_city_target.GetName]. This 'sorcerer' has apparently healed various ailments afflicting the other prisoners. Although [recruited_physician_target.GetSheHe] is scheduled for execution at noon, you could pardon [recruited_physician_target.GetHerHim] and bring [recruited_physician_target.GetHerHim] into your employ.;Votre [Root.GetSpymasterName], [Root.job_spymaster.GetTitledFirstName], rapporte qu'un sorcier hérétique se trouve derrière des barreaux à la cité de [sorcerer_city_target.GetName]. Ce « sorcier » a apparemment soigné des affections touchant les autres prisonniers. Bien que son exécution soit prévue à midi, vous pourriez [recruited_physician_target.GetLeLa] gracier pour qu'[recruited_physician_target.GetIlElle] travaille pour vous.;[Root.GetSpymasterName] [Root.job_spymaster.GetTitledFirstName] berichtet über einen ketzerischen Hexer, der in [sorcerer_city_target.GetName] gefasst und eingekerkert wurde. Dieser sogenannte Zauberer konnte angeblich die Gebrechen mehrerer Mithäftlinge heilen. Obwohl er zur Mittagsstunde hingerichtet werden soll, könntet Ihr seine Begnadigung erwirken und ihn an Euren Hof holen.;;Tu [Root.GetSpymasterName], [Root.job_spymaster.GetTitledFirstName] informa que un/a hechicero/a hereje ha sido capturado y encerrado en la ciudad de [sorcerer_city_target.GetName]. Al parecer, este/a 'hechicero/a' ha curado las dolencias que afligían a los otros presos/as. Aunque [recruited_physician_target.GetSheHe] será ejecutado/a al mediodía, podrías perdonar[recruited_physician_target.GetHerHim] y poner[recruited_physician_target.GetHerHim] a tu servicio.;;;;;;;;;x
EVTOPTF_RIP_11053;Most unorthodox... but I do need a physician!;Peu orthodoxe, mais j'ai besoin d'un physicien !;Höchst unorthodox ... aber ich brauche einen Arzt!;;Muy poco ortodoxo... ¡pero necesito un médico!;;;;;;;;;x
EVTDESC_RIP_11053_CYNICAL_CLERGYMAN;A while after you spread the word that you are seeking the employ of a court physician one of the [Root.Religion.GetPriestTitle]s from [clergyman_temple_target.GetName] arrived at your court. The cynical [Root.Religion.GetPriestTitle] introduced [recruited_physician_target.GetHerselfHimself] as [recruited_physician_target.GetFirstNameWithNick] and expressed a wish to serve you. Although, seeing as this individual is shunned by the rest of the [Root.Religion.GetPriestTitle]s the religious authorities are unlikely to approve...;Un certain temps après que vous ayez annoncé chercher un physicien pour votre Cour, un [Root.Religion.GetPriestTitle] de [clergyman_temple_target.GetName] est arrivé à votre Cour. Avec un certain cynisme, [recruited_physician_target.GetIlElle] se nomme [recruited_physician_target.GetLuiElle]-même [recruited_physician_target.GetFirstNameWithNick] et a exprimé le souhait de vous servir. Cependant, cette personne est évitée par les autres [Root.Religion.GetPriestTitle]s, et les autorités religieuses n'approuveraient pas une telle décision...;Einige Zeit nach Eurem Aufruf zur Suche eines Hofarztes erscheint ein(e) [Root.Religion.GetPriestTitle] von [clergyman_temple_target.GetName] an Eurem Hof. Diese zynische Person stellte sich als [recruited_physician_target.GetFirstNameWithNick] vor und tat den Wunsch kund, Euch zu dienen. Da diese Person jedoch von den übrigen Angehörigen ihres Glaubens gemieden wird, werden die religiösen Autoritäten dieser Anstellung sicherlich keinen Segen erteilen.;;Al poco de haber hecho saber que buscas contratar un médico para la corte, uno/a de los/as [Root.Religion.GetPriestTitle]s de [clergyman_temple_target.GetName] llega a tu corte. El/La cínico/a [Root.Religion.GetPriestTitle] se presenta [recruited_physician_target.GetHerselfHimself] como [recruited_physician_target.GetFullName] y expresa su deseo de servirte. Sin embargo, viendo que este individuo es rechazado por el resto de los/as [Root.Religion.GetPriestTitle]s, es improbable que las autoridades religiosas lo aprueben...;;;;;;;;;x
EVTOPTG_RIP_11053;Leave your dusty old tomes and join me at my court!;Laissez vos gros volumes poussiéreux et rejoignez ma Cour !;Lasst Eure staubigen alten Wälzer zurück und kommt an meinen Hof!;;¡Abandona tus tomos polvorientos y únete a mí en mi corte!;;;;;;;;;x
EVTDESC_RIP_11053_CHINESE_DOCTOR;While scouring the silk road market in [chinese_silk_road_target.GetName] your scouts came across a Chinese traveler. This traveler, named [recruited_physician_target.GetFirstName], claims to be a traveling surgeon-poet of renowned skill - a claim the scouts were unable to verify. [recruited_physician_target.GetSheHeCap] offers to join your court in return for adequate compensation.;Alors qu'ils longeaient la route de la soie, vos éclaireurs ont rencontré un voyageur chinois à [chinese_silk_road_target.GetName]. [recruited_physician_target.GetIlElleCap] se nomme [recruited_physician_target.GetFirstName] et déclare être un chirurgien-poète aux habiletés réputées - une affirmation que les éclaireurs furent incapables de vérifier. [recruited_physician_target.GetIlElleCap] propose de rejoindre votre Cour en échange d'une compensation adéquate.;Auf einem Markt an der Seidenstraße in [chinese_silk_road_target.GetName] entdeckten Eure Kundschafter eine reisende Person aus China namens [recruited_physician_target.GetFirstName]. [recruited_physician_target.GetSheHeCap] gab an, ein reisender Chirurgenpoet zu sein, doch Eure Kundschafter konnten den Wahrheitsgehalt dieser Aussage nicht bestätigen. [recruited_physician_target.GetSheHeCap] würde sich gegen angemessene Entschädigung gerne an Eurem Hof verdingen.;;Mientras registraban un mercado de la Ruta de la seda en [chinese_silk_road_target.GetName], tus exploradores se encontraron un/a viajero/a chino. Este/a viajero/a, de nombre [recruited_physician_target.GetFirstName] afirma ser un/a cirujano-poeta/cirujano-poetisa errante de fama reconocida, una afirmación que los exploradores no pudieron confirmar. [recruited_physician_target.GetSheHeCap] se ofrece a unirse a tu corte por una compensación adecuada.;;;;;;;;;x
EVTOPTH_RIP_11053;A surgeon-poet is just what I need!;Un chirurgien-poète est justement ce dont j'ai besoin !;Poesie und Chirurgie sind genau das, was ich brauche!;;¡Cirugía y poesía, justo lo que necesito!;;;;;;;;;x
EVTDESC_RIP_11053_ARAB_SCHOLAR;News reaches you of a traveling Arabic scholar who just arrived on a ship in the harbor of [arab_scholar_trade_post_target.GetName]. The scholar, named [recruited_physician_target.GetFullName], is rumored to be working on a compendium of medical treatments - this likely makes [recruited_physician_target.GetHerHim] a willing candidate for the position of physician, as [recruited_physician_target.GetSheHe] would be able to continue [recruited_physician_target.GetHerHis] work at your court!;Des nouvelles font état d'un érudit arabe à bord d'un navire qui vient juste d'amarrer dans le port de [arab_scholar_trade_post_target.GetName]. L'érudit, nommé [recruited_physician_target.GetFullName], serait en train de travailler sur un recueil des traitements médicinaux, ce qui en fait un candidat prêt pour le poste de physicien, puisqu'[recruited_physician_target.GetIlElle] serait capable de continuer son travail à votre Cour.;Ihr erhaltet Berichte über eine[recruited_physician_target.GetnMale] reisende[recruited_physician_target.GetnMale] arabische[recruited_physician_target.GetnMale] Gelehrte[recruited_physician_target.GetnMale] namens [recruited_physician_target.GetFullName]. [recruited_physician_target.GetSheHeCap] ist gerade mit einem Schiff im Hafen von [arab_scholar_trade_post_target.GetName] angekommen und soll an einem Kompendium über medizinische Behandlungsweisen arbeiten. [recruited_physician_target.GetSheHeCap] würde sich also vermutlich ideal für die Stelle des Hofarztes eignen und könnte an Eurem Hof weiter am Kompendium arbeiten!;;Te llegan noticas de un/a sabio/a árabe de viaje que acaba de llegar en barco al puerto de [arab_scholar_trade_post_target.GetName]. Del/De la sabio/a, de nombre [recruited_physician_target.GetFullName] se rumorea que trabaja en un compendio de tratamientos médicos. Esto [recruited_physician_target.GetHerHim] haría interesarse en el puesto de médico, pues [recruited_physician_target.GetSheHe] podría continuar [recruited_physician_target.GetHerHis] trabajo en tu corte!;;;;;;;;;x
EVTOPTI_RIP_11053;Bring [recruited_physician_target.GetHerHim] to me!;Amenez-[recruited_physician_target.GetLeLa] à moi !;Willkommen an meinem Hof!;;¡Traed[recruited_physician_target.GetHerHim] ante mí!;;;;;;;;;x
EVTDESC_RIP_11053_BELOVED_WISE_MAN;Word has reached you of a much beloved old [recruited_physician_target.GetManWoman] named [recruited_physician_target.GetFirstName] that resides in a nearby village. The old [recruited_physician_target.GetManWoman] spends [recruited_physician_target.GetHerHis] days freely helping the villagers with various medical matters, such as concocting herbal remedies and amputating infected limbs. [recruited_physician_target.GetSheHeCap] agrees to take up residence at your court if you donate a large sum of gold to the village.;Un[recruited_physician_target.GetNoneE] [recruited_physician_target.GetManWoman] à l'âge avancé dont on ne dit que du bien et que l'on nomme [recruited_physician_target.GetFirstName] habite dans un village voisin. [recruited_physician_target.GetIlElleCap] passe ses journées à aider gratuitement les villageois sur des questions médicinales, en concoctant des remèdes à base de plantes et en amputant des membres infectés. [recruited_physician_target.GetIlElleCap] est d'accord pour s'installer à votre Cour si vous donnez une grande quantité d'or au village.;In einem nahegelegenen Dorf wohnt [recruited_physician_target.Getderdie] alte [recruited_physician_target.GetFirstName]. [recruited_physician_target.GetSheHeCap] ist dort äußerst beliebt und hilft den Dorfbewohnern großzügig in medizinischen Angelegenheiten, braut Heilmittel aus Kräutern oder amputiert infizierte Gliedmaßen. [recruited_physician_target.GetSheHeCap] erklärt sich damit einverstanden, an Euren Hof zu ziehen, wenn Ihr dem Dorf eine ansehnliche Menge an Gold spendet.;;Ha corrido la voz sobre [recruited_physician_target.GetFirstName], un/a [recruited_physician_target.GetManWoman] viejo/a y querido/a que reside en una aldea cercana. Este/a [recruited_physician_target.GetManWoman] pasa los días ayudando a los aldeanos en diferentes asuntos médicos, preparando [recruited_physician_target.GetHerHis] remedios a base de hierbas y amputando miembros infectados. [recruited_physician_target.GetSheHeCap] acepta establecerse en tu corte si aceptas donar una gran suma de dinero a la aldea.;;;;;;;;;x
EVTOPTJ_RIP_11053;A fair exchange!;Un échange équitable !;Ein gerechter Tausch!;;¡Un intercambio justo!;;;;;;;;;x
EVTDESC_RIP_11053_WANDERING_GENIUS;Your scouts report of a one-eyed [recruited_physician_target.GetManWoman] that recently arrived in [Root.Capital.GetName]. The [recruited_physician_target.GetManWoman], referred to as [recruited_physician_target.GetFirstNameWithNick] by the commoners, is apparently blessed with immense wisdom that [recruited_physician_target.GetSheHe] uses to both impress and help wherever [recruited_physician_target.GetSheHe] passes by. By offering a significant sum of gold to this [recruited_physician_target.GetManWoman] [recruited_physician_target.GetSheHe] would be willing to cease [recruited_physician_target.GetHersHis] wandering and take up residence in your court!;Vos éclaireurs vous disent qu'un[recruited_physician_target.GetNoneE] [recruited_physician_target.GetManWoman] borgne est récemment arrivé[recruited_physician_target.GetNoneE] à [Root.Capital.GetName]. Les roturiers l'appellent [recruited_physician_target.GetFirstNameWithNick] et la nature lui a apparemment fait don d'une immense sagesse qu'[recruited_physician_target.GetIlElle] utilise afin d'impressionner et d'aider partout où [recruited_physician_target.GetIlElle] passe. En lui offrant une quantité d'or significative, [recruited_physician_target.GetIlElle] acceptera de cesser ses pérégrinations et de venir s'installer à votre Cour !;Eure Kundschafter berichten von einem einäugigen Mann, der kürzlich in [Root.Capital.GetName] eingetroffen ist. Er wird vom einfachen Volk [recruited_physician_target.GetFirstNameWithNick] genannt und scheint mit erstaunlichem Wissen gesegnet zu sein, mit welchem er zu beeindrucken und zu helfen weiß, wo auch immer er auftaucht. Für viel Gold würde er das Wanderleben aufgeben und sich an Eurem Hof niederlassen!;;Tus exploradores informan de un/a [recruited_physician_target.GetManWoman] de un solo ojo que hace poco llegó a [Root.Capital.GetName]. Este/a [recruited_physician_target.GetManWoman], a quien los plebeyos apodan [recruited_physician_target.GetFirstNameWithNick], por lo visto, está bendecido con una sabiduría inmensa que [recruited_physician_target.GetSheHe] usa tanto para impresionar como ayudar a todos los que se cruzan con [recruited_physician_target.GetSheHe]. Si ofreces a este/a [recruited_physician_target.GetManWoman] una considerable suma de oro, ¡estaría dispuesto/a a terminar sus andanzas y establecerse en tu corte!;;;;;;;;;x
EVTOPTK_RIP_11053;Make [recruited_physician_target.GetHerHim] a generous offer.;Faisons-lui une offre généreuse.;Macht dieser Person ein großzügiges Angebot.;;Haced[recruited_physician_target.GetHerHim] una oferta generosa.;;;;;;;;;x
EVTDESC_RIP_11053_ERUDITE_HERBALIST;Your rangers report of an erudite herbalist that resides in a hut in the outskirts of a nearby town. The herbalist, named [recruited_physician_target.GetFirstName], seems eager to accept the offer of becoming your personal physician, and has prepared an immense bundle of strange herbs to be delivered to the court should [recruited_physician_target.GetSheHe] be accepted.;Vos gardes forestiers rapportent qu'un[recruited_physician_target.GetNoneE] herboriste érudit[recruited_physician_target.GetNoneE] réside dans une cabane en périphérie d'une ville voisine. [recruited_physician_target.GetFirstName] semble enthousiaste à l'idée de devenir votre physicien, et a préparé un immense paquet d'herbes étranges à distribuer à la Cour au cas où [recruited_physician_target.GetIlElle] serait embauché[recruited_physician_target.GetNoneE].;Eure Kundschafter bringen Nachrichten über eine[recruited_physician_target.GetnMale] kräuterkundige[recruited_physician_target.GetnMale] Gelehrte[recruited_physician_target.GetnMale], [recruited_physician_target.Getderdie] in einer Hütte am Rande einer nahegelegenen Stadt haust. [recruited_physician_target.GetFirstName] scheint darauf zu brennen, an Eurem Hof zu praktizieren und hat eine große Auswahl an merkwürdigen Kräutern zusammengestellt, die an Euren Hof geliefert werden, sollte [recruited_physician_target.GetSheHe] von Euch eingestellt werden.;;Tus exploradores informan de un/a herbolario/a erudito/a que vive en una choca en las afueras de un pueblo cercano. El/La herbolario/a, de nombre [recruited_physician_target.GetFirstName], parece con muchas ganas de aceptar la oferta de convertirte en tu médico personal y ha preparado un inmenso lío de hierbas extrañas que entregará en la corte si [recruited_physician_target.GetSheHe] resulta aceptado.;;;;;;;;;x
EVTOPTL_RIP_11053;Ah yes, herbal remedies sound good. Bring [recruited_physician_target.GetHerHim] to court!;Les remèdes à base de plantes semblent bien. Amenez-[recruited_physician_target.GetLeLa] à la Cour !;Oh, ja. Kräuterheilkunde klingt vortrefflich. Bringt [recruited_physician_target.GetHerHim] an meinen Hof!;;Ah, sí, remedios a base de hierbas suenan bien. ¡Traed[recruited_physician_target.GetHerHim] a la corte!;;;;;;;;;x
