#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
haughty;Haughty;Enfant au caractère hautain;Überheblich;;altanero/a;;;;;;;;;x
focus_ed_martial_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of military strategy and war.\n§GRowdy§! and §GWillful§! children will do better with this education, while §RTimid§! children and §RIdolizers§! will be hampered.;[This.GetTitledFirstName] concentre ses études sur la stratégie militaire et la guerre.\nLes enfants §Gchahuteurs§! et §Gopiniâtres§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rtimides§! et §Ridolâtres§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Militärstrategie und die Kriegführung.\n§GRauflustige§! und §Geigenwillige§! Kinder haben es dabei leicht, während §Rzaghafte§! und §Rmanipulierbare§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios sobre las de estrategia militar y guerra.\nA los niños §GRuidosos§! y §GObstinados§! Les irá mejor con esta educación, mientras que los niños §RTimidos§! y §RAdoradores§! encontrarán problemas.;;;;;;;;;x
focus_ed_stewardship;Stewardship;Intendance;Verwaltung;;Administración;;;;;;;;;x
focus_ed_stewardship_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on bookkeeping and administration.\n§GBrooding§! and §GConscientious§! children will do better with this education, while §RIndolent§! and §RHaughty§! children will be hampered.;[This.GetTitledFirstName] concentre ses études sur la comptabilité et l'administration.\nLes enfants §Gsongeurs§! et §Gconsciencieux§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rveules§! et §Rhautains§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Buchhaltung und Verwaltung.\n§GGrüblerische§! und §Ggewissenhafte§! Kinder haben es dabei leicht, während §Rträge§! und §Rüberhebliche§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en contabilidad y administración.\n\nA los niños §Gpensativos§! y §Gconcienzudos§! les irá mejor con esta educación, mientras que los niños §RIndolentes§! y §Raltaneros§! encontrarán problemas.;;;;;;;;;x
focus_ed_stewardship_title;Stewardship Education;Éducation à l'intendance;Grundlagen der Verwaltung;;Educación de la administración;;;;;;;;;x
focus_ed_intrigue;Intrigue;Intrigue;Intrige;;Intriga;;;;;;;;;x
focus_ed_intrigue_title;Intrigue Education;Éducation aux intrigues;Intrigante Ausbildung;;Educación de intriga;;;;;;;;;x
focus_ed_intrigue_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of intrigue and acting in the shadows.\n§GPlayful§! and §GFussy§! children will do better with this education, while §RRowdy§! and §RAffectionate§! children will be hampered.;[This.GetTitledFirstName] concentre ses études sur les intrigues et l'art de manœuvrer dans les ombres.\nLes enfants §Gespiègles§! et §Gpointilleux§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rchahuteurs§! et §Rtendres§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Intrige und die Sphäre des Verborgenen.\n§GVerspielte§! und §Gpingelige§! Kinder haben es dabei leicht, während §Rrauflustige§! und §Rherzliche§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en las formas de intriga y actuar en las sombras.\nA los niños §Gjuguetones§! y §Gquisquillosos§! les irá mejor con esta educación, mientras que los niños §RRuidosos§! y §Rafectuosos§! encontrarán problemas.;;;;;;;;;x
focus_ed_learning;Learning;Érudition;Bildung;;Conocimiento;;;;;;;;;x
focus_ed_learning_title;Learning Education;Éducation à l'érudition;Bildungsorientierte Ausbildung;;Educación de conocimiento;;;;;;;;;x
focus_ed_learning_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on learning, philosophy and religion.\n§GTimid§! children and §GIdolizers§! will do better with this education, while §RBrooding§! and §RPlayful§! children will be hampered.;[This.GetTitledFirstName] concentre ses études sur la connaissance, la philosophie et la religion.\nLes enfants §Gtimides§! et §Gidolâtres§! s'en sortiront mieux avec cette éducation, alors que les enfants §Rsongeurs§! et §Respiègles§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Philosophie, Religion und Bildung.\n§GZaghafte§! und §Gmanipulierbare§! Kinder haben es dabei leicht, während §Rgrüblerische§! und §Rverspielte§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios en aprender filosofía y religión.\nLos niños\n§GTimidos§!y §GAdoradores les irá mejor con esta educación, mientras que los niños §RMelancólicos§! y §RJuguetonesn§! encontrarán problemas.;;;;;;;;;x
INSULT_USELESS;useless;inutile;nutzlose[Root.GetrMale];;inútil;;;;;;;;;x # male female
INSULT_SNEAK;sneak;de mouchard[Root.GetNoneE];Herumschleicher[Root.GetinFemale];;soplón/ona;;;;;;;;;x # male female child
silence_is_golden;Silence is Golden;Le silence est d'or.;Schweigen ist Gold;;En boca cerrada no entran moscas;;;;;;;;;x
silence_is_golden_desc;This character wisely chose to keep quiet.;Ce personnage a intelligemment choisi de rester discret.;Dieser Charakter zieht es klugerweise vor, zu schweigen.;;Este personaje sabiamente ha decidido callarse.;;;;;;;;;x
EVTDESCA_ZE_12000;I've come across [haughty_events_char_1.GetTitledFirstNameWithNick] kissing one of the servant folk in a hallway.;J'ai croisé [haughty_events_char_1.GetTitledFirstNameWithNick] en train d'embrasser l'un des serviteurs dans les couloirs.;Ich habe gesehen, wie [haughty_events_char_1.GetTitledFirstNameWithNick] im Gang einen Dienstboten küsste.;;Me he encontrado a [haughty_events_char_1.GetTitledFirstNameWithNick] besando a un sirviente en un pasillo.;;;;;;;;;x
EVTOPTA_ZE_12000;It's inappropriate, and I will tell [haughty_events_char_1.GetHerHim]!;C'est inapproprié, et je compte bien lui dire !;Das ist ungehörig, und das werde ich [haughty_events_char_1.Getihmihr] sagen!;;¡Es inapropiado, y se [haughty_events_char_1.GetHerHim] diré!;;;;;;;;;x
EVTOPTB_ZE_12000;It's our secret, right?;C'est notre petit secret, hein ?;Das ist unser Geheimnis, in Ordnung?;;Este es nuestro secreto, ¿verdad?;;;;;;;;;x
EVTDESCB_ZE_12000;Walking across the yard, I see [haughty_events_char_1.GetTitledFirstName] angrily beating a dog with a heavy stick.;En traversant la cour, j'ai aperçu [haughty_events_char_1.GetTitledFirstName] en train de frapper violemment un chien à coups de bâton.;Als ich über den Hof gehe, sehe ich, wie [haughty_events_char_1.GetTitledFirstName] ärgerlich mit einem Knüppel auf einen Hund einschlägt.;;Caminando por el patio, veo a [haughty_events_char_1.GetTitledFirstName] pegando furiosamente a un perro con un palo pesado.;;;;;;;;;x
EVTDESCC_ZE_12000;Walking outside, I come upon some commoners along the road. One of them calls out, saying I look lovely today.;En me promenant à l'extérieur, je croise des manants sur la route. L'un d'eux me fait remarquer ma beauté en cette belle journée.;Beim Spaziergang begegnen mir ein paar Leute aus dem Volk. Einer von ihnen ruft mir zu, dass ich heute entzückend aussehe.;;Dando un paseo por fuera, me encuentro a algunos plebeyos por el camino. Uno de ellos me llama, diciendo que hoy tengo un bonito aspecto.;;;;;;;;;x
EVTOPTE_ZE_12000;I'll see him punished for addressing me like that!;Je m'assurerai qu'il soit puni pour s'être adressé à moi de la sorte !;Ich sorge dafür, dass er für diese freche Bemerkung bestraft wird!;;¡Haré que le castiguen por dirigirse a mí de ese modo!;;;;;;;;;x
EVTOPTF_ZE_12000;I'll nod and accept the compliment graciously.;J'opinerai du chef et accepterai le compliment gracieusement.;Ich nicke und nehme das Kompliment würdevoll an.;;Asentiré y aceptaré el elogio graciosamente.;;;;;;;;;x
EVTOPTE_ZE_12000_TOOLTIP1;Peasants get angry.;Les paysans se mettent en colère.;Die Bauern werden böse.;;Los campesinos se enfadan.;;;;;;;;;x
EVTOPTE_ZE_12000_TOOLTIP2;Peasants are subdued.;Les paysans restent silencieux.;Die Bauern werden unterworfen.;;Los campesinos son sometidos.;;;;;;;;;x
EVTOPTC_ZE_12000;I'll pick up a stick and beat him instead!;Je vais plutôt me saisir d'un bâton et le frapper !;Ich nehme mir selbst einen Knüppel und schlage auf den Übeltäter ein.;;¡Cogeré un palo y le pegaré a él!;;;;;;;;;x
EVTOPTD_ZE_12000;I think I'll join in!;Je pense me joindre à eux !;Da mache ich doch sofort mit!;;¡Creo que me uniré a él!;;;;;;;;;x
EVTDESCA_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, the wretched child [From.GetFirstName] comes upon us and promptly starts chiding me about morals!;Alors que je passe un bon moment en cuisine en charmante compagnie, l'incorrigible [From.GetFirstName] vient vers nous et commence à me faire la morale !;Gerade als es bei meinem Techtelmechtel mit dem Koch interessant wird, kommt dieses verwünschte Kind, [From.GetFirstName], zu uns und beginnt, mir einen Vortrag über Moral zu halten.;;Cuando estoy pasando un momento agradable a solas con el cocinero atractivo, el desgraciado de [From.GetFirstName] nos encuentra y al punto comienza a reprenderme sobre la moral.;;;;;;;;;x
EVTDESCB_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, young [From.GetFirstName] comes upon us. However, [From.GetSheHe] only winks in complicity and sneaks away.;Alors que je passe un bon moment en cuisine en charmante compagnie, [From.GetFirstName] vient vers nous. Cependant, [From.GetIlElle] se contente de me faire un clin d'œil et poursuit son chemin.;Gerade als es bei meinem Techtelmechtel mit dem Koch interessant wird, platzt Klein [From.GetFirstName] herein und zwinkert mir vielsagend zu, bevor [From.GetSheHe] lautlos verschwindet.;;Mientras paso un momento agradable a solas con el cocinero atractivo, el/a joven [From.GetFirstName] nos descubre. Sin embargo, [From.GetSheHe] sólo nos guiña un ojo en complicidad y se va.;;;;;;;;;x
EVTOPTA_ZE_12002;I'll catch the brat and give [From.GetHerHim] a good hiding!;Je vais l'attraper et lui flanquer une bonne correction !;Ich werde das Balg am Schlafittchen packen und ihm den Hintern versohlen!;;¡Agarraré a ese mocoso/a y [From.GetHerHim] daré una buena tunda!;;;;;;;;;x
EVTOPTB_ZE_12002;It doesn't matter.;Ça n'a pas d'importance.;Es spielt keine Rolle.;;No importa.;;;;;;;;;x
#EVTOPTC_ZE_12002;I should bring [FRom.GetHerHim] soime candy later.;;Ich sollte [From.Getihmihr] später ein paar Süßigkeiten schenken.;;[FRom.GetHerHim] llevaré dulces más tarde.;;;;;;;;;x
EVTDESCA_ZE_12004;[From.GetTitledFirstName] didn't take kindly to my chiding. [From.GetSheHeCap] caught me and gave me a good beating.;[From.GetTitledFirstName] n'a pas apprécié que je lui fasse la morale. [From.GetIlElleCap] m'a flanqué une sacrée raclée.;[From.GetTitledFirstName] hat mein Tadel nicht gepasst. [From.GetSheHeCap] hat mich erwischt und mir eine ordentliche Tracht Prügel verpasst.;;[From.GetTitledFirstName] no se tomó bien mi reprimenda. [From.GetSheHeCap] me cogió y me dio una buena paliza.;;;;;;;;;x
EVTOPTA_ZE_12004;The [GetRootFromInsult]! I will tell everyone!;L'espèce [GetRootFromInsultNounAdj] ! Je vais le dire à tout le monde !;Dann werde ich eben allen davon erzählen!;;¡Será [GetRootFromInsult]! ¡Se lo contaré a todo el mundo!;;;;;;;;;x
EVTOPTB_ZE_12004;I'll hide so [From.GetSheHe] doesn't find me again.;Je vais me cacher pour qu'[From.GetIlElle] ne me trouve pas.;Ich muss mich besser verstecken, damit [From.GetSheHe] mich nicht mehr findet.;;Me esconderé para que [From.GetSheHe] no me vuelva a encontrar.;;;;;;;;;x
EVTDESCA_ZE_12006;[From.GetFirstName], the [GetRootFromInsult], went around and told everyone lies about me, as childish revenge for the deserved beating I gave [From.GetHerHim].;[From.GetFirstName], l'espèce [GetRootFromInsultNounAdj] a raconté des mensonges à tout le monde me concernant pour se venger de la correction reçue.;[From.GetFirstName] erzählte überall Lügen über mich. Das war die kindische Rache für die Tracht Prügel, die ich [From.Getihmihr] verpasst habe.;;[From.GetFirstName], ese [GetRootFromInsult], me rodeó y le contó a todo el mundo mentiras sobre mí, como venganza infantil por la merecida paliza que [From.GetHerHim] di. ;;;;;;;;;x
EVTDESCB_ZE_12006;As I turned, the dog bit me in the ankle and [From.GetFirstName] managed to get away, but has since been skulking around eyeing me with hatred.;En me retournant, le chien m'a mordu les chevilles, et [From.GetFirstName] a réussi à s'enfuir, rôdant depuis dans le coin en me lançant des regards noirs.;Als ich mich umdrehte, biss mir der Hund ins Bein und [From.GetFirstName] konnte entwischen. Seitdem werde ich von dem Balg hasserfüllt beobachtet.;;Al girarme, el perro me mordió en el tobillo y [From.GetFirstName] consiguió escapar, pero se ha estado acechándome desde entonces y mirándome con odio.;;;;;;;;;x
EVTDESCC_ZE_12002;As I'm beating a rabid dog in the yard, the little cur [From.GetFirstName] runs up and starts hitting me with a stick.;Alors que je frappe un chien enragé dans la cour, [From.GetFirstName] accourt et commence à me frapper à coups de bâton.;Als ich auf dem Hof einen tollwütigen Köter verprügle, kommt dieses Gör [From.GetFirstName] und fängt an, mit einem Stecken auf mich einzuschlagen.;;Mientras pegaba a un perro rabioso en el patio, el pequeño bellaco de [From.GetFirstName] se acerca y empieza a pegarme con un palo. ;;;;;;;;;x
EVTDESCD_ZE_12002;As I'm beating a rabid dog in the yard, little [From.GetFirstName] runs up and joins in the beating.;Alors que je frappe un chien enragé dans la cour, [From.GetFirstName] accourt et commence à me frapper à coups de bâton.;Als ich auf dem Hof einen tollwütigen Köter verprügle, kommt Klein [From.GetFirstName] und hilft mit.;;Mientras pegaba a un perro rabioso en el patio, el pequeño [From.GetFirstName] se acerca y se une a la paliza.;;;;;;;;;x
EVTOPTD_ZE_12002;I'll show the [GetRootFromInsult]!;Je vais lui montrer, espèce [GetRootFromInsultNounAdj] !;Ich werde mich dafür rächen!;;¡Se va enterar ese [GetRootFromInsult]!;;;;;;;;;x
EVTOPTE_ZE_12002;How weak, how adorable.;Tellement faible, tellement adorable.;Wie schwach ... und wie süß.;;Que débil, qué adorable.;;;;;;;;;x
EVTOPTF_ZE_12002;There's room for everyone.;Il y a de la place pour tout le monde.;Es ist Platz für jeden.;;Hay sitio para todos.;;;;;;;;;x
