#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC62921;[From.GetDynName] has decided to found the [From.PrimaryTitle.GetTier] of León. The ancient [From.PrimaryTitle.GetTier] of Asturias is no more!;[From.GetDynName] a décidé de créer le [From.PrimaryTitle.GetTier] de León. L'ancien [From.PrimaryTitle.GetTier] des Asturies n'est plus !;[From.GetDynName] hat beschlossen, das [From.PrimaryTitle.GetTier] von León zu gründen. Das alte [From.PrimaryTitle.GetTier] Asturien ist damit Geschichte!;;[From.GetDynName] ha decidido fundar [From.PrimaryTitle.GetTier] de León. El antiguo [From.PrimaryTitle.GetTier] de Asturias ya no existe más!;;;;;;;;;x
SM_CONTEXTSOUND;Dynamic Ambient Sounds;Sons contextuels;Kontextsound;;Sonido de contexto;;;;;;;;;x
BUILD_FORT_DESC;Forts can be built in any counties that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.;Vous pouvez construire des forts dans les comtés que vous contrôlez, y compris dans les comtés ennemis occupés. Construire un fort coûte §Y$COST$§!¤. Les forts pérennisent l'occupation de territoires nomades vides et annulent la forte attrition dans les terres païennes.;Der Bau von Forts ist in allen Provinzen, die von Euch kontrolliert werden, möglich, auch in feindlichen, wenn Ihr dort Truppen stationiert habt. Der Bau kostet §Y$COST$§!¤. Forts ermöglichen es, leere Nomadenprovinzen dauerhaft zu besetzen, und sie wirken der vernichtenden Zermürbung entgegen, die im Territorium mancher heidnischer Stämme auftritt.;;Las fortalezas pueden ser construidas en cualquier provincia que controlas, así como en las provincias hostiles donde tienes tropas presentes. Cuesta §Y$COST$§!¤ para construir. Las fortalezas cierran tu ocupación de provincias de nómada vacías y niegue la pena de desgaste aplastante sufrida en algunas patrias Paganas.;;;;;;;;;x
POPULATION_EFFECT_SCALED;$DIRECTION$ $VALUE$ of Population;$DIRECTION$ $VALUE$ en population;$DIRECTION$ $VALUE$ der Bevölkerung;;$DIRECTION$ $VALUE$ de la población;;;;;;;;;x
DISBAND_SUBUNIT;Disband Regiment;Disperser le régiment;Regiment auflösen;;Disuelva regimiento;;;;;;;;;x
CONFIRM_DISBAND_TITLE_SUBUNIT;Do you wish to dismiss this regiment?;Souhaitez-vous démobiliser ce régiment ?;Wollt Ihr dieses Regiment entlassen?;;Deseas descartar este regimiento?;;;;;;;;;x
create_aragon;Create Aragon;Créer Aragon;Aragon gründen;;Crear Aragon;;;;;;;;;x
create_portugal;Create Portugal;Créer le Portugal;Portugal gründen;;Crear Portugal;;;;;;;;;x
create_castille;Create Castille;Créer Castille;Kastilien gründen;;Crear Castilla;;;;;;;;;x
EVTTOOLTIP72035;[This.GetTitledFirstName] is notified about the fate of your opponent.;[This.GetTitledFirstName] s'est vu informer du sort de votre adversaire.;[This.GetTitledFirstName] wird über das Schicksal Eures Gegners informiert.;;[This.GetTitledFirstName] es notificado sobre el destino de tu oponente.;;;;;;;;;x
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port;Les républiques marchandes ne peuvent pas déplacer leur capitale à moins de la déplacer d'une ville de province sans port à une ville de province avec port.;Kaufmannsrepubliken dürfen ihre Hauptstadt nicht verlegen, es sei denn, die Verlegung erfolgt von einer Provinz ohne Hafen in eine Provinz mit Hafen.;;Las repúblicas mercantes no son permitidas cambiar capital, a menos que lo muevan a una ciudad en una provincia con puerto desde una provincia sin  puerto.;;;;;;;;;x
PRESTIGE_LAW_PASSED_SETUP;Law Instituted;Loi instaurée;Gesetz eingeführt;;Ley instituida;;;;;;;;;x
GOV_BUILD_WITH_PIETY_DESC;Uses Piety to build $HOLDINGS_LIST$ Holdings;L'établissement de propriétés de type '$HOLDINGS_LIST$' consomme de la piété;Verwendet Pietät, um die Besitztümer $HOLDINGS_LIST$ zu errichten;;Utiliza piedad para construir  $HOLDINGS_LIST$ propiedades;;;;;;;;;x
GOVERNMENT_VASSALS_LESS_THAN;Have less than §Y$NUM$§! §Y$GOVERNMENT$§! vassals;Avoir moins de §Y$NUM$§! vassaux d'un gouvernement de type '§Y$GOVERNMENT$§!';Weniger als §Y$NUM$§! Vasallen der Regierungsform §Y$GOVERNMENT$§!;;Tiene menos de §Y$NUM$§! §Y$GOVERNMENT$§!vasallos. ;;;;;;;;;x
GOVERNMENT_VASSALS_AT_LEAST;Have at least §Y$NUM$§! §Y$GOVERNMENT$§! vassals;Avoir au moins §Y$NUM$§! vassaux d'un gouvernement de type '§Y$GOVERNMENT$§!';Mindestens §Y$NUM$§! Vasallen der Regierungsform §Y$GOVERNMENT$§!;;Tiene por lo menos §Y$NUM$§! §Y$GOVERNMENT$§!vasallos.;;;;;;;;;x
FEATURES;Features;Caractéristiques;Merkmale;;Características;;;;;;;;;x
HINT_SPLASH_2_INTRO;You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle]!;Vous endossez le rôle d'un[GetNoneE] [PrimaryTitle.GetRulerTitle] [GetReligionMascFem] [GetCultureMascFem] !;Ihr spielt als: [Culture.GetName] [Religion.GetName]er [PrimaryTitle.GetRulerTitle];;Estás jugando como un [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;;;;;;;;;x
UNSELECT_CHAR;Unselect Character;Désélectionner le personnage;Charakterauswahl aufheben;;Cancelar selección de personaje;;;;;;;;;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;§Y*§! Peut se réformer en gouvernement féodal, en iqtâ ou en république marchande;§Y*§! Kann durch Reformierung die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen;;§Y*§! Puede reformar al Feudal, Iqta y los gobiernos de las Repúblicas Mercantiles.;;;;;;;;;x
nomadic_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;§Y*§! Peut se réformer en gouvernement féodal, en iqtâ ou en république marchande\n§Y*§! Peut piller des colonies pour accroître sa richesse et sa technologie\n§Y*§! Peut abandonner des provinces pour gagner en population et en effectifs;§Y*§! Kann durch Reformierung die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen\n§Y*§! Kann Siedlungen plündern und dabei Reichtum und technischen Fortschritt erwerben\n§Y*§!Kann Provinzen aufgeben, um ein erhöhtes Wachstum der Bevölkerung und Mannstärke zu erlangen.;;§Y*§! Puede reformar al feudalismo, Iqta y los gobiernos de las Repúblicas Mercantiles.\n§Y*§! Puede saquear los asentamientos para ganar riqueza y tecnología\n§Y*§! puede abandonar provincias para obtener mayor crecimiento de la población y la soldadesca;;;;;;;;;x
GOVERNMENT_UNLOCKS;Governments unlocked: ;Gouvernements débloqués : ;Regierungsformen freigeschaltet: ;;Gobiernos desbloqueados:;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;Notre administration $GOVERNMENT$ nous autorise à révoquer les titres de §Y$TIER$§! sans opposition de l'aristocratie.;Unsere $GOVERNMENT$-Verwaltung ermöglicht uns den Entzug von Titeln des Ranges §Y$TIER$§! ohne Widerspruch der Aristokratie.;;Nuestra administración de $GOVERNMENT$ permite que nosotros revoquemos el §Y$TIER$§! títulos sin objeciones por parte de la aristocracia.;;;;;;;;;x
IS_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is of Divine Blood;La dynastie §Y$DYNASTY$§! est une dynastie de sang divin.;Die §Y$DYNASTY$§!-Dynastie ist von göttlichem Blut.;;La §Y$DYNASTY$§!dinastía es de Sangre Divina;;;;;;;;;x
IS_NOT_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood;La dynastie §Y$DYNASTY$§! n'est pas une dynastie de sang divin.;Die §Y$DYNASTY$§!-Dynastie ist NICHT von göttlichem Blut.;;La §Y$DYNASTY$§!dinastía NO es de Sangre Divina;;;;;;;;;x
SET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n;La dynastie §Y$DYNASTY$§! est désormais considérée comme une dynastie de sang divin.\n;Die §Y$DYNASTY$§!-Dynastie gilt nun als Dynastie von göttlichem Blut\n;;La §Y$DYNASTY$§!Dinastía se considera ahora de Sangre divina\n;;;;;;;;;x
UNSET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n;La dynastie §Y$DYNASTY$§! n'est plus considérée comme une dynastie de sang divin.\n;Die §Y$DYNASTY$§!-Dynastie gilt nun nicht mehr als Dynastie von göttlichem Blut\n;;La §Y$DYNASTY$§!Dinastía ya no se considera de la Sangre Divina;;;;;;;;;x
AIREASON_AMBITION;Ambition;Ambition;Ambition;;Ambición;;;;;;;;;x
b_kroran;Krorän;Krorän;Krorän;;Krorän;;;;;;;;;x
b_endere;Endere;Endere;Endere;;Endere;;;;;;;;;x
b_dandan_uilik;Dandan-Uiliq;Dandan-Uiliq;Dandan-Uiliq;;Dandan-Uiliq;;;;;;;;;x
b_korla;Korla;Korla;Korla;;Korla;;;;;;;;;x
b_shanguo;Shanguo;Shanguo;Shanguo;;Shanguo;;;;;;;;;x
b_turfan;Turfan;Turfan;Turfan;;Turfan;;;;;;;;;x
b_tashkurgan;Tashkurgan;Tashkurgan;Tashkurgan;;Tashkurgan;;;;;;;;;x
b_yecheng;Yecheng;Yecheng;Yecheng;;Yecheng;;;;;;;;;x
b_mazar;Mazar;Mazar;Mazar;;Mazar;;;;;;;;;x
b_jiaohe;Jiaohe;Jiaohe;Jiaohe;;Jiaohe;;;;;;;;;x
b_guma;Guma;Guma;Guma;;Guma;;;;;;;;;x
b_wensu;Wensu;Wensu;Wensu;;Wensu;;;;;;;;;x
b_xayar;Xayar;Xayar;Xayar;;Xayar;;;;;;;;;x
b_danhuan;Danhuan;Danhuan;Danhuan;;Danhuan;;;;;;;;;x
b_wutanzili;Wutanzili;Wutanzili;Wutanzili;;Wutanzili;;;;;;;;;x
b_huhu;Huhu;Huhu;Huhu;;Huhu;;;;;;;;;x
b_loulan;Loulan;Loulan;Loulan;;Loulan;;;;;;;;;x
b_kargan;Kargan;Kargan;Kargan;;Kargan;;;;;;;;;x
b_ruoqiang;Ruoqiang;Ruoqiang;Ruoqiang;;Ruoqiang;;;;;;;;;x
b_mocheng;Mocheng;Mocheng;Mocheng;;Mocheng;;;;;;;;;x
b_zuomo;Zuomo;Zuomo;Zuomo;;Zuomo;;;;;;;;;x
b_yuling;Yuling;Yuling;Yuling;;Yuling;;;;;;;;;x
b_jingjue;Jingjue;Jingjue;Jingjue;;Jingjue;;;;;;;;;x
b_jiandu;Jiandu;Jiandu;Jiandu;;Jiandu;;;;;;;;;x
b_shangwangguo;Shangwangguo;Shangwangguo;Shangwangguo;;Shangwangguo;;;;;;;;;x
b_xiuxun;Xiuxun;Xiuxun;Xiuxun;;Xiuxun;;;;;;;;;x
b_wulei;Wulei;Wulei;Wulei;;Wulei;;;;;;;;;x
b_bay;Bay;Bay;Bay;;Bay;;;;;;;;;x
b_toqsu;Toqsu;Toqsu;Toqsu;;Toqsu;;;;;;;;;x
b_awat;Awat;Awat;Awat;;Awat;;;;;;;;;x
b_kelpin;Kelpin;Kelpin;Kelpin;;Kelpin;;;;;;;;;x
b_fukang;Fukang;Fukang;Fukang;;Fukang;;;;;;;;;x
b_qiemi;Qiemi;Qiemi;Qiemi;;Qiemi;;;;;;;;;x
b_balikun;Balikun;Balikun;Balikun;;Balikun;;;;;;;;;x
b_qian_pulei;Qian Pulei;Qian Pulei;Qian Pulei;;Qian Pulei;;;;;;;;;x
b_hou_pulei;Hou Pulei;Hou Pulei;Hou Pulei;;Hou Pulei;;;;;;;;;x
b_yulishi;Yulishi;Yulishi;Yulishi;;Yulishi;;;;;;;;;x
b_karghalik;Karghalik;Karghalik;Karghalik;;Karghalik;;;;;;;;;x
b_weixu;Weixu;Weixu;Weixu;;Weixu;;;;;;;;;x
b_weili;Weili;Weili;Weili;;Weili;;;;;;;;;x
b_weitou;Weitou;Weitou;Weitou;;Weitou;;;;;;;;;x
CHRONICLE_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;[GetDynName] a adopté un système féodal dans son domaine, abandonnant les anciennes coutumes tribales.;[From.GetDynName] führte in [From.GetHerHis]en Gebieten das Feudalsystem ein und gab die Stammestraditionen auf.;;[From.GetDynName] adoptó un sistema feudal en [From.GetHerHis] dominios, abandonando las viejas costumbres tribales.;;;;;;;;;x
b_poskam;Poskam;Poskam;Poskam;;Poskam;;;;;;;;;x
b_yopurga;Yopurga;Yopurga;Yopurga;;Yopurga;;;;;;;;;x
b_atush;Atush;Atush;Atush;;Atush;;;;;;;;;x
b_akto;Akto;Akto;Akto;;Akto;;;;;;;;;x
b_ulugqat;Ulugqat;Ulugqat;Ulugqat:;Ulugqat;;;;;;;;;x
b_uqturpan;Uqturpan;Uqturpan;Uqturpan;;Uqturpan;;;;;;;;;x
b_aral;Aral;Aral;Aral;;Aral;;;;;;;;;x
b_qira;Qira;Qira;Qira;;Qira;;;;;;;;;x
b_yeyik;Yeyik;Yeyik;Yeyik;;Yeyik;;;;;;;;;x
b_sutang;Sutang;Sutang;Sutang;;Sutang;;;;;;;;;x
b_lop;Lop;Lop;Lop;;Lop;;;;;;;;;x
b_merdek;Merdek;Merdek;Merdek;;Merdek;;;;;;;;;x
b_yuni;Yuni;Yuni;Yuni;;Yuni;;;;;;;;;x
b_tiemenguan;Tiemenguan;Tiemenguan;Tiemenguan;;Tiemenguan;;;;;;;;;x
b_qigexing;Qigexing;Qigexing;Qigexing;;Qigexing;;;;;;;;;x
b_kizil;Kizil;Kizil;Kizil;;Kizil;;;;;;;;;x
b_subashi;Subashi;Subashi;Subashi;;Subashi;;;;;;;;;x
b_kumtura;Kumtura;Kumtura;Kumtura;;Kumtura;;;;;;;;;x
b_bezeklik;Bezeklik;Bezeklik;Bezeklik;;Bezeklik;;;;;;;;;x
b_astana;Astana;Astana;Astana;;Astana;;;;;;;;;x
b_manas;Manas;Manas;Manas;;Manas;;;;;;;;;x
b_changjo;Changjo;Changjo;Changjo;;Changjo;;;;;;;;;x
b_kara_koshun;Kara-Koshun;Kara-Koshun;Kara-Koshun;;Kara-Koshun;;;;;;;;;x
b_lopnor;Lop Nor;Lop Nor;Lopnor;;Lop Nor;;;;;;;;;x
b_shanshan;Shanshan;Shanshan;Shanshan;;Shanshan;;;;;;;;;x
b_kumtag;Kumtag;Kumtag;Kumtag;;Kumtag;;;;;;;;;x
b_yingpan;Yingpan;Yingpan;Yingpan;;Yingpan;;;;;;;;;x
b_yiwu;Yiwu;Yiwu;Yiwu;;Yiwu;;;;;;;;;x
b_dahe;Dahe;Dahe;Dahe;;Dahe;;;;;;;;;x
b_piqan;Piqan;Piqan;Piqan;;Piqan;;;;;;;;;x
b_yanghai;Yanghai;Yanghai;Yanghai;;Yanghai;;;;;;;;;x
b_toyuq;Toyuq;Toyuq;Toyuq;;Toyuq;;;;;;;;;x
b_nanhu_tarim;Nanhu;Nanhu;Nanhu;;Nanhu;;;;;;;;;x
b_fangpan;Fangpan;Fangpan;Fangpan;;Fangpan;;;;;;;;;x
b_mogao;Mogao;Mogao;Mogao;;Mogao;;;;;;;;;x
b_yueyaquan;Yueyaquan;Yueyaquan;Yueyaquan;;Yueyaquan;;;;;;;;;x
b_hongliuwan;Hongliuwan;Hongliuwan;Hongliuwan;;Hongliuwan;;;;;;;;;x
b_xuanquanzhi;Xuanquanzhi;Xuanquanzhi;Xuanquanzhi;;Xuanquanzhi;;;;;;;;;x
b_yumenquan;Yumenquan;Yumenquan;Yumenquan;;Yumenquan;;;;;;;;;x
b_xingcheng;Xingcheng;Xingcheng;Xingcheng;;Xingcheng;;;;;;;;;x
b_yuanquan;Yuanquan;Yuanquan;Yuanquan;;Yuanquan;;;;;;;;;x
b_yulin;Yulin;Yulin;Yulin;;Yulin;;;;;;;;;x
b_suoyang;Suoyang;Suoyang;Suoyang;;Suoyang;;;;;;;;;x
b_mazongshan;Mazongshan;Mazongshan;Mazongshan;;Mazongshan;;;;;;;;;x
b_changji;Changji;Changji;Changji;;Changji;;;;;;;;;x
b_xincheng;Xincheng;Xincheng;Xincheng;;Xincheng;;;;;;;;;x
ANSWER_YES;Yes.;Oui.;Ja.;;Sí.;;;;;;;;;x
ANSWER_NO;No.;Non.;Nein.;;No.;;;;;;;;;x
b_yumen;Yumen;Yumen;Yumen;;Yumen;;;;;;;;;x
CHRONICLE_FOUNDED_MERCHANT_REPUBLIC;[From.GetDynName] founded a merchant republic in [From.GetHerHis] domains, abandoning the old tribal ways.;[From.GetDynName] a fondé une république marchande dans son domaine, abandonnant les anciennes coutumes tribales.;[From.GetDynName] gründete in [From.GetHerHis]en Gebieten eine Handelsrepublik und gab die Stammestraditionen auf.;;;;;;;;;;;x
nomadic_emperor_female;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x
nomadic_king_female;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
e_chagatai;Chagatai;Chagatai;Chagatai;;Chagatai;;;;;;;;;x
FACTIONS_MENU;§YFactions§!;§YFactions§!;§YFraktionen§!;;§YFacciones§!;;;;;;;;;x
CLANS_MENU;§YClans§!;§YClans§!;§YKlans§!;;§YClanes§!;;;;;;;;x
THE_REPUBLIC_MENU;§YThe Republic§!;§YLa République§!;§YDie Republik§!;;§YLa República§!;;;;;;;;;x
STAT_WEALTH_MENU;§YWealth§!;§YRichesses§!;§YReichtum§!;;§YRiqueza§!;;;;;;;;;x
STAT_PRESTIGE_MENU;§YPrestige§!;§YPrestige;§YPrestige§!;;§YPrestigio§!;;;;;;;;;x
STAT_PIETY_MENU;§YPiety§!;§YPiété§!;§YPietät§!;;§YPiedad§!;;;;;;;;;x
STAT_PIETY_MENU_HONOR;§YHonor§!;§YHonneur§!;§YEhre§!;;§YHonor§!;;;;;;;;;x
STAT_PIETY_MENU_KARMA;§YKarma§!;§YKarma§!;§YKarma§!;;§YKarma§!;;;;;;;;;x
STAT_PIETY_MENU_PURITY;§YPurity§!;§YPureté§!;§YReinheit§!;;§YPureza§!;;;;;;;;;x
STAT_DEMESNE_SIZE_MENU;§YDemesne Size§!;§YTaille du domaine§!;§YDomänengröße§!;;§YTamaño de la heredad§!;;;;;;;;;x
STAT_VASSAL_LIMIT_MENU;§YVassal Limit§!;§YNombre limite de vassaux§!;§YVasallenlimit§!;;§YLímite de Vasallos§!;;;;;;;;;x
STAT_REALM_SIZE_MENU;§YRealm Size§!;§YTaille du pays§!;§YReichsgröße§!;;§YTamaño del reino§!;;;;;;;;;x
STAT_SCORE_MENU;§YScore§!;§YScore§!;§YPunkte§!;;§YPuntuación§!;;;;;;;;;x
STAT_POPULATION_MENU;§YPopulation§!;§YPopulation§!;§YBevölkerung§!;;§YPoblación§!;;;;;;;;;x
STAT_MANPOWER_MENU;§YManpower§!;§YEffectifs§!;§YMannstärke§!;;§YMano de obra§!;;;;;;;;;x
TECHNOLOGY;Technology;Technologie;Technologie;Technologia;Tecnología;Tecnologia;Technológia;Technologie;;;;;;x
LAW;Laws;Lois;Gesetze;;Leyes;;;;;;;;;x
MILITARY;Military;Armée;Militär;;Fuerzas armadas;Militare;;;;;;;;x
INTRIGUE;Intrigue;Intrigue;Intrige;;Intriga;;;;;;;;;x
DEMESNE_INTERFACE_LABEL;§YDemesne§!;§YDomaine§!;§YDomäne§!;;§YHeredad§!;;;;;;;;;x
TRADE_INTERFACE_LABEL;§YTrade§!;§YCommerce§!;§YHandel§!;;§YComerciar§!;;;;;;;;;x
FORTS_INTERFACE_LABEL;§YForts§!;§YForts§!;§YForts§!;;§YFortalezas§!;;;;;;;;;x
SIEGES_INTERFACE_LABEL;§YSieges§!;§YSièges§!;§YBelagerungen§!;§YOblenia§!;§YAsedios§!;§YAssedi§!;§YOstromok§!;§YObležení§!;;;;;;x
ENEMY_SIEGES_INTERFACE_LABEL;§YHostile Sieges§!;§YSièges hostiles§!;§YFeindliche Belagerungen§!;;§YAsedios hostiles§!;§YAssedi del nemico§!;;;;;;;;x
COMBATS_INTERFACE_LABEL;§YLand Combat§!;§YBatailles§!;§YGefechte§!;§YWalki§!;§YCombates§!;§YCombattimento terrestre§!;§YCsaták§!;§YPozemní boj§!;;;;;;x
ARMIES_INTERFACE_LABEL;§YArmies§!;§YArmées§!;§YArmeen§!;;§YEjércitos§!;§YEserciti§!;;;;;;;;x
NAVIES_INTERFACE_LABEL;§YNavies§!;§YFlottes§!;§YFlotten§!;;§YArmada§!;§YFlotte§!;;;;;;;;x
MESSAGERULES_INTERFACE_LABEL;§YMessage Rules§!;§YRègles des messages§!;§YNachrichtenregeln§!;;§YReglas de mensaje§!;;;;;;;;;x
SPECIAL_INTEREST_CHARACTERS_INTERFACE_LABEL;§YCharacters of Special Interest§!;§YPersonnages importants§!;§YCharaktere von besonderem Interesse§!;;§YPersonajes especialmente interesantes§!;;;;;;;;;x
OL_COURT_INTERFACE_LABEL;§YCourt§!;§YCour§!;§YHof§!;;§YCorte§!;;;;;;;;;x
OL_MP_PLAYERLIST_INTERFACE_LABEL;§YPlayers in Multiplayer§!;§YJoueurs si multijoueur§!;§YSpieler im Multiplayermodus§!;;§YJugadores en multijugador§!;;;;;;;;;x
OL_DISABLED_ALERTS_INTERFACE_LABEL;§YDisabled Alerts§!;§YAlertes désactivés§!;§YDeaktivierte Alarme§!;;§YAvisos desactivados§!;;;;;;;;;x
MESSWINDOW_HIGHPRIO_INTERFACE_LABEL;§YHigh Priority Messages§!;§YMessages de haute priorité§!;§YNachrichten mit hoher Priorität§!;;§YMensajes de alta prioridad§!;;;;;;;;;x
MESSWINDOW_LOWPRIO_INTERFACE_LABEL;§YLow Priority Messages§!;§YMessages de basse priorité§!;§YNachrichten mit niedriger Priorität§!;;§YMensajes de baja prioridad§!;;;;;;;;;x
FC_FIND_CHARACTERS_INTERFACE_LABEL;§YFind Characters§!;§YTrouver des personnages§!;§YCharakter suchen§!;;§YEncontrar personajes§!;;;;;;;;;x
MAIN_MENU_INTERFACE_LABEL;§YMain Menu§!;§YMenu principal§!;§YHauptmenü§!;;§YMenú principal§!;§YMenu principale§!;;;;;;;;x
