#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#EVTDESC620;[New.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [New.Religion.GetCrusadeName] for [Root.GetName]. [New.GetTitledName] has called for a month of celebration across the whole [New.Religion.GetGroupName] world!;;[New.Religion.GetRandomGodNameCap] hat [From.GetTitledName] den Sieg im Kreuzzug [New.Religion.GetCrusadeName] für [Root.GetName] gewährt. [New.GetTitledName] hat einen Monat der Feierlichkeiten für die gesamte [New.Religion.GetGroupName] Welt ausgerufen!;;¡[New.Religion.GetRandomGodNameCap] ha otorgado la victoria a [From.GetTitledName] en [New.Religion.GetCrusadeName] para [Root.GetName]. [New.GetTitledName] proclama fiestas en todas las ciudades del mundo [New.Religion.GetGroupName]!;;;;;;;;;x
#EVTOPTA620;Praise [New.Religion.GetRandomGodName]!;;Preiset [New.Religion.GetRandomGodName]!;;¡Alabar a [New.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTB620;Cursed Infidels!;Mort aux infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;;;;;x
#EVTNAME621;The [New.Religion.GetCrusadeName] for [Root.GetName] Fails!;;Der Kreuzzug [New.Religion.GetCrusadeName] für [Root.GetName] wurde abgesagt!;;¡[New.Religion.GetCrusadeName] para [Root.GetName] se ha suspendido!;;;;;;;;;x
#EVTDESC621;[New.Religion.GetRandomGodNameCap], it seems, does not favour the [New.Religion.GetGroupName] faithful. [New.GetTitledName] has called off the [New.Religion.GetCrusadeName] for [Root.GetName] due to the altered political situation in the region...;;Es scheint so, als würde [New.Religion.GetRandomGodNameCap]die [New.Religion.GetGroupName] nicht gewissenhaft begünstigen. [New.GetTitledName] hat den Kreuzzug [New.Religion.GetCrusadeName] für [Root.GetName] aufgrund der geänderten politischen Situation in der Region aufgehoben ...;;[New.Religion.GetRandomGodNameCap] parece que no complace a los fieles de [New.Religion.GetGroupName]. [New.GetTitledName] ha suspendido [New.Religion.GetCrusadeName] para [Root.GetName] debido a la inestable situación política de la región...;;;;;;;;;x
EVTOPTA621;A Black Day!;Un jour bien sombre !;Ein Schwarzer Tag!;;¡Un día negro!;;;;;;;;;x
EVTOPTB621;Pathetic...;Pathétique...;Erbärmlich ...;;Patético...;;;;;;;;;x
WARSCORE_LESS_THAN;Has a war with a score worse than ;A un score de guerre pire que;Hat einen Krieg mit einem Ergebnis schlechter als;;Tiene una guerra con un resultado peor que;;;;;;;;;x
WARSCORE_MORE_THAN;Has a war with a score better than ;A un score de guerre meilleur que;Hat einen Krieg mit einem Ergebnis besser als;;Tiene una guerra con un resultado mejor que;;;;;;;;;x
#BONUS_AGAINST_ENEMY;Attack bonus against enemy flank: $PERC$;;Angriffsbonus gegen feindliche Flanke: $PERC$;;Bonus de ataque contra el flanco enemigo: $PERC$;;;;;;;;;x
TACTICAL_ADVANTAGE;Bonus against §Y$TACTIC$§!: $PERC$;Bonus contre §Y$TACTIC$§! : $PERC$;Bonus gegen §Y$TACTIC$§!: $PERC$;;Bonus contra §Y$TACTIC$§!: $PERC$;;;;;;;;;x
LEADER_MARTIAL_SKILL;Martial skill of §Y$WHO$§!: $PERC$;Aptitude au combat de §Y$WHO$§! : $PERC$;Kriegerische Fähigkeit von §Y$WHO$§!: $PERC$;;Habilidad marcial de §Y$WHO$§!: $PERC$;;;;;;;;;x
FLANKING_BONUS;Flanking: $PERC$;Attaque de flanc : $PERC$;Flankieren: $PERC$;;Flanqueo: $PERC$;;;;;;;;;x
AI_REJECT_STILL_A_NO;I still won't accept your proposal;Je ne veux toujours pas de votre proposition.;Ich werde Euer Angebot weiterhin nicht akzeptieren;;Sigo sin aceptar tu propuesta;;;;;;;;;x
PLAYER_SUCCESSOR_CHANGED_LOG;You have a new Heir. If your character dies now you will play as §Y$NEW_SUCCESSOR$§!;Vous avez un nouvel héritier. Si votre personnage meurt, vous incarnerez §Y$NEW_SUCCESSOR$§!;Ihr habt einen neuen Erben. Sollte Euer Charakter nun sterben, werdet Ihr fortan als §Y$NEW_SUCCESSOR$§! weiterspielen.;;Ahora tienes un nuevo Heredero. Si tu personaje muere ahora, jugarás como §Y$NEW_SUCCESSOR$§! ;;;;;;;;;x
TOPLIEGE_TROOPS_TOTAL;Total Levy of Top liege: §Y$TROOPS$§!;Levée totale du souverain : §Y$TROOPS$§!;Gesamtes Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas totales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
TOPLIEGE_TROOPS_CURRENT;Current Levy of Top liege: §Y$TROOPS$§!;Levée actuelle du souverain : §Y$TROOPS$§!;Derzeitiges Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas actuales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_TOTAL;Total Levy of $CHAR$: §Y$TROOPS$§!;Contribution totale de $CHAR$ : §Y$TROOPS$§!;Gesamtes Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas totales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_CURRENT;Current Levy of $CHAR$: §Y$TROOPS$§!;Contribution actuelle de $CHAR$ : §Y$TROOPS$§!;Derzeitiges Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas actuales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
RELATIVE_STRENGTH;Relative Strength: §Y$STRENGTH$§!;Force relative : §Y$STRENGTH$§!;Relative Stärke: §Y$STRENGTH$§!;;Fuerza relativa: §Y$STRENGTH$§!;;;;;;;;;x
CURRENT_RELATIVE_STRENGTH;Current Relative Strength: §Y$STRENGTH$§!;Force relative actuelle : §Y$STRENGTH$§!;Derzeitige relative Stärke: §Y$STRENGTH$§!;;Fuerza relativa actual: §Y$STRENGTH$§!;;;;;;;;;x
VASSAL_HOLDINGS;Vassal Holdings: §Y$HOLDINGS$§!;Propriétés des vassaux : §Y$HOLDINGS$§!;Vasallen-Besitztümer: §Y$HOLDINGS$§!;;Posesiones de los vasallos: §Y$HOLDINGS$§!;;;;;;;;;x
LOADING_LOCAL_SAVE;Loading local save...;Chargement de la sauvegarde locale...;Lokale Speicherung wird geladen ...;;Cargando partida guardada local...;;;;;;;;;x
CB_NAME_DEPOSE_LIEGE;Depose liege;Renverser le seigneur lige;Den Lehnsherren absetzen;;Destituir al señor feudal;;;;;;;;;x
WAR_NAME_DEPOSE_LIEGE;$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour déposer $DEFENDER$.;$ORDER$$FIRST_ADJ$er Krieg, um $DEFENDER$ abzusetzen;;$ORDER$ Guerra $FIRST_ADJ$ para deponer a $DEFENDER$;;;;;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§! and install §Y$CLAIMANT$§!'s favorite heir;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§! et de désigner son héritier préféré;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen und den bevorzugten Erben von §Y$CLAIMANT$§! einzusetzen;;§Y$CLAIMANT$§! puede intentar destituir a §Y$TARGET$§! y proclamar al heredero favorito de §Y$CLAIMANT$§!;;;;;;;;;x
issue_declaration_of_repentance;Issue Declaration of Repentance;Envoyer une déclaration de repentance;Deklaration der Reue veranlassen;;Emitir declaración de redención;;;;;;;;;x
issue_declaration_of_repentance_desc;Send a letter to the Pope in the hope of getting our sins forgiven and have our excommunication lifted.;Envoyer une lettre au Pape dans l'espoir de voir tous nos péchés être pardonnés et notre excommunication être levée.;Schickt einen Brief an den Papst in der Hoffnung, dass Euch Eure Sünden vergeben werden und die Exkommunikation aufgehoben wird. ;;Enviar una carta al Papa con la esperanza de que nuestros pecados sean perdonados y nuestra excomunión revocada.;;;;;;;;;x
repentance_ask;The Holy Father will hear our plea for salvation.;Le Saint Père écoutera notre demande de pardon.;Der Heilige Vater wird unser Flehen um Erlösung anhören. ;;El Santo Padre escuchará nuestra oración de salvación.;;;;;;;;;x
made_repentance;Made Repentance;S'est repenti;Reue erwiesen;;Redención aceptada;;;;;;;;;x
refused_making_repentance;Refused Making Repentance;A refusé de se repentir;Reue verweigert;;Redención denegada;;;;;;;;;x
EVTDESC39252;An emissary comes from [From.GetBestName], with hopes of repenting [From.GetHerHis] sins. While [From.GetSheHe] has committed some very grave sins, this shows sincere regret and I will lift his excommunication.;Un émissaire est venu de la part de [From.GetBestName] dans le but de se repentir de ses péchés. Bien que les péchés commis soient très graves, cette venue est la preuve de regrets sincères, je lèverai donc son excommunication.;Ein Abgesandter von [From.GetBestName] kommt in der Hoffnung, dass [From.GetHerHis]e Sünden vergeben werden. Während [From.GetSheHe] einige sehr große Sünden begangen hat, zeugt dies von aufrichtiger Reue, sodass ich die Exkommunizierung aufheben werde.;;Un emisario viene de parte de [From.GetBestName] con la esperanza de redimir sus pecados. Aunque [From.GetSheHe] ha cometido pecados muy graves, esto muestra un arrepentimiento sincero y revocaré su excomunión.;;;;;;;;;x
EVTOPTA39252;Lift [From.GetHerHis] excommunication.;Lever son excommunication.;[From.GetHerHisCap]e Exkommunikation aufheben.;;Revocar su excomunión.;;;;;;;;;x
EVTTOOLTIP39253;will cry tears of joy at our reply.;pleurera de joie en voyant notre réponse.;wird aufgrund unserer Antwort Tränen der Freude vergießen.;;llorará lágrimas de alegría con nuestra respuesta.;;;;;;;;;x
EVTDESC39253;The Holy Father has agreed to lift the excommunication against me!;Le Saint Père a accepté de lever mon excommunication !;Der Heilige Vater hat zugestimmt, meine Exkommunikation aufzuheben! ;;¡El Santo Padre ha accedido a revocar la excomunión contra mi!;;;;;;;;;x
EVTOPTA39253;Glory to God!;Gloire à Dieu !;Ehre sei Gott!;;¡Gloria a Dios!;;;;;;;;;x
EVTOPTB39253;Repentance has its price, but this is really too much...;La repentance a un prix... bien trop élevé !;Reue hat ihren Preis, aber dies ist wirklich zu viel ...;;La redención tiene un precio, pero este es demasiado elevado...;;;;;;;;;x
EVTOPTB39251;[Player.Religion.GetPietyName] has its price, but this is really too much...;La [Player.Religion.GetPietyName] a un prix... bien trop élevé !;[Player.Religion.GetPietyName] hat ihren Preis, aber dies ist wirklich zu viel ...;;La [Player.Religion.GetPietyName] tiene un precio, pero este es demasiado elevado...;;;;;;;;;x
chapter_name_6;War;Guerre;Krieg;;Guerra;;;;;;;;;x
chapter_name_5;Military and Combat;Armée et Combat;Militär und Kampf;;Ejército y Combate;;;;;;;;;x
DOWNLOADING;Downloading $DLC$;Téléchargement de $DLC$;$DLC$ wird heruntergeladen;;Descargando $DLC$;;;;;;;;;x
DOWNLOAD_PROGRESS;Downloading file $FILE$/$FILE_MAX$\n\n$COUNT$B downloaded;Téléchargement de fichiers : $FILE$/$FILE_MAX$\n\n$COUNT$B téléchargés;Die Datei wird heruntergeladen $FILE$/$FILE_MAX$\n\n$COUNT$B heruntergeladen;;Descargando archivo $FILE$/$FILE_MAX$\n\n$COUNT$B descargado.;;;;;;;;;x
STORE_REINSTALL;Reinstall;Réinstaller;Neuinstallation;;Reinstalar.;;;;;;;;;x
STORE_BUY;Buy;Acheter;Kaufen;;Comprar;;;;;;;;;x
STORE_NEED_REINSTALL;Reinstall §Y$ITEM$§! DLC;Réinstaller le DLC §Y$ITEM$§!;§Y$ITEM$§! DLC neu installieren;;Reinstalar contenido descargable §Y$ITEM$§!;;;;;;;;;x
STORE_FAILED_DOWNLOAD;Some files did not install correctly and needs to be downloaded again;Certains fichiers ne se sont pas installés correctement et doivent être téléchargés à nouveau;Einige Dateien wurden nicht korrekt installiert und müssen erneut heruntergeladen werden;;Algunos archivos no se han instalado correctamente y necesitan descargarse de nuevo.;;;;;;;;;x
STORE_CANCEL;Cancel;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
STORE_TOPUP;Purchase Blue Coins;Acheter des pièces bleues;Blue Coins kaufen;;Comprar Monedas Azules;;;;;;;;;x
STORE_LOGIN;Login;Connexion;Einloggen;;Iniciar sesión;;;;;;;;;x
STORE_LOGOUT;Log Out;Déconnexion;Ausloggen;;Cerrar sesión;;;;;;;;;x
STORE_WELCOME;Welcome, §Y$USERNAME$§!;Bienvenue, §Y$USERNAME$§!;Willkommen, §Y$USERNAME$§!;;Bienvenido, §Y$USERNAME$§!;;;;;;;;;x
STORE_NOT_LOGGED_IN;You must log in in order to buy DLC;Vous devez vous connecter pour acheter des DLC;Um diesen DLC zu erwerben, musst du dich zunächst einloggen;;Debes iniciar sesión para poder comprar contenidos descargables.;;;;;;;;;x
TRUCE;Truce;Trêve;Waffenstillstand;;Tregua;;;;;;;;;x
IS_NOT_MERCENARY;Is NOT mercenary;N'est pas mercenaire;ist KEIN Söldner;;NO es mercenario;;;;;;;;;x
IS_MERCENARY;Is mercenary;Est mercenaire;ist Söldner;;Es mercenario;;;;;;;;;x
NUM_OF_TITLES_LESS;Less than §Y$VAL$§W $TIER$ titles.;Moins de §Y$VAL$§W titres de rang $TIER$.;Weniger als §Y$VAL$§W $TIER$ Titel.;;Menos de §Y$VAL$§W títulos $TIER$.;;;;;;;;;x
NUM_OF_TITLES_LEAST;At least §Y$VAL$§W $TIER$ titles.;Au moins §Y$VAL$§W titres de rang $TIER$.;Mindestens §Y$VAL$§W $TIER$ Titel.;;Al menos §Y$VAL$§W títulos $TIER$.;;;;;;;;;x
NUM_OF_TITLES_LESS_2;Less than §Y$VAL$§W titles.;Moins de §Y$VAL$§W titres.;Weniger als §Y$VAL$§W Titel.;;Menos de §Y$VAL$§W títulos.;;;;;;;;;x
NUM_OF_TITLES_LEAST_2;At least §Y$VAL$§W titles.;Au moins §Y$VAL$§W titres.;Mindestens §Y$VAL$§W Titel.;;Al menos §Y$VAL$§W títulos.;;;;;;;;;x
TIME_UNPAUSE;Unpause;Reprendre;Pause beenden;;Continuar;;;;;;;;;x
EVTDESC38201;[From.GetFirstName] asks, 'Daddy, where do children come from?';[From.GetFirstName] demande : « Père, d'où viennent les bébés ? »;[From.GetFirstName] fragt, "Papa, wo kommen Kinder her?";;[From.GetFirstName] pregunta «Papá, ¿de dónde vienen los niños?»;;;;;;;;;x
EVTOPTA39000;Where is my [Root.Holder.GetLordSpiritualName]!?;Où est mon [Root.Holder.GetLordSpiritualName] !?;Wo ist mein [Root.Holder.GetLordSpiritualName]!?;;¿Dónde está mi [Root.Holder.GetLordSpiritualName]!?;;;;;;;;;x
EVTDESC75060;The peasants in a county are complaining about Steward [Root.job_treasurer.GetTitledFirstName]'s arbitrariness, they feel that [Root.job_treasurer.GetSheHe] doesn't really understand the concept of rules and laws.;Les paysans d'une comté se plaignent de la sévérité de l'intendant [Root.job_treasurer.GetTitledFirstName], ils ont l'impression que sa conception des lois n'est pas saine.;Die Bauern einer Provinz beschweren sich über die Willkür von Kämmerer [Root.job_treasurer.GetTitledFirstName]. Sie glauben, dass [Root.job_treasurer.GetSheHe] das Konzept von Regeln und Gesetzen nicht wirklich verstanden hat.;;Los campesinos de una provincia se quejan del despotismo del [This.GetTreasurerName] [Root.job_treasurer.GetTitledFirstName]. Creen que [Root.job_treasurer.GetHerHis] no entiende realmente el concepto de leyes y normas.;;;;;;;;;x
EVTOPTA75085;Adopt [Root.job_treasurer.GetHerHis] ideas;Adopter ses idées;Übernehmt [Root.job_treasurer.GetHerHis]e Ideen;;Adoptar sus ideas;;;;;;;;;x
peasants_scorned;Peasant traditions scorned;Traditions paysannes méprisées;Traditionen der Bauern verachtet;;Tradiciones campesinas despreciadas;;;;;;;;;x
tut_5a_25;Now select one of the troops. The embark button is blue and useable, so click it. Ships move exactly like armies, so move this fleet to the neighboring sea province to the north, Moray Firth, to continue. Unpause after placing the move order and increase the speed to maximum if you want to hasten the process.;Maintenant, sélectionnez l'une des troupes. Le bouton d'embarquement est bleu et utilisable, cliquez dessus. Les navires se déplacent exactement comme les armées, déplacez cette flotte sur la province maritime voisine au nord, Moray Firth, pour continuer. Reprenez après avoir donné l'ordre de déplacement et augmentez la vitesse au maximum si vous souhaitez accélérer le processus.;Wählt nun eine der Truppen. Der Schalter zum an Bord gehen ist blau und benutzbar, also klickt auf ihn. Schiffe bewegen sich genauso wie Armeen, bewegt also diese Flotte zur benachbarten Seeprovinz im Norden, Moray Firth, um fortzufahren. Beendet die Pause nach Erteilen des Marschbefehls und erhöht die Geschwindigkeit auf das Maximum, wenn Ihr den Prozess beschleunigen möchtet.;;A continuación seleccione uno de los soldados. El botón de iniciar es azul y útil, así que haz clic en él. Los barcos se mueven exactamente igual que los ejércitos, de modo que mueve la flota a la provincia vecina del mar del norte, Moray Firth, para continuar. Reanuda la acción después de colocar la orden de movimiento y aumenta la velocidad al máximo si deseas acelerar el proceso.;;;;;;;;;x
tut_5a_29b;Don't forget to unpause or your order will not be executed.;N'oubliez pas de reprendre, sinon votre ordre ne sera pas exécuté.;Vergesst nicht, die Pause zu beenden, oder Euer Befehl wird nicht ausgeführt.;;No olvides reanudar la acción o la orden no se ejecutará.;;;;;;;;;x
opinion_converted_province;Converted Province;Province convertie;Konvertierte Provinz;;Provincia convertida;;;;;;;;;x
EVTDESC3336;[From.GetTitledFirstName] feels I risk too much with my escapades and tried to persuade me to stop risking my life.;[From.GetTitledFirstName] pense que je prends trop de risques avec mes frasques et a tenté de me raisonner pour que j'arrête de risquer ma vie.;[From.GetTitledFirstName] hat das Gefühl, dass ich mit meinen Eskapaden zu viel riskiere, und versucht mich davon zu überzeugen, nicht mehr mein Leben zu riskieren.;;[From.GetTitledFirstName] siente que arriesgo mucho con mis escapadas y ha intentado persuadirme de que no ponga más en riesgo mi vida.;;;;;;;;;x
EVTNAME60010;The Ilkhanate Converts;Les Ilkhanides se convertissent;Die Ilkhanate Konvertiten;;El Ilkhanate se convierte;;;;;;;;;x
#EVTDESC60010;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!;;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den katholischen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y han abrazado la fe Cristiana!;;;;;;;;;x
#EVTDESC60011;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den orthodoxen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Ortodoxa!;;;;;;;;;x
#EVTDESC60012;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;;Mein Fürst, der große [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den sunnitischen Glauben angenommen!;;¡Mi señor, el gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Sunita!;;;;;;;;;x
