#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
WRONG_OCEAN;Can be Reached by Sea;Accès par la mer;Kann vom Meer aus erreicht werden;;Puede llegarse por mar;;;;;;;;;x
indian_subjugation_desc;Rulers of the Indian religions can subjugate each other for §Y500§! Karma if they are from the same culture group.;Les souverains de religion indienne peuvent se subjuguer les uns les autres pour §Y500§! Karma s'ils sont du même groupe culturel.;Herrscher indischer Religionen können sich gegenseitig für §Y500§! Karma unterwerfen, wenn sie aus derselben Kulturgruppe stammen.;;Los gobernantes de religiones Indias pueden subyugar a otros por §Y500§! Karma si son del mismo grupo cultural.;;;;;;;;;x
jungle;Jungle;Jungle;Dschungel;;Jungla;;;;;;;;;x
hindu;Hindu;hindoue;Hinduistisch;;Hindú;;;;;;;;;x
hindu_DESC;Hinduism is not a single religion so much as a blanket term for the successor faiths of ancient Indian polytheism as recorded in the Vedas. The existence of many different sects within Hinduism - as well as millennia of relatively peaceful co-existence with Jainism and Buddhism - has made the Hindu faith remarkably tolerant and pluralistic toward all Indian religions. Still, it is the most warlike of the three.;L'hindouisme n'est pas une religion unique mais plutôt un terme générique regroupant les religions descendant du polythéisme ancestral en Inde tel que consigné dans les Védas. L'existence de nombreuses sectes au sein de l'hindouisme, ainsi que des millénaires de coexistence relativement pacifique avec le jaïnisme et le bouddhisme, a donné à l'hindouisme son caractère remarquablement tolérant et pluraliste envers toutes les religions indiennes. Cependant, il s'agit de la religion la plus belliqueuse des trois.;Der Hinduismus ist keine einzelne Religion, sondern ein Überbegriff für die Nachfolgeglauben des urtümlichen indischen Polytheismus, wie in der Veda überliefert. Die Existenz vieler verschiedener Sekten im Hinduismus - und Jahrtausende vergleichsweiser friedlicher Koexistenz mit Jainismus und Buddhismus - führten zu einer bemerkenswerten Toleranz gegenüber anderen indischen Religionen. Trotzdem ist dies die kriegerischste der drei Glaubensrichtungen.;;El hinduismo no es una religión sino un amplio término usado para todas las religiones que suceden al politeísmo Indio recogido en los Vedas. La existencia de tantas sectas - así como los milenios de coexistencia más o menos pacífica con el Jainismo y el Budismo - han hecho a la fe Hindú notoriamente tolerante y plural con todas las religiones Indias. Aún así, es la más beligerante de las tres.;;;;;;;;;x
buddhist;Buddhist;bouddhiste;Buddhistisch;;Budista;;;;;;;;;x
jain;Jain;jaïne;Jainistisch;;Jaina;;;;;;;;;x
nubian;Nubian;nubienne;Nubisch;;Nubio;;;;;;;;;x
GOD_SHIVA;Shiva;Shiva;Schiva;;Shiva;;;;;;;;;x
GOD_THE_SUPREME;the Supreme;le Suprême;den Mächtigen;;el Supremo;;;;;;;;;x
THE_VINAYAKAS;the Vinyakas;les Vinâyakas;Die Vinyakas;;los Vinayakas;;;;;;;;;x
THE_MAHABHARATA;the Mahabharata;le Mahabharata;Das Mahabharata;;el Mahabharata;;;;;;;;;x
PUJARI;Pujari;pujari;Pujari;;Pujari;;;;;;;;;x
GOD_THE_BUDDHA;the Buddha;le Bouddha;Buddha;;el Buda;;;;;;;;;x
GOD_THE_ARHAT;the Arhat;l'Arhat;Arhat;;el Arhat;;;;;;;;;x
GOD_THE_PERFECTED_ONES;the Perfected Ones;les Parfaits;die Vollendeten;;los Perfeccionados;;;;;;;;;x
MARA;Mara;Mara;Mara;;Mara;;;;;;;;;x
THE_BUDDHACAVANA;the Buddhavacana;le Buddhavacana;Das Buddhavacana;;el Buddhavamsa;;;;;;;;;x
BHIKKHU;bhikkhu;bhikkhu;Bhikkhu;;bhikkhu;;;;;;;;;x
GOD_THE_TIRTHANKARAS;the Tirthanankaras;les Tîrthankaras;die Tirthanankaras;;los Tirthankaras;;;;;;;;;x
GOD_RISHABH;Rishabh;Rishabhanatha;Rishabh;;Rishabha;;;;;;;;;x
GOD_AJINATH;Ajinath;Ajitnath;Ajinath;;Adinath;;;;;;;;;x
GOD_SAMBHAVANATH;Sambhavanath;Sambhavanath;Sambhavanath;;Sambhavanath;;;;;;;;;x
THE_PUNISHERS;the Punishers;les Punisseurs;Die Bestrafer;;los Castigadores;;;;;;;;;x
NIRGRANTHA;nirgrantha;nirgrantha;Nirgrantha;;nirgrantha;;;;;;;;;x
brahmin;Brahmin;Brahmane;Brahmane;;Brahmán;;;;;;;;;x
#brahmin_desc;Belongs to the Brahmin caste.;;Gehört der Brahmanenkaste an;;Pertenece a la casta Brahmán.;;;;;;;;;x
kshatriya;Kshatriya;Kshatriya;Kshatriya;;Chatria;;;;;;;;;x
#kshatriya_desc;Belongs to the Kshatriya caste.;;Gehört der Kshatriyakaste an;;Pertenece a la casta Chatria.;;;;;;;;;x
vaishya;Vaishya;Vaishya;Vaishya;;Vaisia;;;;;;;;;x
#vaishya_desc;Belongs to the Vaishya caste.;;Gehört der Vaishyakaste an;;Pertenece a la casta Vaisia.;;;;;;;;;x
shaivist_hindu;Shaivist;Shivaïste;Shaivistisch;;Shivaísmo;;;;;;;;;x
shaivist_hindu_desc;This character follows the Shaivist branch of Hinduism.;Ce personnage suit la branche shivaïste de l'hindouisme.;Der Charakter folgt dem shaivistischen Zweig des Hinduismus;;Este personaje sigue la rama Shivaísta del Hinduismo.;;;;;;;;;x
vaishnavist_hindu;Vaishnavist;Vishnouiste;Vaishnavistisch;;Visnuista;;;;;;;;;x
vaishnavist_hindu_desc;This character follows the Vaishnavist branch of Hinduism.;Ce personnage suit la branche vishnouiste de l'hindouisme.;Der Charakter folgt dem Vaishnazweig des Hinduismus;;Este personaje sigue la rama Visnuista del Hinduismo.;;;;;;;;;x
shaktist_hindu;Shaktist;Shaktiste;Shaktistisch;;Shaktismo;;;;;;;;;x
shaktist_hindu_desc;This character follows the Shaktist branch of Hinduism.;Ce personnage suit la branche shaktiste de l'hindouisme.;Der Charakter folg dem Shaktazweig des Hinduismus;;Este personaje sigue la rama Shaktista del Hinduismo.;;;;;;;;;x
smartist_hindu;Smartist;Smartiste;Smarthistisch;;Advaita;;;;;;;;;x
smartist_hindu_desc;This character follows the Smartist branch of Hinduism.;Ce personnage suit la branche smartiste de l'hindouisme.;Der Charakter folgt dem Smarthazweig des Hinduismus;;Este personaje sigue la rama Advaita del Hinduismo.;;;;;;;;;x
mahayana_buddhist;Mahayana Buddhist;Bouddhiste mahayana;Mahayana-Buddhistisch;;Budista Mahayana;;;;;;;;;;x
mahayana_buddhist_desc;This character follows the Mahayana branch of Buddhism.;Ce personnage suit la branche mayahana du bouddhisme.;Der Charakter folgt dem Mahayanazweig des Buddhismus;;Este personaje sigue la rama Mahayana del Budismo.;;;;;;;;;x
vajrayana_buddhist;Vajrayana Buddhist;Bouddhiste vajrayana ;Vajrayana-Buddhistisch;;Budista Vajrayana;;;;;;;;;;x
vajrayana_buddhist_desc;This character follows the Vajrayana branch of Buddhism.;Ce personnage suit la branche vajrayana du bouddhisme.;Der Charakter folgt dem Vajrayanazweig des Buddhismus;;Este personaje sigue la rama Vajrayana del Budismo.;;;;;;;;;x
theravada_buddhist;Theravada Buddhist;Bouddhiste theravada;Theravada-Buddhistisch;;Budista Theravada;;;;;;;;;x
theravada_buddhist_desc;This character follows the Theravada branch of Buddhism.;Ce personnage suit la branche theravada du bouddhisme.;Der Charakter folgt dem Theravadazweig des Buddhismus;;Este personaje sigue la rama Theravada del Budismo.;;;;;;;;;x
digambara_jain;Digambara Jain;Jaïn digambara;Digambara-Jainistisch;;Digambara;;;;;;;;;x
digambara_jain_desc;This character follows the Digambara branch of Jainism.;Ce personnage suit la branche digambara du jaïnisme.;Der Charakter folgt dem Digambarazweig des Jainismus.;;Este personaje sigue la rama Digambara del Jainismo.;;;;;;;;;x
svetambara_jain;Svetambara Jain;Jaïn svetambara ;Svetambara-Jainistisch;;Suetambara;;;;;;;;;x
svetambara_jain_desc;This character follows the Svetambara branch of Jainism.;Ce personnage suit la branche svetambara du jaïnisme.;Der Charakter folgt dem Svetambarazweig des Jainismus.;;Este personaje sigue la rama Suetambara del Jainismo.;;;;;;;;;x
#sympathy_indian;Sympathy for Indian religons;Sympathie pour les religions indiennes;Sympathie für indische Religionen;;Simpatía por las religiones Indias;;;;;;;;;x
#sympathy_indian_desc;This character, though neither Hindu, Buddhist or Jain, has a special sympathy and understanding for the Indian faiths and their practitioners.;Ce personnage, bien qu'il ne soit pas hindou, bouddhiste ou jaïn, montre une certaine tolérance et une compréhension relative des cultes indiens et leurs adeptes.;Der Charakter, obwohl weder Hindu, Buddhist oder Jainist, hegt eine besondere Sympathie und Verständnis für indische Religionen und ihre Anhänger.;;Este personaje, aunque no es Hindú, ni Budista o Jaina, tiene una especial simpatía y conocimiento de la fe India y sus seguidores.;;;;;;;;;x
karluk;Karluk;karlouke;Karlukisch;;Qarluq;;;;;;;;;x
kirghiz;Kirghiz;kirghize;Kirghizisch;;Kirguís;;;;;;;;;x
khanty;Khanty;khante;Khantisch;;Janty;;;;;;;;;x
afghan;Afghan;afghane;Afghanisch;;Afgano;;;;;;;;;x
baloch;Baloch;baloutche;Balochisch;;Baluchi;;;;;;;;;x
indo_aryan_group;Indo-Aryan;indo-aryen;Indo-Aryanisch;;Indoario;;;;;;;;;x
dravidian_group;Dravidian;dravidien;Dravidianisch;;Dravidiano;;;;;;;;;x
indian;Indian;indienne;Indisch;;Indio;;;;;;;;;x
bengali;Bengali;bengale;Bengalisch;;Bengalí;;;;;;;;;x
hindustani;Hindustani;hindoustanaise;Hindustanisch;;Indostánico;;;;;;;;;x
sindhi;Sindhi;sindhi;Sindhisch;;Sindhi;;;;;;;;;x
marathi;Marathi;marathi;Marathisch;;Maratí;;;;;;;;;x
sinhala;Sinhala;sinhala;Sinhalaisch;;Cingalés;;;;;;;;;x
telugu;Telugu;télougou;Telugisch;;Télugu;;;;;;;;;x
kannada;Kannada;kannada;Kannadisch;;Canarés;;;;;;;;;x
tamil;Tamil;tamoule;Tamilisch;;Tamil;;;;;;;;;x
gujurati;Gujarati;gujarati;Gujuratisch;;Guyaratí;;;;;;;;;x
panjabi;Panjabi;pendjabi;Panjabisch;;Panyabi;;;;;;;;;x
rajput;Rajput;rajput;Rajputisch;;Rajput;;;;;;;;;x
oriya;Oriya;oriya;Oriyaisch;;Oriya;;;;;;;;;x
assamese;Assamese;assamaise;Assamesisch;;Asamés;;;;;;;;;x
IS_LOWBORN;Is lowborn;Est de basse extraction;Ist von niedriger Geburt;;es de baja cuna;;;;;;;;;x
IS_NOT_LOWBORN;Is NOT lowborn;N'est pas de basse extraction;Ist NICHT von niedriger Geburt;;NO es de baja cuna;;;;;;;;;x
IS_REINCARNATED;Is reincarnated;Est réincarné;Ist reinkarniert;;está reencarnado;;;;;;;;;x
IS_NOT_REINCARNATED;Is NOT reincarnated;N'est pas réincarné;Ist NICHT reinkarniert;;NO está reencarnado;;;;;;;;;x
NUM_DYN_MEMBERS_LESS_THAN;Fewer Dynasty members than ;Moins de membres dynastiques que ;Weniger Dynastiemitglieder als;;Menos miembros de dinastía que;;;;;;;;;x
NUM_DYN_MEMBERS_GREATER_THAN;More Dynasty members than ;Davantage de membres dynastiques que ;Mehr Dynastiemitglieder als;;Más miembros de dinastía que;;;;;;;;;x
decadent;Decadent;Décadent;Dekadent;;Decadente;;;;;;;;;x
decadent_desc;Soft living and flagrant debauchery has turned this character decadent, a living offense to all righteous Muslims. Decadent characters will slowly increase the decadence value of their entire dynasty, which can eventually lead to massive tribal uprisings.;Une vie de plaisirs et de débauche a rendu ce personnage décadent. Il est une offense vivante pour tout bon musulman. Les personnages décadents font lentement progresser la décadence de toute leur dynastie, ce qui peut conduire à des soulèvements tribaux généralisés.;Ein bequemes Leben und erstaunliche Ausschweifungen haben diesen Charakter dekadent werden lassen - eine lebende Beleidigung für alle rechtschaffenen Muslime. Dekadente Charaktere erhöhen langsam den Dekadenzwert ihrer ganzen Dynastie, was auf Dauer zu massiven Aufständen führen kann.;;Una vida cómoda y un flagrante libertinaje han hecho a este personaje decadente, una ofensa viviente a los musulmanes honestos. Los personajes decadentes aumentan lentamente la decadencia de la dinastía, lo que puede conducir a levantamientos tribales masivos.;;;;;;;;;x
reincarnation;Reincarnation of [Reincarnation.GetBestName];Réincarnation de [Reincarnation.GetBestName];Reinkarnation von [Reincarnation.GetBestName];;Reencarnación de [Reincarnation.GetBestName];;;;;;;;;x
reincarnation_desc;This character is widely believed to be a reincarnation of [Reincarnation.GetBestName].;Nombreux sont ceux qui pensent que ce personnage est la réincarnation de [Reincarnation.GetBestName].;Dieser Charakter wird weithin für die Reinkarnation von [Reincarnation.GetBestName] gehalten.;;Se cree que este personaje es la reencarnación de [Reincarnation.GetBestName].;;;;;;;;;x
opinion_takfir;Takfir;Takfîr;Takfir;;Takfir;;;;;;;;;x
opinion_straightened_up;Straightened up;Redressement;Gebessert;;Enderezado;;;;;;;;;x
#DECADENCE_DESC;All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from the demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! A smaller demesne for the Dynasty Head\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!;;Alle erwachsenen Muslime unterhalb des Ranges Scheich können die §YDekadent§!-Eigenschaft erhalten. Die Menge an Dekadenz, welche diese Männer in ihre Dynastie einbringen, hängt von ihrem sozialen Status und der Anzahl der von der Dynastie kontrollierten Besitztümer ab. Dekadenz beeinflusst das Steuereinkommen der Domäne und die Moralschäden im Kampf. Möglichkeiten, Dekadenz zu verringern:\n§G*§! Landtitel an Dynastiemitglieder vergeben\n§G*§! Verkleinerung der Domäne des Dynastieführers\n§G*§! Erfolgreiches Überzeugen von Dynastiemitgliedern, ihren sündigen Weg zu verlassen.\n§G*§! Einsperren, verbannen oder töten von dekadenten Dynastiemitgliedern\n§G(Die Religionsübersicht enthält eine Liste dekadenter Dynastiemitglieder.)§!;;Todos los varones musulmanes adultos por debajo del rango de Conde pueden adquirir el rasgo de §YDecadente§!, especialmente aquellos de poco carácter. La Decadencia que introducen en su dinastía depende de su estatus social y de la cantidad de propiedades controladas por la dinastía. La decadencia afecta a los ingresos por impuestos de las heredades y al daño de moral que las levas sufren en batalla. Para detener o reducir la decadencia se puede:\n§G*§! Conceder títulos con tierra a los miembros de la dinastía\n§G*§! Una heredad menor para el cabeza de la dinastía\n§G*§! Convencer a los miembros decadentes para que abandonen sus costumbres pecaminosas.\n§G*§! Apresar, desterrar o matar a los miembros decadentes de la dinastía\n§G(La vista Religión contiene una lista de los miembros decadentes de la dinastía.)§!;;;;;;;;;x
convince_to_straighten_up;Convince to Straighten up;Convaincre de se reprendre en main;Überrede zur Besserung;;Convencer para enderezar;;;;;;;;;x
#convince_to_straighten_up_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.;Tenter de raisonner §Y[This.GetBestName]§! en lui demandant de se reprendre en main. La réussite n'est nullement garantie mais une érudition ou une diplomatie élevée vous aidera.;Versucht, §Y[This.GetBestName]§! zu überzeugen, sein Leben in Ordnung zu bringen. Es gibt keine Garantie auf Erfolg, aber hohe Bildungs- und Diplomatiewerte helfen dabei.;;Intentar razonar con §Y[This.GetBestName]§!, pidiéndole que reforme su conducta. No hay garantías de éxito, pero una habilidad alta de Aprendizaje o Diplomacia ayudará.;;;;;;;;;x
EVTDESC91300;I had the spice merchant beaten for the contemptuous look he gave me. Apparently, there are many who think I have grown soft and decadent, lost to vices and indulging in haram!;Ce marchand d'épices m'a jeté un regard méprisant, j'ai ordonné qu'on lui donne du bâton. Apparemment, nombreux sont ceux qui pensent que je me suis ramolli et que je suis devenu décadent, que je me suis perdu dans le vice et les choses impures !;Ich ließ den Gewürzhändler für seine herablassenden Blicke verprügeln. Offenbar gibt es einige, welche glauben, ich sei weich und dekadent geworden, verloren in Laster und Haram!;;He hecho que golpeen al mercader por su mirada despectiva. ¡Parece ser que muchos creen que me he vuelto blando y decadente, perdido en los vicios y dejándome llevar por lo prohibido!;;;;;;;;;x
EVTOPTA91300;Bah! Minstrel, play another song!;Ridicule ! Ménéstrel, une autre chanson !;Bäh! Barde, spiel ein anderes Lied!;;¡Ba! ¡Juglar, toca otra canción!;;;;;;;;;x
EVTDESC91350;My [GetFromFromRelation] [FromFrom.GetBestName] has let me know that my sinful living shames the entire dynasty. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetDynName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him.);M[FromFrom.GetOnA] [GetFromFromRelation], [FromFrom.GetBestName], m'a fait savoir que ma vie de péchés jette la honte sur toute la dynastie. [FromFrom.GetIlElleCap] utilise son influence pour protéger la maison [Root.GetDynName] mais me conseille vivement de m'inspirer du parfait exemple donné par le Prophète, la paix soit sur lui.;Mein [GetFromFromRelation] [FromFrom.GetBestName] hat mich wissen lassen, dass mein sündiges Leben die gesamte Dynastie beschäme. [FromFrom.GetSubjectPronounCap] nutzt [FromFrom.GetPossPronoun]en Einfluss, um Haus [Root.GetDynName] zu schützen, doch rät mir, mich vom perfekten Vorbild des Propheten, Friede sei mit ihm, leiten zu lassen.;;Mi [GetFromFromRelation] [FromFrom.GetBestName] me ha hecho saber que mi vida pecaminosa avergüenza a toda la dinastía. [FromFrom.GetSubjectPronounCap] ejerce [FromFrom.GetPossPronoun] influencia para proteger la casa [Root.GetDynName], pero me urge a buscar guía en el ejemplo del Profeta (que la paz sea con él).;;;;;;;;;x
EVTOPTA91350;How rude! My life is my own.;Quelle insolence ! Ma vie m'appartient.;Wie unhöflich! Mein Leben gehört mir!;;¡Qué descortés! Mi vida es mía.;;;;;;;;;x
EVTOPTB91350;I will try, with the help of [Root.Religion.GetRandomGodName]!;Que [Root.Religion.GetRandomGodName] m'aide dans cette tâche !;Ich werde es versuchen, mit der Hilfe von [Root.Religion.GetRandomGodName]!;;¡Lo intentaré, con la ayuda de [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC91351;My decadent [GetFromRelation] [From.GetBestName] refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to imprison the degenerate... unless there is another way to get through to [From.GetObjectPronoun].;M[From.GetOnA] [GetFromRelation], [From.GetBestName], en pleine décadence, refuse de revenir dans le droit chemin et sera donc kafir, ce qui me donnera un motif pour l'emprisonner... À moins qu'il existe un moyen de l'aider à revenir dans le droit chemin.;Mein dekadenter [GetFromRelation] [From.GetBestName] weigert sich, [From.GetPossPronoun] sündiges Leben zu ändern. Ich kann [From.GetObjectPronoun] als Kafir deklarieren - Grund genug, den Unsittlichen einzukerkern... außer es gibt einen anderen Weg, zu [From.GetObjectPronoun] durchzudringen.;;Mi decadente [GetFromRelation] [From.GetBestName] se niega a cambiar sus costumbres pecaminosas. Lo puedo declarar kafir, lo que me dará la razón para apresar al degenerado... a menos que haya otra forma de llegar a [From.GetObjectPronoun].;;;;;;;;x
EVTOPTA91351;Invoke Takfir against [From.GetObjectPronoun]!;Invoquer le takfîr contre [From.GetLuiElle] !;Erklärt [From.GetObjectPronoun] zum Takfir!;;¡Proclamar Takfir contra [From.GetObjectPronoun]!;;;;;;;;;x
EVTOPTB91351;I am a better negotiator than this!;Mes talents de négociateur valent mieux que cela !;Ich kann besser verhandeln!;;¡Soy mejor negociador que eso!;;;;;;;;;x
EVTOPTC91351;I must save [From.GetPossPronoun] soul from the fires of Jahannam!;Je dois épargner à son âme le brasier du Jahannam !;Ich muss [From.GetPossPronoun]e Seele vor den Feuern von Jahannam retten!;;¡Debo salvar [From.GetPossPronoun] alma de los fuegos de Yahannam!;;;;;;;;;x
EVTOPTD91351;Time to get... unconventional.;Essayons une méthode moins... conventionnelle.;Zeit, etwas ... Unkonventionelles zu probieren.;;Hora de volverse... imaginativo.;;;;;;;;;x
EVTDESC91352;My [GetFromRelation] [From.GetBestName] understands that [From.GetSubjectPronoun] is living a life of haram, and has ensured me that [From.GetSubjectPronoun] is committed to changing [From.GetPossPronoun] ways.;M[From.GetOnA] [GetFromRelation], [From.GetBestName], comprend que sa vie est du côté haram et m'a promis de grands changements dans son attitude.;Mein [GetFromRelation] [From.GetBestName] versteht, dass [From.GetSubjectPronoun] im Haram lebt, und versichert mir, dass [From.GetSubjectPronoun] [From.GetPossPronoun] Leben ändern wird.;;Mi [GetFromRelation] [From.GetBestName] entiende que vive una vida de haram, y me ha asegurado que va a cambiar sus formas.;;;;;;;;;x
EVTOPTA91352;Good, House [Root.GetDynName] must stay pure!;Bien. La Maison de [Root.GetDynName] demeurera pure.;Gut, das Haus [Root.GetDynName] muss rein bleiben!;;¡Bien, la casa [Root.GetDynName] permanecerá pura!;;;;;;;;;x
