#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;§GCliquez pour trier cette colonne§W;§GZum Sortieren nach dieser Spalte hier klicken§W;;§GClic para ordenar usando esta columna§W;;;;;;;;;x
EVTDESC3260;I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a knight. Luckily, I know how to manipulate people...;Je ne suis pas le plus brave des souverains, parfois même je semble être incapable de me conduire en chevalier. Heureusement, je sais comment manipuler les gens...;Ich bin nicht der kriegerischste aller Herrscher und manchmal scheint es so, als wäre ich geradezu unfähig, wenn es darum geht, mich wie ein Ritter zu benehmen. Zum Glück verstehe ich es, Menschen zu manipulieren ...;;No soy el más marcial de los gobernantes y a veces parezco incluso incompetente a la hora de comportarme como un caballero. Por suerte, se como manipular a la gente...;;;;;;;;;x
EVTOPTA3260;Talk the talk and Talk the talk..;Parler pour parler et parler pour parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3260;Let [Root.job_marshal.GetTitledFirstName] get the blame.;Laisser [Root.job_marshal.GetTitledFirstName] endosser la responsabilité.;Lasst [Root.job_marshal.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_marshal.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3261;I simply can not keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.;Je ne peux plus gérer les affaires quotidiennes de mon domaine. Je compte sur les autres, mais je les manipule également pour qu'ils pensent que c'est moi qui accomplis les tâches les plus difficiles.;Ich schaffe es einfach nicht, die täglichen Geschäfte meiner Domäne zu bewältigen. Ich verlasse mich auf andere, manipuliere sie aber, so dass sie glauben, ich würde die schwierigeren Dinge erledigen.;;No puedo seguir encargándome de los asuntos diarios de mis dominios. Delego en otros, pero les hago creer que yo me encargo de la parte más difícil.;;;;;;;;;x
EVTOPTA3261;Talk the talk and Talk the talk..;Parler pour ne rien dire, mais parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3261;Let [Root.job_treasurer.GetTitledFirstName] get the hard work.;Laisser [Root.job_treasurer.GetTitledFirstName] s'occuper des tâches difficiles.;Lasst [Root.job_treasurer.GetTitledFirstName] die harte Arbeit erledigen.;;Dejar que [Root.job_treasurer.GetTitledFirstName] haga el trabajo duro.;;;;;;;;;x
EVTDESC3262;Sometimes the niceties of diplomacy pass me by and puts me in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.;Parfois, les subtilités de la diplomatie m'échappent et me mettent dans de fâcheuses situations. Par contre, en manipulant minutieusement ma Cour, j'ai réussi à persuader les courtisans d'endosser la responsabilité à ma place lorsque les choses se corsent.;Manchmal fehlt es mir an Feingefühl für die Diplomatie, was mich in unbeholfene Situationen bringt. Wie auch immer, durch sorgfältige Manipulation meines Hofstaats konnte ich es bewerkstelligen, dass meine Höflinge stets die Schuldigen sind, wenn die Dinge schlecht stehen.;;A veces las sutilezas de la diplomacia me superan y me encuentro en situaciones incómodas. Sin embargo, gracias a mi cuidadosa manipulación de la corte, consigo que mis cortesanos carguen con la culpa cuando las cosas salen mal.;;;;;;;;;x
EVTOPTA3262;They serve me after all..;Ils me servent après tout...;Sie dienen mir am Ende doch ...;;Al fin y al cabo me sirven…;;;;;;;;;x
EVTOPTB3262;Let [Root.job_chancellor.GetTitledFirstName] get the blame.;Laisser [Root.job_chancellor.GetTitledFirstName] endosser la responsabilité.;Lasst [Root.job_chancellor.GetTitledFirstName] die Schuld zukommen.;;Dejar que [Root.job_chancellor.GetTitledFirstName] cargue con la culpa.;;;;;;;;;x
EVTDESC3263;I am not a bookish person and if it weren't for some careful comments in some discussions this would become obvious to my court.;Je ne suis pas une personne livresque, et si ce n'était quelques interventions prudentes dans certaines discussions, ce serait maintenant évident aux yeux de ma Cour.;Ich bin keine sonderlich gelehrte Person und wenn es nicht nur ein paar vorsichtige Bemerkungen in einigen, wenigen Diskussionen wären, hätte sich dies meinem Hofstaate längst offenbart.;;No soy una persona ilustrada y, si no fuera por algunos comentarios cuidadosos en ciertas conversaciones, sería obvio para mi corte.;;;;;;;;;x
EVTOPTA3263;Talk the talk and Talk the talk..;Parler pour ne rien dire, mais parler...;Lasst Euren Worten noch mehr Worte folgen ...;;Marear la perdiz...;;;;;;;;;x
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName] is not happy with it.;Cela ne plaît pas à [Root.job_spiritual.GetTitledFirstName].;[Root.job_spiritual.GetTitledFirstName] ist nicht glücklich damit. ;;[Root.job_spiritual.GetTitledFirstName] no está contento con ello.;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC73200;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_marshal.GetTitledFirstName] as [Root.Liege.GetHerHis] marshal. I am more competent and would be a better marshal!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_marshal.GetTitledFirstName] en tant que maréchal. Je suis plus compétent[Root.GetNoneE] et ferais un bien meilleur maréchal !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_marshal.GetTitledFirstName] als [Root.Liege.GetHerHis]en Marschall einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Marschall!;;Es una lástima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_marshal.GetTitledFirstName] como Mariscal. ¡Yo soy más competente y sería mejor Mariscal!;;;;;;;;;x
EVTOPTA73200;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTTOOLTIP73201;will listen to our petition and hopefully make a wise choice;écoutera notre requête. Espérons une sage décision.;wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen;;escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTDESC73201;[From.GetBestName] claims that [From.GetSheHe] would be a better marshal than [Root.job_marshal.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Marshal of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetIlElle] ferait un meilleur maréchal que [Root.job_marshal.GetTitledFirstName], et réclame le titre de maréchal [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe] ein besserer Marschall als [Root.job_marshal.GetTitledFirstName] wäre, und ersucht darum, dass [From.GetSheHe] den Titel des Marschalls von [Root.PrimaryTitle.GetFullName] erhalten möge.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor Mariscal que [Root.job_marshal.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de Mariscal de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73201;[From.GetSheHeCap] is now my new Marshal;[From.GetIlElleCap] est désormais mon nouveau maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall!;;Ahora [From.GetSheHe] es mi nuevo Mariscal;;;;;;;;;x
EVTOPTB73201;Give [Root.job_marshal.GetFirstName] a chance!;Donner à [Root.job_marshal.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_marshal.GetFirstName] eine Chance, sich zu beweisen.;;Dar a [Root.job_marshal.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73202;will hear of our patience.;entendra parler de notre patience.;wird von unserer Geduld hören.;;sabrá de nuestra paciencia.;;;;;;;;;x
EVTOPTC73201;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.GetLeLaLesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73202;My liege [From.GetBestName] is not entirely happy with our performance as Marshal of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;M[From.GetOnA] [From.GetLordLady] lige, [From.GetBestName], n'est pas satisfait[From.GetNoneE] de mes actions en tant que maréchal [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] et envisage de me remplacer.;Unser Lehnsherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Marschall von [Root.PrimaryTitle.GetFullName] und erwägt, uns zu ersetzen ...;;Mi señor [From.GetBestName] no está del todo satisfecho con nuestro rendimiento como Mariscal de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTOPTA73202;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTB73202;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTDESC73203;Enough time has passed, I deserve to become Marshal of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir maréchal [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conférera ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Marschall von [Root.PrimaryTitle.GetFullName] zu werden, und [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Mariscal de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTOPTA73203;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort. ;;Espero su respuesta con impaciencia.;;;;;;;;;x
EVTTOOLTIP73204;will listen to our petition and hopefully make a wise choice;écoutera notre requête. Espérons une sage décision.;wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
#EVTDESC73204;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Marshal of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;Ich versprach [From.GetBestName], dass [From.GetSheHe] eine Chance bekäme, Marschall von [Root.PrimaryTitle.GetFullName] zu werden. Nun ersucht [From.GetSheHe] mich erneut darum.;;Le prometí a [From.GetBestName] que le daría una oportunidad para convertirse en Mariscal de [Root.PrimaryTitle.GetFullName]. Ahora [From.GetSheHe] vuleve a pedírmelo.;;;;;;;;;x
EVTOPTA73204;[From.GetSheHeCap] is now my new Marshal;[From.GetIlElleCap] est désormais mon nouveau maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall!;;[From.GetSheHeCap] es ahora mi nuevo Mariscal;;;;;;;;;x
EVTOPTC73204;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.GetLeLaLesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73205;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Marshal of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetOnA] ch[This.GetErEre] [This.GetBestName], vous êtes digne de confiance.\nJe vous accorde le titre de maréchal [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];Mein lieber und vertrauenswürdiger [This.GetBestName].\nIch gewähre Euch hiermit den Titel des Marschalls von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de Mariscal de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTOPTA73205;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que merezco…;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC73210;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_spymaster.GetTitledFirstName] as [Root.Liege.GetHerHis] Spymaster. I am more competent and would be a better Spymaster!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_spymaster.GetTitledFirstName] en tant que maître-espion. Je suis plus compétent[Root.GetNoneE] et ferais un bien meilleur maître-espion !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_spymaster.GetTitledFirstName] als [Root.Liege.GetHerHis]en Hofspitzel einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Hofspitzel!;;Es una lástima que [Root.Liege.GetTitledFirstName] emplee a [Root.job_spymaster.GetTitledFirstName] como Maestro de Espías. ¡Yo soy más competente y sería mejor Maestro de Espías!;;;;;;;;;x
EVTOPTA73210;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTTOOLTIP73211;will listen to our petition and hopefully make a wise choice;écoutera notre requête. Espérons une sage décision.;wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTDESC73211;[From.GetBestName] claims that [From.GetSheHe] would be a better Spymaster than [Root.job_spymaster.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Spymaster of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetIlElle] ferait un meilleur maître-espion que [Root.job_spymaster.GetTitledFirstName], et réclame le titre de maître-espion [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe] ein besserer Hofspitzel als [Root.job_spymaster.GetTitledFirstName] wäre, und ersucht darum, dass [From.GetSheHe] den Titel des Hofspitzels von [Root.PrimaryTitle.GetFullName] zugesprochen bekäme.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor Maestro de Espías que [Root.job_spymaster.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de Maestro de Espías de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73211;[From.GetSheHeCap] is now my new Spymaster;[From.GetIlElleCap] est désormais mon nouveau maître-espion.;[From.GetSheHeCap] ist von nun an mein neuer Hofspitzel!;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTOPTB73211;Give [Root.job_spymaster.GetTitledFirstName] a chance!;Donner à [Root.job_spymaster.GetTitledFirstName] une chance de faire ses preuves.;Gebt [Root.job_spymaster.GetTitledFirstName] eine Chance.;;Dar a [Root.job_spymaster.GetTitledFirstName] la posibilidad de probarse [Root.job_spymaster.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73212;will hear of our patience.;entendra parler de notre patience.;wird von unserer Geduld hören.;;sabrá de nuestra paciencia.;;;;;;;;;x
EVTOPTC73211;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.GetLeLaLesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73212;My liege [From.GetBestName] is not entirely happy with our performance as Spymaster of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;M[From.GetOnA] [From.GetLordLady] lige, [From.GetBestName], n'est pas satisfait[From.GetNoneE] de mes actions en tant que maître-espion [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] et envisage de me remplacer.;Unser Lehnsherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Hofspitzel von [Root.PrimaryTitle.GetFullName] und erwägt unsere Ablösung ...;;Mi señor [From.GetBestName] no está del todo contento con nuestro rendimiento como Maestro de Espías de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTOPTA73212;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
EVTOPTB73212;What can I do?;Que puis-je faire ?;Was kann ich tun?;;¿Qué puedo hacer?;;;;;;;;;x
EVTDESC73213;Enough time has passed, I deserve to become Spymaster of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir maître-espion [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conférera ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Hofspitzel von [Root.PrimaryTitle.GetFullName] zu werden, und [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Maestro de Espías de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTOPTA73213;I await [Root.Liege.GetHerHis] reply eagerly.;J'attends sa réponse avec impatience.;Ich warte sehnlichst auf [Root.Liege.GetHerHis]e Antwort.;;Espero [Root.Liege.GetHerHis] respuesta con impaciencia.;;;;;;;;;x
EVTTOOLTIP73214;will listen to our petition and hopefully make a wise choice;écoutera notre requête. Espérons une sage décision.;wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
#EVTDESC73214;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Spymaster of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;Ich versprach [From.GetBestName], dass [From.GetSheHe] eine Chance bekäme, Hofspitzel von [Root.PrimaryTitle.GetFullName] zu werden. Nun ersucht [From.GetSheHe] mich erneut darum.;;Le prometí a [From.GetBestName] que le daría una oportunidad para convertirse en Maestro de Espías de [Root.PrimaryTitle.GetFullName]. Ahora [From.GetSheHe] vuelve a reclamarla.;;;;;;;;;x
EVTOPTA73214;[From.GetSheHeCap] is now my new Spymaster;[From.GetIlElleCap] est désormais mon nouveau maître-espion.;[From.GetSheHeCap] ist von nun an mein neuer Hofspitzel!;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTOPTC73214;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.GetLeLaLesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73215;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Spymaster of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.GetOnA] ch[This.GetErEre] [This.GetBestName], vous êtes digne de confiance.\nJe vous accorde le titre de maître-espion [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];M[This.Geteineine] liebe[This.GetrMale] und vertrauenswürdige[This.GetrMale] [This.GetBestName].\nIch gewähre Euch hiermit den Titel des Hofspitzels von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de Maestro de Espías de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTOPTA73215;Its what I deserve..;Je le mérite...;Ich habe es verdient ...;;Es lo que me merezco…;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC73220;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_treasurer.GetTitledFirstName] as [Root.Liege.GetHerHis] Steward. I am more competent and would be a better Steward!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_treasurer.GetTitledFirstName] en tant qu'intendant. Je suis plus compétent[Root.GetNoneE] et ferais un bien meilleur intendant !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_treasurer.GetTitledFirstName] als [Root.Liege.GetHerHis]en Kämmerer einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Kämmerer!;;Es una lástima que [Root.Liege.GetTitledFirstName] contrate a [Root.job_treasurer.GetTitledFirstName] como [Root.GetTreasurerName]. ¡Yo soy más competente y sería mejor [Root.GetTreasurerName]!;;;;;;;;;x
EVTOPTA73220;I will petition my liege!;Je déposerai une requête auprès de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich werde meinen Lehnsherren darum ersuchen!;;¡Lo solicitaré a mi señor!;;;;;;;;;x
EVTTOOLTIP73221;will listen to our petition and hopefully make a wise choice;écoutera notre requête. Espérons une sage décision.;wird unser Gesuch anhören und hoffentlich eine weise Entscheidung treffen.;;escuchará nuestra petición y si dios quiere tomará una sabia decisión.;;;;;;;;;x
EVTDESC73221;[From.GetBestName] claims that [From.GetSheHe] would be a better Steward than [Root.job_treasurer.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Steward of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetIlElle] ferait un meilleur intendant que [Root.job_treasurer.GetTitledFirstName], et réclame le titre d'intendant [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe] ein besserer Kämmerer als [Root.job_treasurer.GetTitledFirstName] wäre, und ersucht darum, dass [From.GetSheHe] den Titel des Kämmerers von [Root.PrimaryTitle.GetFullName] zugesprochen bekäme.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor [Root.GetTreasurerName] que [Root.job_treasurer.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73221;[From.GetSheHeCap] is now my new Steward;[From.GetIlElleCap] est désormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Kämmerer!;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTOPTB73221;Give [Root.job_treasurer.GetFirstName] a chance!;Donner à [Root.job_treasurer.GetFirstName] une chance de faire ses preuves.;Gebt [Root.job_treasurer.GetFirstName] eine Chance, sich zu beweisen.;;Dar a [Root.job_treasurer.GetFirstName] la posibilidad de probarse [From.GetHerselfHimself];;;;;;;;;x
EVTTOOLTIP73222;will hear of our patience.;entendra parler de notre patience.;wird von unserer Geduld hören.;;sabrá de nuestra paciencia.;;;;;;;;;x
EVTOPTC73221;I rule in the [Root.PrimaryTitle.GetFullName]!;Je règne sur [Root.GetLeLaLesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] !;Ich herrsche im [Root.PrimaryTitle.GetFullName]!;;¡Yo gobierno en [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x
EVTDESC73222;My liege [From.GetBestName] is not entirely happy with our performance as Steward of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;M[From.GetOnA] [From.GetLordLady] lige, [From.GetBestName], n'est pas satisfait[From.GetNoneE] de mes actions en tant qu'intendant [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] et envisage de me remplacer.;Unser Lehnsherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Kämmerer von [Root.PrimaryTitle.GetFullName] und erwägt, uns auszutauschen ...;;Mi señor [From.GetBestName] no está del todo contento con nuestro rendimiento como [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTOPTA73222;I must prove myself!;Je dois faire mes preuves !;Ich muss mich beweisen!;;¡Debo probar mi valía!;;;;;;;;;x
