#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#EVTDESC_JD_30047;Through years of careful strategic planning, repeated tactical brilliance, and quantities of luck only explicable as outright divine intervention, we have managed to whittle down the enemy armies. I almost allowed myself to dream of victory, but just now I was informed that the Chinese Emperor has dispatched further forces to the West...;À travers des années de planification stratégique minutieuse, de coups d'éclat tactiques et d'une chance seulement explicable par une intervention divine, nous avons réussi à réduire les armées ennemies. Je me suis presque permis de rêver à la victoire, mais tout à l'heure, j'ai été informé que l'empereur chinois a envoyé d'autres forces à l'Ouest...;Durch jahrelange sorgfältige Planung, wiederholte taktische Brillanz und einen Haufen Glück, das auch als göttlicher Eingriff gesehen werden kann, haben wir es geschafft, die feindlichen Armeen niederzuschlagen. Ich erlaube mir fast, vom Sieg zu träumen, aber gerade jetzt wurde mir mitgeteilt, dass der chinesische Kaiser weitere Truppen in den Westen geschickt hat...;;Tras años de cuidadosos planteamientos estratégicos, brillantez estratégica constante y una suerte solo explicable por intervención divina, hemos conseguido mermar los ejércitos enemigos. Casi me permití soñar con la victoria, pero entonces me informaron que el emperador de China ha enviado más fuerzas a Occidente…;;;;;;;;;x
EVTOPTA_JD_30047;What does it take to bring down this beast?!;Que faut-il pour abattre cette bête ?;Was braucht es, um dieses Tier zu Fall zu bringen!?;;¿Qué hay que hacer para derrotar a la bestia?;;;;;;;;;x
SETTLEMENT_FINISHED_LOG;A $SETTLEMENTTYPE|Y$ holding has finished construction in $PROVINCE|Y$;Achèvement d'une propriété ($SETTLEMENTTYPE|Y$) en $PROVINCE|Y$;Ein(e) $SETTLEMENTTYPE|Y$ hat den Bau in $PROVINCE|Y$ abgeschlossen;;Se ha terminado de construir un $SETTLEMENTTYPE|Y$ en $PROVINCE|Y$;;;;;;;;;x
null_society;the Society;la société;die Gesellschaft;;la Sociedad;;;;;;;;;x
null_society_currency;Society Currency;Monnaie de la société;Gesellschaftswährung;;Moneda de la Sociedad;;;;;;;;;x
HAS_ARTIFACT;Has the $VAL|Y$ artifact;A l'artefact $VAL|Y$;Hat das Artefakt $VAL|Y$;;Tiene el artefacto $VAL|Y$;;;;;;;;;x
HAS_ARTIFACT_NOT;Does NOT have the $VAL|Y$ artifact;N'a pas l'artefact $VAL|Y$;Hat NICHT das Artefakt $VAL|Y$;;NO tiene el artefacto $VAL|Y$;;;;;;;;;x
OFFMAP_STATUS_TRIGGER_NOT;Does NOT have the $STATUS|Y$ status;N'a pas le statut '$STATUS|Y$';Hat NICHT den Status $STATUS|Y$;;NO tiene el estatus $STATUS|Y$;;;;;;;;;x
OFFMAP_STATUS_TRIGGER;Has the $STATUS|Y$ status;A le statut '$STATUS|Y$';Hat den Status $STATUS|Y$;;Tiene el estatus $STATUS|Y$;;;;;;;;;x
OFFMAP_PREV_STATUS_TRIGGER_NOT;Did NOT have $STATUS|Y$ as its previous status;N'a pas eu '$STATUS|Y$' comme statut précédent;Hatte NICHT als vorherigen Status $STATUS|Y$;;NO tenía antes el estatus $STATUS|Y$;;;;;;;;;x
OFFMAP_PREV_STATUS_TRIGGER;Had $STATUS|Y$ as its previous status;A eu '$STATUS|Y$' comme statut précédent;Hatte als vorherigen Status $STATUS|Y$;;Tenía antes el estatus $STATUS|Y$;;;;;;;;;x
OFFMAP_POLICY_TRIGGER_NOT;Does NOT have the $POLICY|Y$ policy;N'a pas une politique $POLICY|Y$;Hat NICHT die Politik $POLICY|Y$;;NO tiene el política $POLICY|Y$;;;;;;;;;x
OFFMAP_POLICY_TRIGGER;Has the $POLICY|Y$ policy;A une politique $POLICY|Y$;Hat die Politik $POLICY|Y$;;Tiene el política $POLICY|Y$;;;;;;;;;x
OFFMAP_PREV_POLICY_TRIGGER_NOT;Did NOT have $POLICY|Y$ as its previous policy;N'a pas eu '$POLICY|Y$' comme politique précédente;Hatte NICHT $POLICY|Y$ als vorherige Politik;;NO tenía antes la política $POLICY|Y$;;;;;;;;;x
OFFMAP_PREV_POLICY_TRIGGER;Had $POLICY|Y$ as its previous policy;A eu '$POLICY|Y$' comme politique précédente;Hatte $POLICY|Y$ als vorherige Politik;;Tenía antes la política $POLICY|Y$;;;;;;;;;x
OFFMAP_STATUS_FLAG_TRIGGER_NOT;Current status does NOT have the $FLAG|Y$ flag;Le statut actuel n'a pas le drapeau '$FLAG|Y$';Momentaner Status hat NICHT die $FLAG|Y$-Flag;;Estatus actual NO tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_STATUS_FLAG_TRIGGER;Current status has the $FLAG|Y$ flag;Le statut actuel a le drapeau '$FLAG|Y$';Momentaner Status hat die $FLAG|Y$-Flag;;Estatus actual tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_PREV_STATUS_FLAG_TRIGGER_NOT;Previous status does NOT have the $FLAG|Y$ flag;Le statut précédent n'a pas le drapeau '$FLAG|Y$';Vorheriger Status hat NICHT die $FLAG|Y$-Flag;;Estatus previo NO tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_PREV_STATUS_FLAG_TRIGGER;Previous status has the $FLAG|Y$ flag;Le statut précédent a le drapeau '$FLAG|Y$';Vorheriger Status hat die $FLAG|Y$-Flag;;Estatus previo tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_POLICY_FLAG_TRIGGER_NOT;Current policy does NOT have the $FLAG|Y$ flag;La politique actuelle n'a pas le drapeau '$FLAG|Y$';Momentane Politik hat NICHT die $FLAG|Y$-Flag;;Política actual NO tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_POLICY_FLAG_TRIGGER;Current policy has the $FLAG|Y$ flag;La politique actuelle a le drapeau '$FLAG|Y$';Momentane Politik hat die $FLAG|Y$-Flag;;Política actual tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_PREV_POLICY_FLAG_TRIGGER_NOT;Previous policy does NOT have the $FLAG|Y$ flag;La politique précédente n'a pas le drapeau '$FLAG|Y$';Vorherige Politik hat NICHT die $FLAG|Y$-Flag;;Política actual NO tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_PREV_POLICY_FLAG_TRIGGER;Previous policy has the $FLAG|Y$ flag;La politique précédente a le drapeau '$FLAG|Y$';Vorherige Politik hat die $FLAG|Y$-Flag;;Política actual tiene la bandera $FLAG|Y$;;;;;;;;;x
OFFMAP_SET_STATUS;Status changes to $STATUS|Y$;Changement de statut à $STATUS|Y$;Status wechselt zu $STATUS|Y$;;Cambia estatus a $STATUS|Y$;;;;;;;;;x
OFFMAP_SET_POLICY;Policy changes to $POLICY|Y$;Changement de politique à $POLICY|Y$;Politik wechselt zu $POLICY|Y$;;Cambia política a $POLICY|Y$;;;;;;;;;x
OFFMAP_SET_HOLDER;Set holder to $WHO|Y$;Mettre le détenteur à $WHO|Y$;Setzt Besitzer zu $WHO|Y$;;$WHO|Y$ hecho propietario;;;;;;;;;x
OFFMAP_HAS_NAME_NOT;Is NOT currently named $NAME|Y$;N'est pas actuellement nommé $NAME|Y$;Trägt momentan NICHT den Namen $NAME|Y$;;Ahora NO se llama $NAME|Y$;;;;;;;;;x
OFFMAP_HAS_NAME;Is currently named $NAME|Y$;Est actuellement nommé $NAME|Y$;Trägt momentan den Namen $NAME|Y$;;Ahora se llama $NAME|Y$;;;;;;;;;x
OFFMAP_HAS_NOT_USED_NAME;Has NOT used the name $NAME|Y$;N'a pas utilisé le nom $NAME|Y$;Hat den Namen $NAME|Y$ NICHT benutzt;;NO ha usado el nombre $NAME|Y$;;;;;;;;;x
OFFMAP_HAS_USED_NAME;Has used the name $NAME|Y$;A utilisé le nom $NAME|Y$;Hat den Namen $NAME|Y$ benutzt;;Ha usado el nombre $NAME|Y$;;;;;;;;;x
OFFMAP_SET_NAME;Change name to $NAME|Y$;Prendre $NAME|Y$ comme nom;Namen wechseln zu $NAME|Y$;;Cambia nombre a $NAME|Y$;;;;;;;;;x
IS_OFFMAP_RULER_NOT;Is NOT an offmap ruler;N'est pas un dirigeant hors carte;Herrscher ist nicht außerhalb der Karte;;NO es gobernante de fuera del mapa;;;;;;;;;x
IS_OFFMAP_RULER;Is an offmap ruler;Est un dirigeant hors carte;Herrscher ist außerhalb der Karte;;Es gobernante de fuera del mapa;;;;;;;;;x
IS_OFFMAP_GOVERNOR_NOT;Is NOT governor for an offmap title;N'est pas gouverneur pour un titre hors carte;Ist NICHT Gouverneur eines Titels außerhalb der Karte;;NO es gobernador de un título fuera del mapa;;;;;;;;;x
IS_OFFMAP_GOVERNOR;Is governor for an offmap title;Est gouverneur pour un titre hors carte;Ist Gouverneur eines Titels außerhalb der Karte;;Es gobernador de un título fuera del mapa;;;;;;;;;x
ADULT_ONLY;Only adults;Seulement les adultes;Nur Erwachsene;;Solo adultos;;;;;;;;;x
OFFMAP_CURRENCY_TRIGGER_NOT;Does NOT have $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ with the offmap power $OFFMAP|Y$;Le montant de $CURRENCY|Y$ avec la puissance hors carte $OFFMAP|Y$ n'est pas $COMPARISON|Y$ $VALUE|Y$;Hat NICHT $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ mit der außerhalb der Karte liegenden Macht $OFFMAP|Y$;;NO tiene $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ con $OFFMAP|Y$, potencia fuera del mapa;;;;;;;;;x
OFFMAP_CURRENCY_TRIGGER;Has $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ with the offmap power $OFFMAP|Y$;Le montant de $CURRENCY|Y$ avec la puissance hors carte $OFFMAP|Y$ est $COMPARISON|Y$ $VALUE|Y$;Hat $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ mit der außerhalb der Karte liegenden Macht $OFFMAP|Y$;;Tiene $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ con $OFFMAP|Y$, potencia fuera del mapa;;;;;;;;;x
monthly_grace;Monthly Grace;Grâce mensuelle;Monatliche Gunst;;Gracia mensual;;;;;;;;;x
offmap_full_title;$TITLE$ $TIER$;$TIER$ $TITLE$;$TITLE$ $TIER$;;$TITLE$ $TIER$;;;;;;;;;x
OFFMAP_BOONS;§YAsk for Boon§!;§YDemander une faveur§!;§YNach Gefallen fragen§!;;§YPide un regalo§!;;;;;;;;;x
#OFFMAP_BOONS_DESC;If the [offmap_china.GetName] is amenable to foreign relations, and you have not yet had your appeals heard in the past year, you can send an envoy to request any one of a variety of blessings the Emperor might deem you worthy of.;Si l'[offmap_china.GetName] est ouvert aux relations étrangères, et que vos appels n'ont pas été entendus depuis un an, vous pouvez envoyer un émissaire pour demander une faveur à l'empereur.;Wenn das [offmap_china.GetName] für auswärtige Beziehungen offen ist und Eure Bitte im vergangenen Jahr noch nicht erhört wurde, könnt Ihr einen Gesandten entsenden, um eine aus einer Vielzahl von Segnungen zu wählen, die der Kaiser für Euch würdig hält.;;Si [offmap_china.GetName] está abierto a las relaciones exteriores, y el año pasado no se escucharon tus peticiones, puedes mandar un enviado a solicitar alguna de las bendiciones de las que el Emperador te crea digno.;;;;;;;;;x
OFFMAP_GIFTS;§YPay Tribute§!;§YPayer un tribut§!;§YTribut bezahlen§!;;§YPaga tributo§!;;;;;;;;;x
#OFFMAP_GIFTS_DESC;If the [offmap_china.GetName] is amenable to foreign relations, and you have not yet intruded upon the busy Chinese court with your gifts in the past year, you can send an envoy to provide the Emperor with a token of your subservience.;Si l'[offmap_china.GetName] est ouvert aux relations étrangères, et que vous n'avez pas encore dérangé avec vos cadeaux la très occupée cour chinoise depuis un an, vous pouvez envoyer un émissaire pour fournir à l'Empereur un signe de votre subordination.;Wenn das [offmap_china.GetName] für auswärtige Beziehungen offen ist und Ihr im vergangenen Jahr noch nicht den Hof mit Euren Geschenken überhäuft habt, könnt ihr einen Gesandten entsenden, um dem Kaiser ein Zeichen Eurer Unterwürfigkeit zu bringen.;;Si [offmap_china.GetName] está abierto a las relaciones exteriores, y el año pasado no entraste en la ajetreada corte china con tus regalos, puedes mandar un enviado a proporcionar al Emperador una muestra de tu servidumbre.;;;;;;;;;x
OFFMAP_TAG_TRIGGER_NOT;Is NOT $OFFMAP|Y$;N'est pas $OFFMAP|Y$;Ist NICHT $OFFMAP|Y$;;NO es $OFFMAP|Y$;;;;;;;;;x
OFFMAP_TAG_TRIGGER;Is $OFFMAP|Y$;Est $OFFMAP|Y$;Ist $OFFMAP|Y$;;Es $OFFMAP|Y$;;;;;;;;;x
OFFMAP_MAP_MODE;§YOpen Map Mode§!;§YOuvrir le mode carte§!;§YKartenmodus öffnen§!;;§YAbre el modo mapa§!;;;;;;;;;x
OFFMAP_MAP_MODE_DESC;Shows the realm of the governor, the tributaries, and the diplomatic range of [Root.GetShortGenericName];Affiche le pays du gouverneur, les tributaires et la portée diplomatique de l'[Root.GetShortGenericName];Zeigt das Reich des Gouverneurs, die Tributstaaten und die diplomatische Reichweite von [Root.GetShortGenericName];;Muestra el reino del gobernador, tributarios y el alcance diplomático del [Root.GetShortGenericName];;;;;;;;;x
DECISION_SELECT_THIRD_PARTY;§RYou need to select a third party§!;§RVous avez besoin de sélectionner un tiers§!;Ihr müsst einen Dritten auswählen§!;;¡§RDebes elegir un tercero§!;;;;;;;;;x
THIRD_PARTY_SCORE;Value;Valeur;Wert;;Valor;;;;;;;;;x
OCCUPATION_WARSCORE_LIMIT_ATTACKERS;Warscore from occupation is limited to $VALUE$ for attackers with this casus belli;Le score de guerre est limité à $VALUE$ pour les attaquants avec ce casus belli;Kriegsstand durch Besetzung ist für Angreifer mit diesem Kriegsgrund begrenzt auf $VALUE$;;Puntuación de guerra por ocupación se limita a $VALUE$ para atacantes con este casus belli.;;;;;;;;;x
