#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;Is NOT a member of House ;N'est pas un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
tut_8b_11;Should you join the Crusade but one of the other Catholics wins it, you will not get any land but you will still get piety and prestige, as well as the Crusader trait. Click next to end this part.;Dans le cas où vous rejoignez la croisade mais que c'est un autre catholique qui la gagne, vous ne recevrez aucune terre mais vous recevrez quand même de la piété et du prestige ainsi que le trait 'Croisé'. Cliquez sur suivant pour terminer ce chapitre.;Solltet Ihr Euch einem Kreuzzug anschließen, der von einem anderen katholischen Herrscher gewonnen wird, so erhaltet Ihr keinerlei Land, jedoch ebenfalls Prestige, Pietät und die Eigenschaft "§YKreuzritter§!". Klickt auf "weiter", um diesen Teil des Tutorials zu beenden.;;Si decides participar en la Cruzada pero otro de los participantes es el vencedor, no recibirás ni un acre de tierra, pero recibirás piedad y presigio, así como el rasgo Cruzado. Pulsa siguiente para terminar este capitulo.;;;;;;;;;x
tut_8b_4;Religious vassals of Catholic rulers will only give you troops and money if they have a higher opinion of you than they do of the Pope. The easiest way to assure that, is to actually appoint someone to bishop that already likes you. Click the laws tab to see how you can accomplish that.;Les vassaux religieux d'un dirigeant catholique ne vous donneront troupes et argent que s'ils ont une meilleure opinion de vous que du pape. Le meilleur moyen de s'en assurer est en fait de nommer évêque quelqu'un qui vous aime déjà. Cliquez sur l'onglet Lois afin de découvrir commment accomplir cela.;Religiöse Vasallen eines katholischen Herrschers entrichten diesem nur dann Steuern und Truppen, wenn sie von ihm eine höhere Meinung haben als vom Papst. Die einfachste Methode, um dies sicherzustellen ist es, nur solche Leute zum Bischof zu ernennen, die Euch bereits wohlgesonnen sind. Klickt die Schaltfläche "Gesetze", um zu erfahren, wie Ihr dies bewerkstelligen könnt.;;Los vasallos eclesiásticos de un gobernante católico sólo te ayudarán tropas y dinero si tienen mejor opinión sobre ti que sobre el Papa. La mejor forma de asegurarse de ello, es apuntar a alguien que te sea leal como obispo. Mira las leyes para comprobar como hacerlo.;;;;;;;;;x
tut_7c_5;You can have one plot and one ambition active at any given time. If you already have a plot and want to scheme against another character, you will have to cancel your old plot first.;Vous pouvez avoir un complot et une ambition active à n'importe quel moment. Si vous avez déjà un complot et désirez manigancer contre un autre personnage, vous devez auparavant annuler votre ancien complot.;Ihr könnt nur eine Verschwörung und eine Ambition gleichzeitig besitzen. Wollt ihr gegen einen weiteren Charakter intrigieren, so müsst Ihr Eure alte Verschwörung zunächst abbrechen.;;Sólo puedes tener activos un complot y una ambición al mismo tiempo. Si ya participas en un complot y quieres conspirar contra otro personaje, primero deberás cancelar tu viejo complot.;;;;;;;;;x
tut_7b_4;To the left of your portait you can see a small circular button called 'Choose an Ambition'. Here you can set an ambition for your current character. Example ambitions can be to get married, to hoard up a big pile of gold, get a thousand prestige or other things like this. When you succeed with an ambition, you will also get some kind of reward, a better reward for a harder ambition of course.;A gauche de votre portrait vous trouverez un petit bouton circulaire appelé 'Choisir une ambition'. C'est là que vous pouvez déterminer l'ambition de votre personnage actuel. Les ambitions types sont de se marrier, d'amasser une grande somme d'argent, d'avoir un millier de points en prestige ou d'autres choses de ce type. Lorsque vous réussissez à accomplir votre ambition, vous recevrez aussi une sorte de récompense. Celle-ci sera plus important plus l'ambition est difficile à atteindre bien sûr.;Links neben Eurem Porträt könnt Ihr eine runde Schaltfläche mit dem Namen "Wählt eine Ambition" finden. Hier könnt Ihr die Ambition wählen, der Euer Charakter folgen soll. Beispiele für mögliche Ambitionen sind Heirat, die Anhäufung von Reichtümern, die Ansammlung von 1000 Punkten Prestige oder ähnliche Dinge. Wenn Ihr Eure Ambition erfolgreich abschließt, erhaltet Ihr eine Belohnung. Schwierigere Ambitionen erzielen verständlicherweise höhere Belohnungen.;;A la izquierda de tu retrato podrás ver un pequeño botón circular llamado "Escoger Ambición'. Aquí es donde puedes escoger una ambición para tu personaje actual. Posibles ambiciones son casarse, ahorrar una gran cantidad de dinero, ser muy prestigioso, o cosas semejantes. Cuando consigues llevar a cabo una ambición, recibirás una recompensa, que será mejor según la dificultad de conseguir lo ambicionado.;;;;;;;;;x
tut_7c_4;We talked about ambitions in the intermediary intrigue tutorial. Plots can also be chosen from the character portrait screen by finding a character you wish to plot against and clicking the 'Choose a Plot' button. However, because it's hard to know exactly who you would benefit from plotting against, an easier way is to use the plot selector in the intrigue screen to find interesting plots. It is a large button called 'Click to choose a plot'.;Nous avons parlé des ambitions dans le tutoriel intermédiaire sur les intrigues. Les complots peuvent aussi être choisis à partir de l'écran du portrait de votre personnage en trouvant un autre personnage contre lequel vous désirez comploter et en cliquant le bouton 'Choisir un complot'. Cependant, parce qu'il est difficile de savoir les bénefices que pourraient vous rapporter un complot contre un personnage donné, un moyen plus facile est d'utiliser le menu des complots dans l'écran intrigue afin de trouver des complots intéressants. C'est un grand bouton appellé 'Cliquez pour choisir un complot'.;Über Ambitionen haben wir im mittleren Intrigen-Tutorial geredet. Verschwörungen können ebenfalls über den Charakterbildschirm ausgewählt werden. Geht hierzu auf den Charakterbildschirm der Zielperson und klickt die Schaltfläche "Wählt einen Anschlag". Da es allerdings mitunter schwer sein kann zu erkennen, von welchen möglichen Verschwörungen Ihr am meisten profitieren würdet, gibt es einen einfacheren Weg, um interessante Verschwörungen zu finden. Geht hierfür auf die Intrigenseite und klickt auf die große Schaltfläche, die mit "Zur Auswahl einer Verschwörung klicken" betitelt ist.;;Ya hemos hablado sobre ambiciones el tutorial intermedio sobre la intriga. Los complots también pueden ser esogidos desde la pantalla del retrato del personaje buscando un personaje contra el que quieras conspirar y seleccionando el botón 'Escoger Complot'. Sin embargo, ya que es dificil saber exáctamente contra quien te beneficiaria conspirar, es más facil hacerlo desde la selección de conspiraciones. Es un botón alargado llamado 'Seleccionar Complot';;;;;;;;;x
tut_7b_2;This part will tell you about ambitions. All playable characters can select an ambition in addition to plotting devious schemes. Click your character portait to learn more.;Ce chapitre vous parlera des ambitions. Tous les personnages jouables peuvent sélectionner une ambition en plus de manigancer des complots sournois. Cliquez sur le portrait de votre personnage pour en apprendre plus.;Dieser Teil wird Euch über Ambitionen aufklären. Alle Charaktere können neben ihren hinterhältigen Verschwörungen auch persönliche Ambitionen wählen. Klickt auf das Porträt Eures Charakters, um mehr darüber zu erfahren.;;Este apartado tratará sobre las ambiciones. Todos los personajes jugables pueden seleccionar una ambición además de participar en conspiraciones. Selecciona el retrato de tu personaje para aprender más.;;;;;;;;;x
tut_5b_4;In the military tab you can see that there are two different kind of levies: Personal levies and vassal levies. Personal levies are the ones you control yourself while the vassal levies are the levies controlled by your vassals and the vassals of your vassals. Click next to continue.;Dans l'onglet militaire 'Armée', vous pouvez voir qu'il y a deux sortes de troupes: l'armée du domaine et l'armée fournie par les vassaux. Cliquez suivant pour continuer.;Wie Ihr auf der Militärseite sehen könnt, gibt es zwei Arten von Lehnstruppen, solche aus Eurer persönlichen Domäne und solche, die von Euren Vasallen gestellt werden. Domänentruppen sind jene aus Provinzen, die von Euch kontrolliert werden, während die Vasallentruppen aus Provinzen stammen, die von Euren Vasallen oder den Vasallen Eurer Vasallen kontrolliert werden. Klickt weiter, um fortzufahren.;;En la pestaña militar puedes observar que hay dos tipos diferentes de levas: Las personales y las de los vasallos. Las levas personales son aquellas que controlas directamente, mientras que las de los vasallos son los que controlan tus vasallos y sus vasallos. Selecciona continuar para seguir.;;;;;;;;;x
tut_1a_3;Because you are playing as a Catholic ruler, provinces owned by religious holders like bishops will only give you money if their opinions of you are higher than their opinion of the Pope. Otherwise the money goes to him. Vassals other than bishops will always give you money, but you will get more if they like you.;Parce que vous jouez un seigneur catholique, les provinces contrôlées par les titulaires religieux tels que les évêques ne vous fourniront de l'argent que si leur opinion de vous est plus haute que celle qu'ils ont du Pape. Sinon l'argent ira à celui-ci. Les vassaux qui ne sont pas des évêques vous donnerons toujours de l'argent mais vous en recevrez plus s'ils vous apprécient.;Da Ihr einen katholischen Herrscher spielt, zahlen Euch religiöse Vasallen wie Bischöfe nur dann Steuern, wenn sie eine höhere Meinung von Euch als vom amtierenden Papst haben. Andernfalls zahlen sie an die Kirche. Andere Arten von Vasallen als Bischöfe zahlen stets an Euch, jedoch erhaltet Ihr mehr Geld, wenn sie Euch mögen.;;Como estas jugando con un gobernante católico, las provincias gobernadas por gobernantes eclesiásticos, como los obispos, sólo te pagarán impuestos si su opinión sobre ti es mayor que su opinión sobre el Papa. Si no todo el dinero ira para él. Todos los demás vasallos te pagaran los impuestos, más cuanto mejor opinión tengan de ti.;;;;;;;;;x
FAMILY_DUES_IRO;Adult §Y$DYNASTY$§! men at court: §Y$NUM$§! (§Y$GOLD$§!¤ each).;Hommes adultes §Y$DYNASTY$§! à la cour: §Y$NUM$§! (§Y$GOLD$§!¤ chacun).;Erwachsene §Y$DYNASTY$§!-Männer am Hof: §Y$NUM$§! (je §Y$GOLD$§!).;;Hombres adultos de la casa §Y$DYNASTY$§! en tu corte: §Y$NUM$§! (§Y$GOLD$§!¤ cada).;;;;;;;;;x
FAMILY_DUES_DRO;Adult male courtiers of the Patrician's dynasty all require a share of the income. In return, they increase the Trade Post limit.;Les courtisans mâles adultes de la dynastie du patricien demandent tous une partie des revenus. En échange, ils augmentent la limite des comptoirs.;Erwachsene männliche Höflinge der Dynastie des Patriziers erhalten einen Anteil an den Einkünften, erhöhen dafür aber auch die Obergrenze an möglichen Handelsposten.;;Los cortesanos varones adultos de la dinastía del Patricio recibirán una parte de los ingresos. Como contraprestación incrementarán el límite de puestos comerciales que puedes tener.;;;;;;;;;x
coastal_republic_desc;§Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§! since he or a vassal Patrician has a Trade Post in place, or the target is a rival merchant republic.;§Y$CLAIMANT$§! peut déclarer la guerre pour prendre possession de §Y$TITLE$§! côtière puisqu'il (ou un Patricien vassal) y a un comptoir ou que la cible est une république marchande rivale.;§Y$CLAIMANT$§! kann Krieg erklären, um die Kontrolle über die Küste von §Y$TITLE$§! zu erlangen, da entweder er oder ein Patriziervasall dort einen Handelsposten besitzt oder das Ziel einer rivalisierenden Handelsrepublik gehört.;;§Y$CLAIMANT$§! puede declarar la guerra para tomar el costero §Y$TITLE$§! porque él o un patricio vasallo tiene un puesto comercial en el, o el objetivo forma parte de una republica mercantil rival.;;;;;;;;;x
coastal_county_republic_desc;As a Merchant Republic, §Y$CLAIMANT$§! can declare war to seize control of §Y$TITLE$§! since they already control a city there and the county is within range.;En tant que république marchande, §Y$CLAIMANT$§! peut déclarer la guerre pour prendre le contrôle de §Y$TITLE$§! puisqu'il y contrôle déjà une ville et que le comté est à distance de celle-ci.;Als Handelsrepublik kann §Y$CLAIMANT$§! Krieg erklären, um die Kontrolle über §Y$TITLE$§! zu erlangen, da sie dort bereits eine Stadt kontrollieren und die Provinz in Reichweite ist.;;§Y$CLAIMANT$§! puede declarar la guerra para controlar §Y$TITLE$§! porque ya contola su ciudad y el condado está en nuestra esfera de influencia.;;;;;;;;;x
MAX_TRADE_POSTS;Trade Post Limit: §Y$LIMIT$§!;Limite de comptoirs: §Y$LIMIT$§!;Obergrenze an Handelsposten: §Y$LIMIT$§!;;Límite de puestos comerciales: §Y$LIMIT$§!;;;;;;;;;x
MIN_TRADE_POSTS;Minimum Trade Post Limit: §Y$NUM$§!;Limite de comptoirs minimum: §Y$NUM$§!;Mindestanzahl an Handelsposten: §Y$NUM$§!;;Límite mínimo de puestos comerciales: §Y$NUM$§!;;;;;;;;;x
ADULT_FAMILY_IN_COURT;Adult Male Family Members in Court: §Y+$VALUE$§!;Nombres de membres adultes mâles de la famille qui se trouvent à la cour: §Y+$VALUE$§!;Erwachsene männliche Familienmitglieder am Hofe: §Y+$VALUE$§!;;Familiares varones adultos en la corte: §Y+$VALUE$§!;;;;;;;;;x
#IS_NOT_OVER_TRADEPOST_LIMIT;Is not over Trade Post Limit;;Ist nicht über der Obergrenze an Handelsposten;;No estás por encima del límite de puestos comerciales;;;;;;;;;x
DECLARE_WAR_INTERACTION_0;Breaking the Truce (ends on §Y$DATE$§!) would cost you §R$PRESTIGE$§! Prestige. You would be considered a '§YTruce Breaker§!', lowering all §Y[Recipient.Religion.GetGroupName]§! rulers' opinion of you by §R$OPINION$§!.;Briser la trève (celle-ci se termine le §Y$DATE$§!) vous coûterait §R$PRESTIGE$§! prestige. Vous seriez considéré comme un §Ybriseur de trèves§! ce qui diminuerait de §R$OPINION$§! l'opinion qu'a de vous tout dirigeant §Y[Recipient.Religion.GetGroupName]§!.;Der Bruch des Waffenstillstands (endet §Y$DATE$§!) kostet Euch §R$PRESTIGE$§! Prestige und reduziert die Meinung aller §Y[Recipient.Religion.GetGroupName]en§W Herrscher von Euch um §R$OPINION$§!. Ihr werdet außerdem als §Y"Eidbrecher"§W angesehen (§R-5§W Diplomatie für §Y5§W Jahre).;;Romper la tregua (dura hasta §Y$DATE$§!) te costar?§R$PRESTIGE$§! prestigio y reducir?la opinión de todos los gobernantes §Y[Recipient.Religion.GetGroupName]? hacía ti. Además serás considerado un '§YViolador de Treguas? (§R-5? diplomacia durante §Y5? años.);;;;;;;;;x
IMPRISON_INTERACTION_1B;Using this option is viewed as tyrannical, and will lower the opinions of all characters in the Republic of you by §R$OPINION$§!;Cette voie est considérée comme tyrannique et l'opinion qu'ont de vous les personnages de la République diminuera de §R$OPINION$§!;Dies wird als tyrannisch angesehen werden und die Meinung aller Personen in der Republik über Euch um §R$OPINION$§! verschlechtern!;;Llevar a cabo esta acción ser?considerada tiránica, y reducir?la opinión sobre ti de todos los personajes en la República en §R$OPINION$§!;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§! ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige : $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé quelqu'un ayant le statut de $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
