#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TOOLTIP_DISALLOW_TRUE_COGNATIC;Disallows Absolute Cognatic succession laws\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;Allows Absolute Cognatic succession laws\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession supplémentaires.\n;Erlaubt zusätzliche Erbfolgerechte.\n;;Permite las leyes de sucesión adicional\n;;;;;;;;;x
#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Empêche les lois de succession supplémentaires.\n;Verbietet zusätzliche Erbfolgerechte.\n;;No permite las leyes de sucesión adicional\n;;;;;;;;;x
opinion_powerful_vassal_not_voter;Wants Seat on the Council;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
horse_death;horsing around;en galopant;im Galopp;;Haciendo el tonto;;;;;;;;;x
AIREASON_EXPANDING_HORDE;Too busy conquering the world and you're next: ;Trop occupé à conquérir le monde et vous êtes le suivant : ;Mit der Eroberung der Welt beschäftigt und Ihr seid bald an der Reihe: ;;Demasiado ocupado conquistando el mundo y eres el próximo:;;;;;;;;;x
HAS_LIEGE_ENFORCED_PEACE;$LIEGE|Y$ has enforced peace.;$LIEGE|Y$ a déclaré la paix.;$LIEGE|Y$ hat den Frieden durchgesetzt.;;$LIEGE|Y$ ha hecho cumplir la paz.;;;;;;;;;x
HAS_LIEGE_ENFORCED_PEACE_NOT;$LIEGE|Y$ has not enforced peace.;$LIEGE|Y$ n'a pas déclaré la paix.;$LIEGE|Y$ hat keinen Frieden durchgesetzt.;;$LIEGE|Y$ no ha hecho cumplir la paz.;;;;;;;;;x
WILL_LIEGE_ENFORCE_PEACE;$LIEGE|Y$ will enforce peace.;$LIEGE|Y$ déclarera la paix.;$LIEGE|Y$ wird den Frieden durchsetzen.;;$LIEGE|Y$ hará cumplir la paz.;;;;;;;;;x
WILL_LIEGE_ENFORCE_PEACE_NOT;$LIEGE|Y$ will not enforce peace.;$LIEGE|Y$ ne déclarera pas la paix.;$LIEGE|Y$ wird keinen Frieden durchsetzen.;;$LIEGE|Y$ no hará cumplir la paz.;;;;;;;;;x
INTERACTION_TYRANNY_AGAINST_COUNCIL;§RGoing against the will of The Council will be viewed as an act of tyranny!§!;§RS'opposer à la décision du Conseil sera perçu comme un acte tyrannique !§!;§RSich dem Willen des Rats zu widersetzen, wird als Tyrannei angesehen werden!§!;;§RIr en contra de la voluntad del Consejo será visto como un acto de tiranía!§!;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_TITLE;Ask to Join Factions;Demander de rejoindre les factions;Fordert zum Fraktionsbeitritt auf;;Pedir unirse a Facciones;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_DESC;Spend a §YFavor§! to force §Y[Recipient.GetTitledFirstName]§! to join your factions.;Utiliser une §Yfaveur§! pour contraindre §Y[Recipient.GetTitledFirstName]§! à rejoindre vos factions.;Verwendet einen §YGefallen§!, um §Y[Recipient.GetTitledFirstName]§! zu zwingen, sich Euren Fraktionen anzuschließen.;;Gasta un §YFavor§! para obligar a §Y[Recipient.GetTitledFirstName]§! a unirse a tus facciones;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LONG_DESC;You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to have them join the factions you started.;Vous pouvez utiliser la §Yfaveur§! que §Y[Recipient.GetTitledFirstName]§! vous doit pour forcer son adhésion aux factions que vous avez créées.;Ihr könnt §Y[Recipient.GetTitledFirstName]§! mit dem geschuldeten §YGefallen§! dazu bringen, sich Euren Fraktionen anzuschließen.;;Puedes gastar §YFavor§! §Y[Recipient.GetTitledFirstName]§! te debe para hacerlos afiliarse a las facciones.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LETTER;\nTo return the favor you owe me, I request you join the factions I have started.;\nEn échange de la faveur que vous me devez, j'exige que vous rejoigniez les factions que j'ai créées.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, Euch meinen Fraktionen anzuschließen.;;\nPara devolver el favor que me debes, te pido que te unas a las facciones que he comenzado.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_LETTER_GET;\nJoin my factions.;\nRejoignez mes factions;\nTretet meinen Fraktionen bei.;;\nUnirte a facciones que he comenzado.;;;;;;;;;x
FORCE_JOIN_FACTION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to force them to join all their factions.;§Y[Actor.GetBestName]§! a utilisé une faveur auprès de §Y[Recipient.GetBestName]§! pour forcer son adhésion à l'ensemble de ses factions.;§Y[Actor.GetBestName]§! hat einen Gefallen von §Y[Recipient.GetBestName]§! eingefordert, um den Fraktionsbeitritt zu erzwingen.;;§Y[Actor.GetBestName]§! utilizó un favor en §Y[Recipient.GetBestName]§! para obligarles a unirse a todas sus facciones.;;;;;;;;;x
CAN_JOIN_FACTION;$RECIPIENT|Y$ can join $FACTION|Y$;$RECIPIENT|Y$ doit pouvoir rejoindre $FACTION|Y$;$RECIPIENT|Y$ kann $FACTION|Y$ beitreten.;;$RECIPIENT|Y$ puede unirse a $FACTION|Y$;;;;;;;;;x
CAN_JOIN_ONE_FACTION;$RECIPIENT|Y$ can join at least one of your factions;$RECIPIENT|Y$ doit pouvoir rejoindre au moins l'une de vos factions;$RECIPIENT|Y$ kann mindestens einer Eurer Fraktionen beitreten.;;$RECIPIENT|Y$ puede unirse a al menos una de tus facciones.;;;;;;;;;x
NOT_DISSUADED_FROM_FACTIONS;$RECIPIENT|Y$ has not been forbidden to join factions;$RECIPIENT|Y$ doit avoir l'autorisation de rejoindre des factions;$RECIPIENT|Y$ wurde nicht verboten, Fraktionen beizutreten.;;$RECIPIENT|Y$ no se le ha prohibido unirse a facciones.;;;;;;;;;x
JOIN_FACTION;§YJoin Faction§!;§YRejoindre une faction§!;Fraktion beitreten;;Unirse a facción;;;;;;;;;x
IS_DE_FACTO_LIEGE;Is de facto liege;Est seigneur lige de facto;Ist De-facto-Lehnsherr;;Es señor de facto;;;;;;;;;x
LEAVE_FACTION_COERCED;Can't leave faction because you were coerced into joining;Impossible de quitter cette faction, car votre adhésion a été forcée.;Fraktion kann nicht verlassen werden, weil Ihr zum Beitritt gezwungen wurdet.;;No puedes dejar la facción porque fuiste obligado a unirte;;;;;;;;;x
INVITE_FAVOR_MARRIED;$RECIPIENT|Y$ must not be married;$RECIPIENT|Y$ ne doit pas avoir de conjoint;$RECIPIENT|Y$ darf nicht verheiratet sein.;;$RECIPIENT|Y$ no debe estar casado;;;;;;;;;x
INVITE_FAVOR_LIEGE_RELATIVE;$RECIPIENT|Y$ must not be a close relative of $LIEGE|Y$;$RECIPIENT|Y$ ne peut pas être un proche parent de $LIEGE|Y$;$RECIPIENT|Y$ darf kein naher Verwandter von $LIEGE|Y$ sein.;;$RECIPIENT|Y$ no debe ser un pariente cercano de $LIEGE|Y$;;;;;;;;;x
INVITE_FAVOR_JOB;$RECIPIENT|Y$ must not have a Council position;$RECIPIENT|Y$ ne doit pas avoir de poste au Conseil;$RECIPIENT|Y$ darf keine Position im Rat haben.;;$RECIPIENT|Y$ no debe tener un puesto del Consejo.;;;;;;;;;x
AIREASON_LIEGE_HATE;Hates their liege - §Y[GetTitledName]§!;Déteste son seigneur lige, §Y[GetTitledName]§!;Hasst den Lehnsherrn – §Y[GetTitledName]§!;;Odia su señor - §Y[GetTitledName]§!;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_TITLE;Ask for Realm Peace;Demander la paix dans le pays;Um Reichsfrieden bitten;;Pedir Paz del Reino;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_DESC;Spend a §YFavor§! to ask your liege to enforce §YRealm Peace§!.;Utiliser une §Yfaveur§! afin de demander à votre seigneur lige d'imposer la §Ypaix dans le pays§!.;Verwendet einen §YGefallen§!, um Euren Lehnsherrn zu bitten, den §YReichsfrieden§! durchzusetzen.;;Gastar un §YFavor§! para pedir a tu señor que imponga la  §YPaz del Reino§!;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LONG_DESC;You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to force them to start enforcing §YRealm Peace§!.;Vous pouvez utiliser la §Yfaveur§! que §Y[Recipient.GetTitledFirstName]§! vous doit pour décréter la §Ypaix dans le pays§!.;Ihr könnt §Y[Recipient.GetTitledFirstName]§! mit dem geschuldeten §YGefallen§! dazu zwingen, den §YReichsfrieden§! durchzusetzen.;;Puedes gastar el §YFavor§! que §Y[Recipient.GetTitledFirstName]§! te debe para obligarle a que comience a hacer cumplir §YPaz del Reino§!.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LETTER;\nTo return the favor you owe me, I request you start enforcing peace through the realm.;\nEn échange de la faveur que vous me devez, j'exige que vous imposiez la paix dans le pays.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, Frieden im Reich durchzusetzen.;;\nPara devolver el favor que me debes, solicito que comencéis a imponer la paz en todo el  reino.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_LETTER_GET;\nEnforce Realm Peace.;\nDéclarer la paix dans le pays.;\nReichsfrieden durchsetzen.;;\nHaz cumplir la Paz del Reino.;;;;;;;;;x
ASK_REALM_PEACE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to force them to enforce the §YRealm Peace§!.;§Y[Actor.GetBestName]§! a utilisé une faveur auprès de §Y[Recipient.GetBestName]§! pour décréter la §Ypaix dans le pays§!.;§Y[Actor.GetBestName]§! hat einen Gefallen von §Y[Recipient.GetBestName]§! eingefordert, um die Durchsetzung des §YReichsfriedens§! zu erzwingen.;;§Y[Actor.GetBestName]§! utilizó un favor sobre §Y[Recipient.GetBestName]§! para obligarles a hacer cumplir la §YPaz del Reino§!.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_TITLE;Demand Council Position;Demander un poste au Conseil;Ratsposition verlangen;;Exige un puesto en el Consejo;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_DESC;Spend a §YFavor§! to demand a §YCouncil§! position from your liege.;Utiliser une §Yfaveur§! pour demander à votre seigneur lige un poste au sein du §YConseil§!.;Verwendet einen §YGefallen§!, um eine §YRatsposition§! von Eurem Lehnsherrn zu verlangen.;;Gasta un §YFavor§! Para pedir un puesto en el §YConsejo§! a tu señor.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LONG_DESC;You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to force them to give you a position on the §YCouncil§!.;Vous pouvez utiliser la §Yfaveur§! que §Y[Recipient.GetTitledFirstName]§! vous doit pour forcer l'obtention d'un poste au sein du §YConseil§!.;Ihr könnt §Y[Recipient.GetTitledFirstName]§! mit dem geschuldeten §YGefallen§! dazu zwingen, Euch eine Position im §YRat§! zu geben.;;Puedes gastar el §YFavor§! que §Y[Recipient.GetTitledFirstName]§! te debe con el fin de obligarles a que te den un puesto en el §YConsejo§!.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER;\nTo return the favor you owe me, I request you give me my rightful position on your council.;\nEn échange de la faveur que vous me devez, j'exige que vous m'offriez le poste que je mérite au sein de votre Conseil.;\nUm den Gefallen zu erwidern, den Ihr mir schuldet, bitte ich Euch darum, mir meinen rechtmäßigen Platz in Eurem Rat zu geben.;;\nPara devolver el favor que me debéis, solicito que me deis el puesto que legítimamente merezco en vuestro  consejo.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER_GET;\nIn return for the favor you owe me, give me a position on your council.;\nEn échange de la faveur que vous me devez, offrez-moi un poste au sein de votre Conseil.;\nGebt mir einen Platz in Eurem Rat, um den Gefallen zu erwidern, den Ihr mir schuldet.;;\nA cambio del favor que me debéis, dadme un puesto en vuestro consejo.;;;;;;;;;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to get the $POSITION|Y$ position$FIRED$;§Y[Actor.GetBestName]§! a utilisé une faveur auprès de §Y[Recipient.GetBestName]§! pour obtenir le poste de $POSITION|Y$;§Y[Actor.GetBestName]§! hat einen Gefallen von §Y[Recipient.GetBestName]§! eingefordert, um $POSITION|Y$ zu werden. $FIRED$;;§Y[Actor.GetBestName]§! utilizó un favor sobre §Y[Recipient.GetBestName]§! para que el puesto $POSITION|Y$ fuese $FIRED$;;;;;;;;;x
COUNCIL_POSITION_FIRED;, getting $FIRED|Y$ fired in the process.;, entraînant du même coup le limogeage de $FIRED|Y$.;$FIRED|Y$ wurde entlassen.;;, hace despedir a $FIRED|Y$ en el proceso.;;;;;;;;;x
coerced_into_council_position;Was forced to give a Council Position;A dû octroyer un poste au Conseil;Wurde gezwungen, eine Ratsposition zu vergeben;;Se vio obligado a dar un puesto del Consejo.;;;;;;;;;x
DEMAND_POSITION_MUST_HAVE_POSITIONS;$RECIPIENT|Y$ must have §YCouncil§! positions that $ACTOR|Y$ can hold;$RECIPIENT|Y$ doit avoir des postes au §YConseil§! qui peuvent convenir à $ACTOR|Y$;$RECIPIENT|Y$ muss §YRatspositionen§! haben, die $ACTOR|Y$ innehaben kann;;$RECIPIENT|Y$ tiene que tener puestos en el §YConsejo§! que $ACTOR|Y$ pueda otorgar.;;;;;;;;;x
DEMAND_POSITION_CAN_HOLD_POSITION;$ACTOR|Y$ can be $POSITION|Y$ for $RECIPIENT|Y$;$ACTOR|Y$ peut être $POSITION|Y$ pour $RECIPIENT|Y$;$ACTOR|Y$ kann $POSITION|Y$ für $RECIPIENT|Y$ sein;;$ACTOR|Y$ puede ser $POSITION|Y$ para $RECIPIENT|Y$;;;;;;;;;x
DEMAND_POSITION_MUST_CHOOSE_POSITION;$ACTOR|Y$ must choose a §YCouncil§! Position to ask $RECIPIENT|Y$;$ACTOR|Y$ doit choisir quel poste du §YConseil§! demander à $RECIPIENT|Y$;$ACTOR|Y$ muss eine §YRatsposition§! wählen, um $RECIPIENT|Y$ zu fragen.;; $ACTOR|Y$ tiene que elegir un puesto en el §YConsejo§! que pedir a $RECIPIENT|Y$;;;;;;;;;x
#EVTDESC526;I demand that you grant me a position on your council, in return for the favor you owe me.;[From.GetTitledFirstName] a utilisé la faveur que [This.GetTitledFirstName] lui devait pour forcer sa nomination au Conseil.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um sich eine Ratsposition zu erzwingen.;; [From.GetTitledFirstName] gastó el favor que [This.GetTitledFirstName] les debía para abrirse paso hasta el Consejo.;;;;;;;;;x
EVTDESC527;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to join the council as [Title.GetName], despite the favor owed.;[This.GetTitledFirstName] a décliné la requête de [From.GetTitledFirstName] de lui offrir le poste de [Title.GetName] au Conseil, malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Ratsbeitritt als [Title.GetName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud de [From.GetTitledFirstName] de unirse al consejo como [Title.GetName], a pesar del favor que le debía.;;;;;;;;;x
EVTDESC528;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force the Realm Peace.;[From.GetTitledFirstName] a utilisé la faveur que [This.GetTitledFirstName] lui devait pour décréter la paix dans le pays.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um den Reichsfrieden zu erzwingen.;;[From.GetTitledFirstName] gastó el favor [This.GetTitledFirstName] les debía para forzar la Paz del Reino.;;;;;;;;;x
EVTDESC529;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to force the realm peace, despite the favor owed.;[This.GetTitledFirstName] a décliné la requête de [From.GetTitledFirstName] de décréter la paix dans le pays, malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Erzwingen des Reichsfriedens trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud de [From.GetTitledFirstName] de imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
EVTDESC530;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force [This.GetTitledFirstName] to join their Factions.;[From.GetTitledFirstName] a utilisé la faveur que [This.GetTitledFirstName] lui devait pour forcer l'adhésion de [This.GetTitledFirstName] à ses factions.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um [This.GetTitledFirstName] zum Fraktionsbeitritt zu zwingen.;;[From.GetTitledFirstName] gastó el favor que [This.GetTitledFirstName] les debía para obligar a [This.GetTitledFirstName] a unirse a sus facciones.;;;;;;;;;x
EVTDESC531;[This.GetTitledFirstName] declined [From.GetTitledFirstName] to join [Actor.GetTitledFirstName]'s factions, despite the favor owed.;[This.GetTitledFirstName] a décliné la requête de [From.GetTitledFirstName] de rejoindre les factions de [Actor.GetTitledFirstName], malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Beitritt der Fraktionen von [Actor.GetTitledFirstName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud [From.GetTitledFirstName] para imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
HAS_FACTION_TO_JOIN;$ACTOR|Y$ is leading at least one §YFaction§!;$ACTOR|Y$ est en charge d'au moins une §Yfaction§!;$ACTOR|Y$ leitet mindestens eine §YFraktion§!.;;$ACTOR|Y$ lidera al menos una §YFacción§!;;;;;;;;;x
KINGDOM_LAW_DESC_CONCLAVE;Crown Laws can only be passed by Kings and Emperors, and concern everyone in the (de facto) kingdom or empire.;Les lois de la Couronne peuvent seulement être édictées par les rois et les empereurs, et s'appliquent à tous les sujets de facto du royaume ou de l'empire en question.;Krongesetze können nur von Königen und Kaisern erlassen werden und betreffen jeden im (de facto) Königreich oder Kaiserreich.;;Las leyes de la corona sólo pueden ser aprobadas por reyes y emperadores, y afectan a todos en el reino o imperio (de facto).;;;;;;;;;x
CAN_ENFORCE_PEACE;§YRealm Peace§! can be enforced;La §Ypaix dans le pays§! peut être décrétée;§YReichsfrieden§! kann erzwungen werden;;Se puede imponer la §YPaz del Reino§! ;;;;;;;;;x
TOOLTIP_SoA_5357;This option is available to you due to your §YLustful§! and §YCynical§! nature and your high §YIntrigue§!\n.;Cette option n'est pas disponible en raison de votre nature §Yconcupiscente§! et §Ycynique§!, ainsi que votre haut niveau d'§Yintrigue§!.\n;Diese Option ist aufgrund Eurer §Ylüsternen§! und §Yzynischen§! Natur und Eures hohen §YIntrigenwerts§! verfügbar.\n;;Esta opción está disponible para ti debido a tu naturaleza §YLujuriosa§! y §YCínica§! y tu alta §YIntriga§!\n.;;;;;;;;;x
AIREASON_IS_A_THREAT;Is a threat;Constitue une menace;Ist eine Bedrohung;;Es una amenaza;;;;;;;;;x
stutter_desc;This character is a stutterer. It hampers their ability to communicate effectively with others.;Ce personnage souffre de bégaiement, ce qui handicape sa capacité à communiquer avec autrui.;Dieser Charakter stottert und kommuniziert dadurch weniger effektiv mit anderen.;;Este personaje sufre tartamudez. Obstaculiza su capacidad para comunicarse efectivamente con los demás.;;;;;;;;;x
EVTDESC1690;I'm going to be the bestest ruler ever when I grow up!;Quand je serai grand, je serai le meilleur souverain de tous les temps !;Wenn ich erst einmal groß bin, werde ich als Herrscher über allen stehen!;;¡Cuando sea mayor seré el gobernante más mejor de todos!;;;;;;;;;x
council_war_off_custom; Council members can join factions freely\n;Les membres du Conseil peuvent librement rejoindre une faction\n;Ratsmitglieder können Fraktionen uneingeschränkt beitreten.\n;;Los miembros del Consejo pueden unirse a facciones libremente.\n;;;;;;;;;x
council_war_on_custom;Council members may only join factions when the Council is §RDiscontent§!\nNomad and tribal Council members can always join factions;Les membres du Conseil ne peuvent rejoindre une faction que lorsque le Conseil est §Rinsatisfait§!. \nSauf les conseillers nomades et tribaux qui peuvent eux en rejoindre une en tout temps.;Ratsmitglieder können Fraktionen nur beitreten, wenn der Rat §Runzufrieden§! ist\nRatsmitglieder von Nomaden und Stämmen können jederzeit Fraktionen beitreten;;Los miembros del Consejo sólo pueden unirse a facciones cuando el Consejo esté §Rdescontento§!\nNómadas y miembros tribales del Consejo siempre pueden unirse a facciones.;;;;;;;;;x
CROWN_LAW_CHANGE_TIMEOUT;§RThe Council recently rejected a crown law change. You can attempt to make a crown law change again at $DATE$§!;§RLe Conseil a récemment rejeté un changement de loi de la Couronne. Vous pourrez retenter un tel changement le $DATE$.§!;§RDer Rat hat kürzlich eine Kronrechtänderung abgelehnt. Ihr könnt eine neue Änderung versuchen am: $DATE$§!;;§REl Consejo rechazó recientemente un cambio de la ley de la corona. Puedes tratar de volver a cambiar la ley de la corona en $DATE$§!;;;;;;;;;x
ALLOW_MATRILINEAL_MARRIAGE_ON;Allow Matrilineal Marriage\n;Autorise le mariage matrilinéaire\n;Matrilineare Heirat erlauben\n;;Permitir Matrimonio matrilineal\n;;;;;;;;x
ALLOW_MATRILINEAL_MARRIAGE_OFF;Disallow Matrilineal Marriage\n;Empêche le mariage matrilinéaire\n;Matrilineare Heirat verbieten\n;;Rechazar Matrimonio matrilineal\n;;;;;;;;x
LANDED_TITLE_BEING_CREATED;$TITLE$ is being created;$TITLE$ est en cours de création;$TITLE$ wird erschaffen;;Se está creando $TITLE$ ;;;;;;;;;x
#FORM_NON_AGGRESSION_PACT_INTERACTION_TITLE;Renegotiate Non-Aggression Pact;;Nichtangriffspakt neu verhandeln;;Renegociar el Pacto de no agresión;;;;;;;;;x
