#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMEHL6;The [From.Clan.GetName] Feud;La querelle avec le clan [From.Clan.GetName];Die [From.Clan.GetName]-Fehde;;La enemistad de [From.Clan.GetName];;;;;;;;;x
EVTDESCHL6;[From.GetBestName] and his people have hunted on our lands, stolen our sheep and kidnapped our women. This even though they know very well the boundaries between our clans! They truly are despicable and would betray us instantly if given the chance.;[From.GetBestName] et les siens ont chassé sur nos terres, volé nos moutons et ont enlevé nos femmes. Ils ont perpétré ces actes en étant pleinement conscients des frontières qui existent entre nos deux clans ! Ce sont des vermines détestables, et ils nous trahiraient sans hésiter à la moindre occasion.;[From.GetBestName] und seine Helfershelfer haben Vieh und Wild von unserem Land gestohlen und unsere Frauen entführt. Dies geschah, obwohl der Grenzverlauf zwischen unseren Klans ihnen wohlbekannt ist! Sie sind wahrhaft verabscheuungswürdig und würden keinen Moment zögern, uns zu verraten, wenn sich ihnen die Gelegenheit dazu böte.;;[From.GetBestName] y su pueblo han cazado en nuestras tierras, robado nuestras ovejas y secuestrado nuestras mujeres. ¡Eso a pesar de saber muy bien los límites entre nuestros clanes! Son realmente despreciables y nos traicionarían al instante si les diéramos la oportunidad.;;;;;;;;;x
EVTOPTAHL6;Beware the [From.Clan.GetName]. They are without honor.;Prenez garde au clan [From.Clan.GetName]. Ils sont dénués de tout honneur.;Misstraut den [From.Clan.GetName]. Sie kennen keine Ehre.;;Cuidado con los [From.Clan.GetName]. No tienen honor.;;;;;;;;;x
SHOW_OPINION;§YInspect Clan Standings§!;§YInspecter la réputation des clans§!;§YInformationen zum Klan§!;;§YInspeccionar posiciones del clan§!;;;;;;;;;x
TOTAL_POPULATION;Total Population:;Population totale :;Gesamtbevölkerung:;;Población total: ;;;;;;;;;x
FEUD;Feud;Querelle;Fehde;;Enemistad;;;;;;;;;x
FEUD_BLOOD_BROTHER;Feud with Blood Brothers;Querelle avec des frères de sang;Fehde mit Blutsbrüdern;;Enemistad con hermanos de sangre;;;;;;;;;x
CLAN_LEADER_HAS_NO_JOB;Is not a Councillor;N'occupe aucun poste au conseil;Hat keine Position im Rat;;No tiene posición del consejo;;;;;;;;;x
PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;x
FEUD_CLAN_LEADER_HAS_JOB; is a Councillor; occupe un poste au Conseil; hat Sitz im Rat;;Tiene la posición del consejo;;;;;;;;;x
EVTNAMEHL10;Death of a brother;La mort d'un frère;Tod eines Bruders;;Muerte de un hermano;;;;;;;;;x
EVTDESCHL10;With the death of [From.GetBestName] our blood oath with his family and our obligation to his people vanishes together with his life.;Avec la mort de [From.GetBestName], le pacte du sang qui liait notre famille à la sienne cesse d'exister, tout comme notre obligation envers les siens.;Der Tod von [From.GetBestName] bedeutet das Ende unseres Blutschwurs mit seiner Familie und unsere Verpflichtungen gegenüber seinem Volk sind damit aufgehoben.;;Con la muerte de [From.GetBestName], nuestro juramento de sangre con su familia y nuestra obligación hacia su pueblo desaparece junto con su vida.;;;;;;;;;x
EVTOPTAHL10;A sad day for the [Root.Clan.GetName]...;Un triste jour pour le clan [Root.Clan.GetName]...;Ein Tag der Trauer für die [Root.Clan.GetName] ...;;Un día triste para los [Root.Clan.GetName]...;;;;;;;;;x
EVTDESC_HL_10700;[From.GetFirstName] has spent his hard earned wealth on attracting and recruiting more soldiers for his mercenary band.;[From.GetFirstName] a dépensé sa fortune durement gagnée à attirer et à recruter davantage de soldats pour sa bande de mercenaires.;[From.GetFirstName] hat seinen sauer verdienten Reichtum für das Anwerben und Rekrutieren neuer Soldaten für seinen Söldnertrupp ausgegeben.;;[From.GetFirstName] ha gastado la riqueza que tanto le costó ganar atrayendo y reclutando más soldados para su banda de mercenarios.;;;;;;;;;x
EVTOPTA_HL_10700;A good investment I hope.;Un investissement judicieux, je l'espère.;Hoffentlich eine gute Investition!;;Una buena inversión, espero.;;;;;;;;;x
EVTDESC_HL_10701;[From.GetFirstName] has spent his hard earned wealth on carousing with his men, wasting it on spirits and women;[From.GetFirstName] a dépensé sa fortune durement gagnée à faire ribote avec ses hommes, gâchant son or en alcool et en femmes;[From.GetFirstName] hat seinen sauer verdienten Reichtum bei Gelagen verprasst und alles für Schnaps und Weiber ausgegeben.;;[From.GetFirstName] ha gastado la riqueza que tanto le costó ganar yendo de parranda, gastándola en bebidas y mujeres,;;;;;;;;;x
EVTOPTA_HL_10701;A good family tradition.;Une bonne tradition familiale.;Das ist eine ehrenwerte Familientradition.;;Una buena tradición familiar.;;;;;;;;;x
alert_inefficent_land_management_instant;§YInefficient Land Management§!;§YGestion des terres inefficaces§!;§YIneffiziente Landverwaltung§!;;§YIneficaz gestión de la tierra§!;;;;;;;;;x
alert_inefficent_land_management_delayed;You have too many holdings in your personal demesne. As a nomad you can only have one holding without penalties. However you might want to keep the land yourself so you can pillage it...$LIST$;Vous avez trop de propriétés dans votre domaine personnel. En tant que nomade, vous ne pouvez posséder qu'une seule propriété sans souffrir de pénalités. Cependant, il pourrait être avantageux de garder ces terres pour vous-même, de sorte que vous puissiez les piller...$LIST$;Ihr habt zu viele Besitztümer in Eurer Domäne. Als Nomade könnt Ihr nur ein Besitztum ohne Abzüge haben. Trotzdem wollt Ihr das Land vielleicht für Euch behalten, damit Ihr es plündern könnt ...$LIST$;;Tienes demasiadas posesiones en tu dominio personal. Como nómada, solo puedes tener una posesión sin penalizaciones. Sin embargo es posible que desees mantener la tierra para poder saquearla...$LIST$;;;;;;;;;x
plot_gain_title_short;Plot to Acquire;Comploter pour acquérir;Verschwörung zur Übernahme;;Complot para adquirir;;;;;;;;;x
plot_gain_vassal_title_short;Plot to Revoke;Comploter pour révoquer;Verschwörung zur Aberkennung;;Complot para revocar;;;;;;;;;x
plot_kill_character_short;Plot to Kill;Comploter pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_kill_spouse_short;Plot to Kill;Comploter pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_gain_liege_title_short;Plot for Claim;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
plot_gain_fellow_vassal_title_short;Plot for Claim;Comploter pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
MAKE_PRIMARY;Make Primary;Désigner principal;Neuer Haupttitel;;Hacer principal;;;;;;;;;x
WAR_INVALID_LIEGE_JOINS_ENEMY;\n($LIEGE$ joins $OTHER$'s war);\n($LIEGE$ a rejoint la guerre de $OTHER$;\n($LIEGE$ tritt in den Krieg von $OTHER$ ein.);;\n($LIEGE$ se une a a la guerra de $OTHER$);;;;;;;;;x
WAR_INVALID_ELECTED_REL_HEAD;\n($CHAR$ was elected $TITLE$);\n(Élection de $CHAR$ en tant que $TITLE$);\n($CHAR$ wurde zum $TITLE$ gewählt.);;\n($CHAR$ fue elegido $TITLE$);;;;;;;;;x
INTERACTION_HAS_TITLES_TO_REVOKE;Has Titles that can be Revoked;Possède des titres qui peuvent être révoqués;Hat Titel, die aberkannt werden können;;Tiene títulos que pueden ser revocados;;;;;;;;;x
REL_UNCLE_HUSBAND;Husband;Mari;Gatte;;Esposo;;;;;;;;;x
REL_NEPHEW_HUSBAND;Husband;Mari;Gatte;;Esposo;;;;;;;;;x
REL_COUSIN_HUSBAND;Husband;Mari;Gatte;;Esposo;;;;;;;;;x
REL_COUSIN_WIFE;Wife;Femme;Gattin;;Esposa;;;;;;;;;x
REL_AUNT_WIFE;Wife;Femme;Gattin;;Esposa;;;;;;;;;x
REL_NIECE_WIFE;Wife;Femme;Gattin;;Esposa;;;;;;;;;x
MINOR_CLAN_REVOLT;[Root.County.GetAdjective] Minor Clan Rising;Soulèvement de clan mineur [Root.County.GetAdjective];[Root.County.GetAdjective] kleinerer Klan erhebt sich;;[Root.County.GetAdjective] Rebelión del clan menor;;;;;;;;;x
succ_nomadic_desc;Among the peoples of the steppe, Prestige alone determines the line of succession. Legitimate children and siblings of the current ruler are eligible, but, unlike other forms of succession, only adults of the right culture can inherit.;Au sein du peuple steppique, le prestige à lui seul détermine la lignée de succession. Les enfants légitimes et les frères et sœurs du souverain actuel sont éligibles, mais contrairement aux autres formes de succession, seuls les adultes issus de la bonne culture sont en droit d'hériter.;Prestige bestimmt bei den Steppenvölkern über die Erbfolge. Legitime Kinder und Verwandte des aktuellen Herrschers kommen als Nachfolger in Frage, aber im Unterschied zu anderen Formen der Erbfolge können nur Erwachsene mit der richtigen Kultur das Erbe antreten.;;Entre los pueblos de la estepa, solo el prestigio solo determina la línea de sucesión. Hijos legítimos y hermanos del actual gobernante son elegibles, pero a diferencia de otras formas de la sucesión, sólo los adultos de la cultura correcta pueden heredar.;;;;;;;;;x
STAT_CULTURE_PROV_DESC;This is the majority culture in this county.;Cette culture est majoritaire dans ce comté.;Dies ist die Kultur der Bevölkerung in dieser Grafschaft.;;Esta es la cultura mayoritaria de este condado.;;;;;;;;;x
STAT_RELIGION_PROV_DESC;This is the majority religion in this county.;Cette religion est majoritaire dans ce comté.;Dies ist die Religion der Bevölkerung in dieser Grafschaft.;;Esta es la religión mayoritaria en este condado.;;;;;;;;;x
TITLE_CANNOT_CREATE_MERCENARY_TITLE;You can never directly create a Mercenary title;Vous ne pouvez jamais directement créer un titre de mercenaire;Ihr könnt prinzipiell keine Söldnertitel erschaffen.;;No se puede crear directamente un título mercenario;;;;;;;;;x
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;You can never directly create a Holy Order title;Vous ne pouvez jamais directement créer un titre de mercenaire de l'Ordre sacré;Ihr könnt prinzipiell keine Titel von Kriegerorden erschaffen.;;No se puede crear directamente un título de una orden sagrada;;;;;;;;;x
NO_VALID_AMBITIONS;§RThere is no valid Ambition for you to pick!§!;§RIl n'y a aucune ambition valide à choisir !§!;§REs kann keine gültige Ambition ausgewählt werden!§!;;§R¡No hay tienes ninguna Ambición válida que escoger!§!;;;;;;;;;x
NO_VALID_FOCUSES;§RThere is no valid Focus for you to pick!§!;§RIl n'y a aucun intérêt valide à choisir !§!;§REs kann kein gültiger Fokus ausgewählt werden!§!;;§R¡No hay ningún Enfoque válido que escoger!§!;;;;;;;;;x
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! will not consider offers from infidels;§Y[GetTitledFirstName]§! ne prendra pas en considération les offres issues d'infidèles;§Y[GetTitledFirstName]§! zieht keine Angebote von Ungläubigen in Betracht;;§Y[GetTitledFirstName]§! no tendrá en cuenta ofertas de infieles.;;;;;;;;;x
AN_UNKNOWN_LOCATION;an unknown location;un endroit inconnu;ein unbekannter Ort;;un lugar desconocido;;;;;;;;;x
cb_liberate_nomad_duchy_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les titres que possède l'infâme §Y$TARGET$§! au sein du §Y$TITLE$§! de jure.;§Y$CLAIMANT$§! kann diesen Kriegsgrund dazu benutzen, den Wilden in §Y$TARGET$§! sämtliche Titel unter dem De-jure-Titel §Y$TITLE$§! abzunehmen.;;§Y$CLAIMANT$§! Puede utilizar este casus belli para aprovechar todos los títulos que tengan los salvajes, §Y$TARGET$§!, dentro del §Y$TITLE$§! de jure.;;;;;;;;;x
nomad_dispute_desc;Feuding clans can declare wars against each other to seize a single county.;Les clans impliqués dans une querelle peuvent se déclarer la guerre dans le but de s'emparer d'un seul comté.;Klans, die eine Fehde führen, können einander den Krieg erklären, um einzelne Grafschaften in Besitz zu nehmen.;;Los clanes enemistados pueden declarar guerras uno contra otro para apoderarse de un solo condado.;;;;;;;;;x
CB_NAME_LIBERATE_NOMAD;Liberate [Title.GetBaseName];Libérer [Title.GetBaseName];[Title.GetBaseName] befreien;;Liberar el [Title.GetBaseName] ;;;;;;;;;x
WAR_NAME_LIBERATE_NOMAD;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;$ORDER$Libération $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Befreiung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ liberación de $OTHER_TITLE$;;;;;;;;;x
liberate_nomad_cb_succ_tip;§Y[Root.GetTitledFirstName]§! vassalizes non-nomadic lords and takes all other titles in the §Y[This.GetFullBaseName]§!.\n;§Y[Root.GetTitledFirstName]§! vassalise les seigneurs non-nomades et s'empare de tous les autres titres en §Y[This.GetFullBaseName]§!.;§Y[Root.GetTitledFirstName]§! unterwirft die nicht-nomadischen Herrscher und übernimmt alle anderen Titel in §Y[This.GetFullBaseName]§!.\n;;§Y[Root.GetTitledFirstName]§! hace vasallos a los señores no nómadas y toma todos los demás títulos en el §Y[This.GetFullBaseName]§!;;;;;;;;;x
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...;Les païens peuvent assujettir d'autres souverains païens, et ce, une seule fois au cours de leur vie. Avec l'ambition « Devenir $KING$ », cette limitation est levée quand il s'agit de cibles internes au royaume en question. Les hommes libres veulent toujours suivre le souverain le plus puissant...;Heiden dürfen einmal im Leben andere heidnische Anführer unterwerfen. Mit der "$KING$ werden"-Ambition gibt es kein solches Zeitlimit bezüglich Charakteren, die innerhalb des Königreiches Titel innehaben. Freie Männer sind immer willens, dem stärksten Herrscher zu folgen ...;;A los paganos se les permite subyugar a otros gobernantes paganos una vez en su vida. (Con la ambición 'Convertirse en $KING$ ', no hay tal límite de tiempo contra aquellos que controlan títulos dentro del reino). Los hombres libres están siempre dispuestos a seguir gobernante al más poderoso...;;;;;;;;;x
pagan_county_conquest_desc;Pagans and Nomads can conquer single border counties without specific reasons. Norse Pagans can also take any coastal county.;Les païens et nomades peuvent conquérir les comtés frontaliers sans raison spécifique. Les païens nordiques peuvent aussi s'emparer de tout comté côtier.;Heiden und Nomaden können einzelne angrenzende Grafschaften ohne Grund erobern. Nordische Heiden können zudem jede Küstenregion einnehmen.;;Paganos y nómadas pueden conquistar condados fronterizos sencillos sin razones específicas. Los paganos nórdicos también pueden tomar cualquier condado costero.;;;;;;;;;x
nomad_subjugation_desc;Nomads can subjugate non-Nomadic realms once in their lifetime.;Les nomades peuvent assujettir les royaumes non-nomades, et ce, une seule fois au cours de leur vie.;Nomaden können nicht-nomadische Reiche einmal zu Lebzeiten unterwerfen.;;Los nómadas pueden subyugar reinos no nómadas una vez en su vida.;;;;;;;;;x
nomad_invasion_desc;If our population is getting too large, we may invade another realm to seize their pasture lands! If successful, all occupied territory will be seized and all vassals will become our vassals.;Si notre population devient trop importante, nous pouvons envahir un autre pays pour nous emparer de ses pâturages ! Si nous réussissons, tous les territoires occupés seront saisis et tous les vassaux nous appartiendront.;Wenn unsere Bevölkerung zu groß wird, können wir in ein anderes Reich einfallen, um das dortige Weideland in Besitz zu nehmen. Im Erfolgsfall wird das besetzte Gebiet mit sämtlichen dort befindlichen Vasallen an uns fallen.;;Si nuestra población se hace demasiado grande, podemos invadir otro reino para apoderarnos de sus tierras de pastoreo. Si tenemos éxito, todo el territorio ocupado será confiscados y todos los vasallos serán nuestros.;;;;;;;;;x
CB_NAME_PAGAN_SUBJUGATION;Subjugation;Assujettissement;Unterwerfung;;Subyugación;;;;;;;;;x
WAR_NAME_PAGAN_SUBJUGATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Subjugation War;$ORDER$Guerre d'assujettissement $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Unterwerfungskrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de subyugación;;;;;;;;;x
tribal_subjugation_tip;§Y[Root.GetTitledFirstName]§! subjugates §Y[This.GetTitledName]§!\n;§Y[Root.GetTitledFirstName]§! assujettit §Y[This.GetTitledName]§!\n;§Y[Root.GetTitledFirstName]§! unterwirft §Y[This.GetTitledName]§!\n;;§Y[Root.GetTitledFirstName]§! subyuga §Y[This.GetTitledName] §!\n;;;;;;;;;x
POPULATION_FACTOR_LOWER_THAN;Population less than §Y$PERC$%§! of Maximum;La population est inférieure à §Y$PERC$%§! de son seuil maximum;Bevölkerung weniger als §Y$PERC$%§! des Maximums;;Población menos de §Y$PERC$%§! del máximo;;;;;;;;;x
POPULATION_FACTOR_AT_LEAST;Population at least §Y$PERC$%§! of Maximum;La population est au moins à §Y$PERC$%§! de son seuil maximum;Bevölkerung mindestens §Y$PERC$%§! des Maximums;;Población por lo menos §Y$PERC$%§! del máximo;;;;;;;;;x
action_collect_tribute;Collect Tribute;Collecter un tribut;Tribut eintreiben;;Recaudar tributo;;;;;;;;;x
action_collect_tribute_desc;Send your [GetTreasurerName] to collect extra contributions from vassals and tributary rulers. This will not please them much...;Envoyez votre [GetTreasurerName] pour collecter les contributions supplémentaires auprès de vos vassaux et souverains tributaires. Ceci risque de fortement leur déplaire...;Sendet Euren [GetTreasurerName] aus, um zusätzliche Mittel von Vasallen und tributpflichtigen Herrschern einzutreiben. Dies wird nicht gerade für Begeisterung sorgen ...;;Envía tu [GetTreasurerName] para recoger las contribuciones adicionales de los gobernantes vasallos y tributarios. Esto no les gustará mucho...;;;;;;;;;x
squeezed_for_extra_tribute;Squeezed for Extra Tribute;Contraint(e) à payer un tribut supplémentaire;Für Zusatztribute ausgepresst;;Exprimido por un tributo adicional;;;;;;;;;x
refused_extra_tribute;Refused Extra Tribute;A refusé de payer un tribut supplémentaire;Verweigerte Zusatztribut;;Rechazado tributo adicional;;;;;;;;;x
EVTNAME20225;Extra Contributions;Contributions supplémentaires;Zusätzliche Mittel;;Contribuciones adicionales;;;;;;;;;x
EVTDESC20225;My liege, [Root.Liege.GetTitledFirstName] has charged me with collecting extra tribute from [tribute_giver.GetTitledName]. It has not been easy going through [tribute_giver.GetPossPronoun] finances, but I finally know how much I should demand...;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.GetTitledFirstName], m'a donné[Root.GetNoneE] l'ordre de collecter le tribut supplémentaire auprès de [tribute_giver.GetTitledName]. Il n'a pas été facile d'examiner ses finances, mais j'ai enfin déterminé la somme à demander...;Mein Lehnsherr, [Root.Liege.GetTitledFirstName] hat mit mich mit der Erhebung zusätzlicher Tribute von [tribute_giver.GetTitledName] beauftragt. Es war schwer, einen Überblick über die Finanzen zu gewinnen, doch nun weiß ich endlich, wie viel ich verlangen darf ...;;Mi señor, [Root.Liege.GetTitledFirstName], me ha encargado recoger un tributo adicional de [tribute_giver.GetTitledName]. No ha sido fácil revisar [tribute_giver.GetPossPronoun] finanzas, pero finalmente sé cuánto debo exigir...;;;;;;;;;x
EVTOPTA20225;Present my demand;Présenter ma demande;Meine Forderung anbringen;;Presentar mi petición;;;;;;;;;x
EVTOPTB20225;I should procratinate...;Je devrais remettre ça à plus tard...;Ich sollte es noch hinauszögern ...;;Debería dejarlo pasar...;;;;;;;;;x
EVTTOOLTIP_20226;[tribute_giver.GetFirstName] responds to my demand.;[This.GetFirstName] répond à ma demande.;[tribute_giver.GetFirstName] antwortet auf meine Forderung.;;[tribute_giver.GetFirstName] responde a mi petición.;;;;;;;;;x
