#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
MNM.70110.d.suspected_society_member;After taking statement from multiple witnessess and closely examining [accused_apostate.GetHerHis] every move, you have managed to gather just enough evidence to accuse [accused_apostate.GetBestName] of apostasy - [accused_apostate.GetSheHe] has been consorting with [accused_apostate.Society.GetName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Après avoir écouté les multiples témoignages et examiné avec attention toutes ses allées et venues, vous avez rassemblé suffisamment de preuves accablantes pour accuser [accused_apostate.GetBestName] d'apostasie - [accused_apostate.GetIlElle] a fréquenté [accused_apostate.Society.GetName] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.GetNoneE].;Nachdem Ihr mehrere Zeugen befragt und jeden [accused_apostate.GetHerHis]er Schritte genauestens untersucht habt, konntet Ihr gerade genug belastendes Beweismaterial zusammentragen, um [accused_apostate.GetBestName] der Abtrünnigkeit zu bezichtigen. [accused_apostate.GetSheHeCap] hat mit dem [accused_apostate.Society.GetName]-Zirkel verkehrt! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración de varios testigos y escrutar sus actos, has reunido suficientes pruebas para acusar a [accused_apostate.GetBestName] de apostasía. ¡No hay duda de que se ha estado juntando con [accused_apostate.Society.GetName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;;;;;;;;;x
MNM.70110.d.suspected_apostate;While spying on [accused_apostate.GetBestName] you have found numerous heretical trinkets and books. All together you now have enough damning evidence to accuse [accused_apostate.GetHerHim] of apostasy - [accused_apostate.GetSheHeCap] claims to be a devout [accused_apostate.Religion.GetName], but [accused_apostate.GetSheHe] is obviously lying - [accused_apostate.GetSheHe] practices [accused_apostate.GetTrueReligionAdherent] in secrecy! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;En espionnant [accused_apostate.GetBestName], vous avez trouvé de nombreux bibelots et livres hérétiques. Vous avez maintenant assez de preuves accablantes pour l'accuser d'apostasie - [accused_apostate.GetIlElleCap] prétend être un[accused_apostate.GetNoneE] pieu[accused_apostate.GetXSe] [accused_apostate.GetReligionMascFem], mais c'est un mensonge - [accused_apostate.GetIlElle] pratique secrètement la foi [accused_apostate.GetTrueReligionAdherent] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.GetNoneE].;Beim Ausspionieren von [accused_apostate.GetBestName] habt Ihr viele ketzerische Schmuckstücke und Bücher gefunden. Alles in allem habt Ihr nun genug belastendes Beweismaterial, um [accused_apostate.GetBestName] der Abtrünnigkeit bezichtigen zu können. [accused_apostate.GetSheHeCap] behauptet zwar, ein frommer [accused_apostate.Religion.GetName] zu sein, doch dies entspricht offenkundig nicht der Wahrheit. [accused_apostate.GetSheHeCap] übt im Geheimen [accused_apostate.GetTrueReligionAdherent] aus! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Mientras espiabas a [accused_apostate.GetBestName], encontraste diversas baratijas y libros heréticos. Ya has reunido suficientes pruebas incriminatorias para acusar a [accused_apostate.GetBestName] de apostasía. Afirma ser [accused_apostate.Religion.GetName], pero es obvio que miente: ¡practica [accused_apostate.GetTrueReligionAdherent] en secreto! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;;;;;;;;;x
MNM.70110.d.no_suspicion;After taking statement from a few child witnessess and concerned peasants, you have gathered some evidence pointing towards [accused_apostate.GetBestName] being an apostate - you have a good feeling that [accused_apostate.GetFirstName]'s soul has been tainted by [Root.Religion.GetRandomEvilGodName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Ayant pris les dépositions de quelques enfants témoins et de paysans inquiets, vous rassemblez des preuves que [accused_apostate.GetBestName] est un[accused_apostate.GetNoneE] apostat[accused_apostate.GetNoneE] - vous pensez que l'âme de [accused_apostate.GetFirstName] a été entachée par [Root.Religion.GetRandomEvilGodName] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.GetNoneE].;Nachdem Ihr mehrere Kinder und besorgte Bauern als Zeugen befragt habt, konntet Ihr einige Indizien dafür zusammentragen, dass [accused_apostate.GetBestName] ein Abtrünniger sein könnte, und Ihr vermutet, dass die Seele von [accused_apostate.GetFirstName] durch [Root.Religion.GetRandomEvilGodName] verdorben wurde! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración a unos pocos niños testigos y campesinos preocupados, has reunido suficientes pruebas que apuntan a que [accused_apostate.GetBestName] es apóstata. ¡Presientes que el alma de [accused_apostate.GetFirstName] ha sido mancillada por [Root.Religion.GetRandomEvilGodName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;;;;;;;;;x
MNM.70110.d.innocent_victim;After taking statement from a few child witnessess and concerned peasants, you have gathered some evidence pointing towards [accused_apostate.GetBestName] being an apostate - you have a good feeling about [accused_apostate.GetFirstName]'s soul being tainted by [Root.Religion.GetRandomEvilGodName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Ayant pris les dépositions de quelques enfants témoins et de paysans inquiets, vous rassemblez des preuves que [accused_apostate.GetBestName] est un[accused_apostate.GetNoneE] apostat[accused_apostate.GetNoneE] - vous pensez que l'âme de [accused_apostate.GetFirstName] est entachée par [Root.Religion.GetRandomEvilGodName] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.GetNoneE].;Nachdem Ihr mehrere Kinder und besorgte Bauern als Zeugen befragt habt, konntet Ihr einige Indizien dafür zusammentragen, dass [accused_apostate.GetBestName] ein Abtrünniger sein könnte, und Ihr vermutet, dass die Seele von [accused_apostate.GetFirstName] durch [Root.Religion.GetRandomEvilGodName] verdorben wurde! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración a unos pocos niños testigos y campesinos preocupados, has reunido suficientes pruebas que apuntan a que [accused_apostate.GetBestName] es apóstata. ¡Presientes que el alma de [accused_apostate.GetFirstName] está siendo mancillada por [Root.Religion.GetRandomEvilGodName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;;;;;;;;;x
MNM.70110.a;Seize [accused_apostate.GetHerHim]! [accused_apostate.GetSheHeCap] will face [Root.Liege.GetTitle] [Root.Liege.GetFirstName]'s justice.;Saisissez-[accused_apostate.GetLeLa] ! [accused_apostate.GetIlElleCap] fera face à la justice de [Root.Liege.GetTitle] [Root.Liege.GetFirstName].;Ergreift [accused_apostate.GetBestName]! [accused_apostate.GetSheHeCap] muss sich dem Urteil von [Root.Liege.GetTitle] [Root.Liege.GetFirstName] stellen.;;¡Detened a [accused_apostate.GetBestName]! Se enfrentará a la justicia de [Root.Liege.GetTitle] [Root.Liege.GetFirstName].;;;;;;;;;x
MNM.70110.b;I know who I would rather accuse...;Il y a quelqu'un d'autre que je préférerais accuser...;Ich weiß, wen ich lieber beschuldigen würde ...;;Sé a quién preferiría acusar...;;;;;;;;;x
MNM.70200.d.highly_suspected_society_member;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. "My [Root.GetTitle], this [accused_apostate.GetManWoman] has been openly proclaiming [accused_apostate.GetHerHis] allegiance to [accused_apostate.Society.GetName]! What shall be done with [accused_apostate.GetHerHim]?";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.GetNoneE] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.GetBestName] enchaîné[accused_apostate.GetNoneE]. « M[Root.GetOnA][Root.GetLordLady], c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] a ouvertement juré allégeance à [accused_apostate.Society.GetName] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. "M[Root.Geteineine] [Root.GetTitle], diese[accused_apostate.GetrMale] [accused_apostate.GetManWoman] hat öffentlich [accused_apostate.GetHerHis]e Treue zum [accused_apostate.Society.GetName]-Zirkel bekannt! Was soll mit [accused_apostate.GetBestName] geschehen?";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber] con varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡esta persona ha estado proclamando abiertamente su lealtad a [accused_apostate.Society.GetName]! ¿Qué deseas que se haga?».;;;;;;;;;x
MNM.70200.d.suspected_society_member;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. "My [Root.GetTitle], I have procured irrefutable evidence that this [accused_apostate.GetManWoman] consorts with [accused_apostate.Society.GetName]! What shall be done with [accused_apostate.GetHerHim]?";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.GetNoneE] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.GetBestName] enchaîné[accused_apostate.GetNoneE]. « M[Root.GetOnA][Root.GetLordLady], j'ai des preuves irréfutables que c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] fréquente [accused_apostate.Society.GetName] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. "M[Root.Geteineine] [Root.GetTitle], ich habe unwiderrufliche Beweise dafür gefunden, dass diese[accused_apostate.GetrMale] [accused_apostate.GetManWoman] mit dem [accused_apostate.Society.GetName]-Zirkel verkehrt! Was soll mit [accused_apostate.GetBestName] geschehen?";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡he obtenido pruebas irrefutables de que esta persona se codea con [accused_apostate.Society.GetName]! ¿Qué deseas que se haga?».;;;;;;;;;x
MNM.70200.d.suspected_apostate;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. "My [Root.GetTitle], we caught this apostate in the act of reading the [accused_apostate.TrueReligion.GetName] [accused_apostate.GetTrueReligionScriptureName], and giving praise to [accused_apostate.TrueReligion.GetHighGodName]! What shall be done with [accused_apostate.GetHerHim]?";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.GetNoneE] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.GetBestName] enchaîné[accused_apostate.GetNoneE]. « M[Root.GetOnA][Root.GetLordLady], nous avons surpris c[accused_apostate.GetEtEtte] apostat[accused_apostate.GetNoneE] en train de lire [accused_apostate.GetTrueReligionScriptureName] de la religion [accused_apostate.TrueReligion.GetName] et louer [accused_apostate.TrueReligion.GetHighGodName] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. "M[Root.Geteineine] [Root.GetTitle], wir haben diese abtrünnige Person dabei ertappt, die Heilige [accused_apostate.GetTrueReligionAdherent]-Schrift [accused_apostate.GetTrueReligionScriptureName] zu lesen und [accused_apostate.GetTrueReligionHighGod] zu preisen! Was soll mit [accused_apostate.GetBestName] geschehen?";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], ¡sorprendimos a esta persona leyendo el/la [accused_apostate.GetTrueReligionAdherent] [accused_apostate.GetTrueReligionScriptureName] y prodigando alabanzas a [accused_apostate.GetTrueReligionHighGod]! ¿Qué deseas que se haga?».;;;;;;;;;x
MNM.70200.d.no_suspicion;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. "My [Root.GetTitle], there are many concerned peasants claiming that their children are plagued by nightmares of this [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] is obviously a [accused_apostate.GetWarlockWitch]! What shall be done with [accused_apostate.GetHerHim]?";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.GetNoneE] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.GetBestName] enchaîné[accused_apostate.GetNoneE]. « M[Root.GetOnA][Root.GetLordLady], beaucoup de paysans inquiets affirment que leurs enfants sont en proie à des cauchemars à propos de c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] - c'est de toute évidence un[accused_apostate.GetNoneE] [accused_apostate.GetWarlockWitch] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. "M[Root.Geteineine] [Root.GetTitle], viele besorgte Bauern behaupten, ihre Kinder würden durch Albträume von [accused_apostate.Getdiesemdieser] [accused_apostate.GetManWoman] geplagt. [accused_apostate.GetSheHeCap] ist offenkundig [accused_apostate.Geteineine] [accused_apostate.GetWarlockWitch]! Was soll mit [accused_apostate.GetBestName] geschehen?";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], hay muchos campesinos preocupados de que sus hijos se vean acosados por las pesadillas de esta persona. ¡No hay duda de que es [accused_apostate.GetWarlockWitch]! ¿Qué deseas que se haga?».;;;;;;;;;x
MNM.70200.d.innocent_victim;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_apostate.GetBestName] with them in chains. "My [Root.GetTitle], there are many concerned peasants claiming that their children are plagued by nightmares of this [accused_apostate.GetManWoman] - [accused_apostate.GetSheHe] is obviously a [accused_apostate.GetWarlockWitch]! What shall be done with [accused_apostate.GetHerHim]?";[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] fait irruption dans votre [Root.GetChamber], accompagné[Root.job_spiritual.GetNoneE] de plusieurs [Root.GetReligionWarriorPlural] tirant [accused_apostate.GetBestName] enchaîné[accused_apostate.GetNoneE]. « M[Root.GetOnA][Root.GetLordLady], beaucoup de paysans inquiets affirment que leurs enfants sont en proie à des cauchemars à propos de c[accused_apostate.GetEtEtte] [accused_apostate.GetManWoman] - c'est de toute évidence un[accused_apostate.GetNoneE] [accused_apostate.GetWarlockWitch] ! Que doit-on faire d[accused_apostate.GetEluiElle] ? »;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] stürzt in Eure [Root.GetChamber]. Mehrere [Root.GetReligionWarrior] folgen ihm und ziehen [accused_apostate.GetBestName] in Ketten hinter sich her. "M[Root.Geteineine] [Root.GetTitle], viele besorgte Bauern behaupten, ihre Kinder würden durch Albträume von [accused_apostate.Getdiesemdieser] [accused_apostate.GetManWoman] geplagt. [accused_apostate.GetSheHeCap] ist offenkundig [accused_apostate.Geteineine] [accused_apostate.GetWarlockWitch]! Was soll mit [accused_apostate.GetBestName] geschehen?";;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] entra gritando en tu [Root.GetChamber], flanqueado/a por varios [Root.GetReligionWarrior]s que arrastran a [accused_apostate.GetBestName] con cadenas. «Mi [Root.GetTitle], hay muchos campesinos preocupados de que sus hijos se vean acosados por las pesadillas de esta persona. ¡No hay duda de que es [accused_apostate.GetWarlockWitch]! ¿Qué deseas que se haga?».;;;;;;;;;x
MNM.70200.a;Burn the apostate!;Qu'on [accused_apostate.GetLeLa] brûle !;Verbrennt den Abtrünnigen!;;¡A la hoguera!;;;;;;;;;x
MNM.70200.b;Throw the apostate in the dungeon.;Qu'[accused_apostate.GetIlElle] croupisse au cachot.;Werft den Abtrünnigen in den Kerker.;;Al calabozo.;;;;;;;;;x
MNM.70200.c;Bring out the branding iron!;Apportez-moi le fer à marquer !;Holt das Brandeisen!;;¡Que me traigan el hierro de marcar!;;;;;;;;;x
MNM.70200.d;Let [accused_apostate.GetHerHim] go free, what harm could it do?;Libérez-[accused_apostate.GetLeLa], quel mal pourrait-[accused_apostate.GetIlElle] faire ?;Lasst [accused_apostate.GetBestName] frei. Was könnte das schon schaden?;;Dejad que se marche. ¿Qué mal podría hacer?;;;;;;;;;x
MNM.70300.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Now [my_liege.GetBestName] has decided that I should be burned alive!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.GetNoneE] ! [my_liege.job_spiritual.GetIlElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.GetNoneE], m'accusant d'apostasie. [my_liege.GetBestName] a ensuite décidé que j'allais être brûlé[Root.GetNoneE] vivant[Root.GetNoneE] !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Jetzt hat [my_liege.GetBestName] das Urteil gefällt, dass ich bei lebendigem Leibe verbrannt werden soll!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. ¡Ahora [my_liege.GetBestName] ha decidido que me quemen!;;;;;;;;;x
MNM.70300.a;[accused_apostate.GetDWDevil], avenge me!;Puisse [accused_apostate.GetDWDevil] me venger !;[accused_apostate.GetDWDevil], räche mich!;;¡[accused_apostate.GetDWDevil], véngame!;;;;;;;;;x
MNM.70300.b;[Root.Religion.GetHighGodName], save my soul!;Que [Root.Religion.GetHighGodName] sauve mon âme !;[Root.Religion.GetHighGodName], errette meine Seele!;;¡[Root.Religion.GetHighGodName], salva mi alma!;;;;;;;;;x
MNM.70310.d;Curse that damned [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] and [my_liege.job_spiritual.GetHerHis] posse of [my_liege.job_spiritual.GetReligionWarriorPlural] stormed into my [Root.GetChamber] and cast me in chains, accusing me of apostasy. Now [my_liege.GetBestName] has decided that I am to rot away in [my_liege.GetHerHis] dungeon!;Que [my_liege.job_spiritual.GetFullName] soit maudit[my_liege.job_spiritual.GetNoneE] ! [my_liege.job_spiritual.GetIlElleCap] et ses [my_liege.job_spiritual.GetReligionWarriorPlural] ont fait irruption dans ma [Root.GetChamber] et m'ont enchaîné[Root.GetNoneE], m'accusant d'apostasie. [my_liege.GetBestName] a ensuite décidé que j'allais croupir dans son cachot !;Verflucht sei [my_liege.job_spiritual.Getdieserdiese] [my_liege.GetLordSpiritualName] [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] und [my_liege.job_spiritual.GetHerHis]e [my_liege.job_spiritual.GetReligionWarrior]schar sind in meine [Root.GetChamber] gestürmt und haben mich in Ketten gelegt und mich der Abtrünnigkeit bezichtigt. Jetzt hat [my_liege.GetBestName] das Urteil gefällt, dass ich in [my_liege.GetHerHis]em Kerker verschmachten soll!;;¡Que maldigan a [my_liege.GetLordSpiritualName], [my_liege.job_spiritual.GetFullName]! [my_liege.job_spiritual.GetSheHeCap] y su panda de [my_liege.job_spiritual.GetReligionWarrior]s irrumpieron en mi [Root.GetChamber] y me encadenaron, acusándome de apostasía. ¡Ahora, [my_liege.GetBestName] ha decidido que deberé pudrirme en el calabozo!;;;;;;;;;x
MNM.70310.a;I will be free, and then you will all pay!;Je serai libre, et alors vous allez tous payer!;Ich werde die Freiheit wiedererlangen, und dann werdet Ihr alle dafür büßen!;;¡Seré libre, y entonces todos lo pagaréis!;;;;;;;;;x
