#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_hajj_promised;Promised to go on Hajj.;A promis de faire le hajj;Hat versprochen, auf Haddsch zu gehen.;;Prometió hacer el hach.;;;;;;;;;x
EVTDESC86010;While preparing for my pilgrimage to Mecca, I have come to realize that [Root.Liege.GetTitledName] is not a Hajjaj.;Alors que je me préparais pour mon voyage vers La Mecque, je me suis rendu compte que [Root.Liege.Get_le_TitledName] n'avait jamais fait le hajj.;Während meiner Vorbereitungen der Pilgerreise nach Mekka wurde mir klar, dass [Root.Liege.GetTitledName] nicht bereit ist, ein würdiger Pilger nach Mekka zu werden.;;Mientras me preparo para mi peregrinación a La Meca, me he dado cuenta de que [Root.Liege.GetTitledName] no es un Hajjaj.;;;;;;;;;x
EVTOPTA86010;Berate [Root.Liege.GetHerHim] about it!;[Root.Liege.GetLeLaCap] réprimander pour ce grave manquement !;Scheltet [Root.Liege.GetHerHim] deswegen!;;¡Repréndelo por ello!;;;;;;;;;x
EVTTOOLTIP86011;will listen to us...;nous écoutera...;wird auf uns hören ...;;nos escuchará...;;;;;;;;;x
EVTOPTB86010;Clearly, [Root.Liege.GetSheHe] is a busy [Root.Liege.GetManWoman]...;C'est un[Root.Liege.Get_E] [Root.Liege.GetManWoman] très occupé[Root.Liege.Get_E]...;[Root.Liege.GetSheHeCap] ist eine wahrlich ein Person ...;;Es obvio que es un hombre ocupado...;;;;;;;;;x
EVTDESC86011;My beloved [Root.GetTitle]!\n I am preparing to go to Mecca on a Hajj. Sadly, rumors tell me that you have not gone on a pilgrimage yourself. Would you like to travel with me, your faithful servant?\nYour humble [From.GetTitledName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitle] !\nJe me prépare à partir pour La Mecque pour mon grand pèlerinage. Malheureusement, des rumeurs disent que vous-même ne vous y êtes jamais rendu ? Aimeriez-vous m'accompagner en tant que fidèle serviteur ?\nVotre humble [From.GetTitledName];Mein geliebter [Root.GetTitle]!\nIch bereite mich darauf vor, auf eine Haddsch nach Mekka zu gehen. Leider ist mir das Gerücht zu Ohren gekommen, dass Ihr selbst bisher noch nicht an einer Pilgerreise teilgenommen habt. Möchtet Ihr mit mir reisen, Eurem getreuen Diener?\nEuer demütiger [From.GetTitledName];;Mi querido [Root.GetTitle]\n Me estoy preparando para ir a La Meca en el hach. Lamentablemente, los rumores dicen que no has realizado la peregrinación. ¿Te gustaría viajar conmigo, tu fiel sirviente? \nTu humilde [From.GetTitledName];;;;;;;;;x
EVTOPTA86011;I will prepare myself immediately!;Je me prépare immédiatement !;Ich werde sofort meine Vorbereitungen treffen!;;¡Me prepararé inmediatamente!;;;;;;;;;x
EVTTOOLTIP86012;will be travelling together with us...;voyagera en notre compagnie...;wird mit uns zusammen reisen ... ;;viajará junto a nosotros…;;;;;;;;;x
EVTOPTB86011;I am too busy!;Je suis trop occupé !;Ich bin zu beschäftigt!;;¡Estoy demasiado ocupado!;;;;;;;;;x
EVTTOOLTIP86013;will be disappointed in me;sera déçu de mon attitude;wird von mir enttäuscht sein;;se decepcionará conmigo;;;;;;;;;x
EVTDESC86012;Dear [Root.GetTitledFirstName]!\nI will join you on your way to Mecca!\nYour liege, [From.GetTitledName];Ch[Root.GetErEre] [Root.GetTitledFirstName] !\nJ'accepte de faire ce voyage à La Mecque avec vous !\nVotre [From.GetLordLady] lige, [From.GetTitledName];[Root.GetTitledFirstName]!\nIch werde mich Euch auf Eurem Weg nach Mekka anschließen!\nEuer Lehnsherr, [From.GetTitledName];;Querido [Root.GetTitledFirstName]\nTe acompañaré en tu camino a La Meca\nTu Señor, [From.GetTitledName];;;;;;;;;x
EVTOPTA86012;Allah is Great!;Allah est Grand !;Allah ist groß!;;¡Alá es grande!;;;;;;;;;x
EVTDESC86013;I am sincerely regretful to inform you that I am not able to join you in your pilgrimage.\n[From.GetTitledName];Je suis au regret de vous informer que je ne pourrai me joindre à vous pour ce pèlerinage.\n[From.GetTitledName];Ich bedaure es zutiefst, Euch mitteilen zu müssen, dass ich Euch auf Eurer Pilgerreise nicht begleiten kann.\n[From.GetTitledName];;Me apena mucho tener que decirte que no podré unirme a tu peregrinación.\n[From.GetTitledName];;;;;;;;;x
EVTOPTA86013;Allah will judge him...;Allah le punira...;Allah wird über ihn richten ... ;;Alá lo juzgará...;;;;;;;;;x
EVTDESC86015;Our liege, [Root.Liege.GetTitledName], has heard of our plans to go to Mecca, and sends us advice that the road is perilous with infidels and bandits.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName], a entendu parler de notre projet d'aller à La Mecque et nous informe que la route est très dangereuse, parsemée de bandits et de cruels infidèles.;Unser Fürst, [Root.Liege.GetTitledName], hat von Euren Plänen gehört, nach Mekka zu gehen, und entsendet uns den Hinweis, dass die Straße aufgrund von Banditen und Ungläubigen gefährlich ist.;;Nuestro señor, [Root.Liege.GetTitledName], ha escuchado nuestros planes de ir a La Meca, y nos advierte que el camino está infestado de infieles y bandidos.;;;;;;;;;x
EVTOPTA86015;Bring guards with you;Emmener des gardes avec vous;Nehmt Wachen mit;;Llevar guardas contigo;;;;;;;;;x
EVTOPTB86015;Travel lightly;Voyager léger;Reist mit leichtem Gepäck;;Viajar ligero;;;;;;;;;x
EVTDESC86020;While preparing for my pilgrimage to Mecca, my child comes to me and asks if [target_child.GetSheHe] can join me.;Alors que je me préparais pour mon pèlerinage pour La Mecque, m[target_child.GetOnA] [target_child.GetSonDaughter] est venu[target_child.Get_E] me demander [target_child.GetSilSielle] pouvait m'accompagner.;Während meiner Vorbereitungen der Pilgerreise nach Mekka kommt mein Kind auf mich zu und bittet darum, sich mir anschließen zu dürfen.;;Mientras me preparaba para la peregrinación a La Meca, mi hijo se acerca y pregunta si puede unirse al viaje.;;;;;;;;;x
EVTOPTA86020;Bring [target_child.GetHerHim] along;L'emmener avec vous;Nehmt [target_child.GetHerHim] mit;;Tráelo contigo;;;;;;;;;x
EVTOPTB86020;It would be too costly;Cela serait trop onéreux;Das wäre zu kostspielig;;Sería demasiado costoso;;;;;;;;;x
EVTDESC86100;I am now fully prepared for my travel to Mecca! There will be a regent ruling [Root.PrimaryTitle.GetName] while I am away.;Je suis fin prêt pour mon voyage à La Mecque ! Pendant mon absence, un régent prendra les rênes [Root.PrimaryTitle.Get_du_Realm].;Für meine Reise nach Mekka bin ich nun vollständig vorbereitet! Ein Regent wird mein Reich regieren, während ich weg bin.;;¡Ya estoy totalmente listo para mi viaje a La Meca! Habrá un regente gobernando [Root.PrimaryTitle.GetName] en mi ausencia.;;;;;;;;;x
EVTOPTA86100;Onwards to Mecca!;En route pour La Mecque !;Auf nach Mekka!;;¡A La Meca!;;;;;;;;;x
EVTDESC86101;A group of bandits are tracking us, and it seems as if they are gaining on us.;Un groupe de bandits nous a pris en chasse et il semble qu'ils gagnent du terrain.;Eine Gruppe Banditen verfolgt uns und es scheint, als würden sie sich nähern.;;Un grupo de bandidos nos persigue, y parece que nos está dando alcance;;;;;;;;;x
EVTOPTA86101;Attempt to avoid them!;Tenter de les semer !;Versucht, ihnen aus dem Weg zu gehen!;;¡Intenta evitarlos!;;;;;;;;;x
EVTOPTB86101;Its our duty to stop them..;C'est notre devoir de les arrêter.;Es ist unsere Pflicht, sie aufzuhalten ...;;Es nuestro deber detenerlos...;;;;;;;;;x
EVTTOOLTIP86102;Me and my group of pilgrims will engage the bandits.;Mon groupe de pèlerins et moi-même allons attaquer les bandits.;Meine Gruppe von Pilgern und ich werden die Banditen beschäftigen.;;Mi grupo de peregrinos y yo nos enfrentaremos a los bandidos.;;;;;;;;;x
EVTDESC86102;It is not possible to outrun these bandits, and we are forced to confront them. There is always the possibility that we can survive this.;Impossible de semer les bandits, nous sommes obligés de nous battre contre eux. Nous avons une chance sur deux de survivre à cet affrontement.;Es ist nicht möglich, diesen Banditen zu entkommen, und wir sind gezwungen, ihnen entgegenzutreten. Die Möglichkeit, dass wir dies überleben, ist immer gegeben.;;No es posible escaparse de estos bandidos, así que estamos obligados a enfrentarlos. Siempre hay la posibilidad de que sobrevivamos.;;;;;;;;;x
EVTOPTA86102;They are few enough to defeat alone..;Ils ne sont pas nombreux, je peux les vaincre seul...;Es sind wenige genug, um sie allein zu bezwingen ... ;;Son tan pocos que puedo derrotarlos yo solo...;;;;;;;;;x
EVTOPTB86102;Charge!;Chargez !;Angriff!;;¡A la carga!;;;;;;;;;x
EVTOPTC86102;Pay them with our remaining gold.;Payer les bandits avec l'or restant.;Bezahlt sie mit Eurem verbliebenen Gold.;;Págales con lo que nos queda de oro.;;;;;;;;;x
EVTDESC86105;Travelling by sea causes you to feel seasick. Luckily there is a hafiz on the ship who quotes the holy Qur'an. 'And they shall be made to drink therein a cup the admixture of which shall be ginger'.;Le voyage en mer vous rend malade. Heureusement, un hafiz voyage avec vous et il vous récite un passage du Coran. « Et là, ils seront abreuvés d'une coupe dont le mélange sera de gingembre ».;Das Reisen mit dem Schiff führt dazu, dass Ihr seekrank seid. Glücklicherweise befindet sich ein Hafiz auf dem Schiff, der aus dem heiligen Koran zitiert. "Und sie sollen darinnen getränkt werden mit einem Becher, gemischt mit Ingwer.";;Viajar por mar te causa náuseas. Por fortuna, hay un hafiz en la nave que recita el Sagrado Corán. "Allí se les servirá una copa que contendrá una mezcla de jengibre".;;;;;;;;;x
EVTOPTA86105;I feel good!;Je me sens mieux !;Ich fühle mich gut!;;¡Me siento bien!;;;;;;;;;x
EVTDESC86110;As you travel over the sea, your ship spots the sails of a well-known [christian.GetGroupName] pirate. We have a faster ship, and the chance to eliminate this threat to pilgrims forever!;Durant votre voyage en mer, le capitaine aperçoit les couleurs d'un navire [christian.GetGroupName] pirate bien connu. Nous avons un navire plus rapide, et une occasion d'éliminer à tout jamais cette menace pour nos pèlerins !;Während Ihr auf einem Schiff reist, entdeckt Euer Ausguck die Segel eines bekannten [christian.GetGroupName]en Piraten. Wir haben ein schnelleres Schiff und die Chance, diese Bedrohung für die Pilger für immer auszulöschen!;;Mientras navegas por el mar, tu nave avista las velas de un muy conocido pirata [christian.GetGroupName]. ¡Tenemos una nave más rápida y la oportunidad de eliminar esta amenaza a los peregrinos de una vez por todas.!;;;;;;;;;x
EVTOPTA86110;It's too great of a risk...;Cette entreprise est trop risquée...;Das Risiko ist zu groß ...;;Es un riesgo demasiado grande...;;;;;;;;;x
EVTOPTB86110;We must stop these infidels!;Nous devons stopper ces infidèles !;Wir müssen diese Ungläubigen aufhalten!;;¡Debemos detener a esos infieles!;;;;;;;;;x
EVTDESC86150;Nearby you see how a group of bandits have encircled a group of fellow pilgrims. It is very likely they will rob and kill them.;À proximité, vous constatez que des bandits ont encerclé un groupe de fidèles pèlerins. Ces derniers vont certainement se faire détrousser avant d'être tués.;Ihr seht, wie in der Nähe eine Gruppe von Banditen befreundete Pilger umzingelt. Es ist sehr wahrscheinlich, dass sie diese ausrauben und töten werden.;;En la cercanía divisas a un grupo de bandidos que ha rodeado a unos hermanos peregrinos. Es muy probable que los roben y los maten.;;;;;;;;;x
EVTOPTA86150;There is nothing we can do...;On ne peut rien y faire...;Wir können nichts für sie tun ...;;No hay nada que podamos hacer...;;;;;;;;;x
EVTOPTB86150;Attempt to rescue them!;Il faut tenter de les secourir !;Versucht, sie zu retten!;;¡Intenta rescatarlos!;;;;;;;;;x
EVTDESC86151;We got surrounded by bandits, and I was sure that I was soon going to be robbed and left for dead, when some fellow pilgrims arrived to save us.;Nous avons été encerclés par des bandits et j'étais certain qu'ils allaient nous détrousser avant de nous tuer. Mais de fidèles pèlerins nous ont porté secours.;Wir wurden von Banditen umzingelt und ich war mir sicher, dass ich in Kürze ausgeraubt und dem Tode überlassen werden würde, als einige befreundete Pilger uns zur Hilfe eilten.;;Unos bandidos nos rodearon, estaba seguro de que pronto me robarían y dejarían por muerto cuando unos compañeros peregrinos llegaron para salvarnos.;;;;;;;;;x
EVTOPTA86151;My brother!;Mon frère !;Mein Bruder!;;¡Hermano!;;;;;;;;;x
EVTDESC86160;One of my servants have noticed that a hated rival is camping not far from us. I know that it is against the teachings of the prophet to attack someone on Hajj, but this is a golden opportunity.;Un serviteur a remarqué que l'un de nos ennemis jurés a établi son campement non loin du nôtre. Je sais que cela va à l'encontre des enseignements du prophète que d'attaquer un pèlerin, mais c'est une opportunité en or.;Einer meiner Bediensteten stellte fest, dass ein verhasster Rivale nicht weit von uns sein Lager aufgeschlagen hat. Ich weiß, dass es gegen die Lehren des Propheten ist, jemanden während des Haddsch anzugreifen, doch dies ist eine einmalige Gelegenheit.;;Uno de mis sirvientes ha avisado de que un enconado rival acampa no muy lejos de aquí. Sé que atacar a alguien en Hajj va en contra de las enseñanzas del profeta, pero esta es una oportunidad de oro.;;;;;;;;;x
EVTOPTA86160;Attempt to ambush him in the night..;Lui tendre une embuscade de nuit...;Versucht ihn in der Nacht aus einem Hinterhalt zu überfallen ...;;Intenta emboscarlo en la noche...;;;;;;;;;x
EVTTOOLTIP86161;will face our steel!;va subir notre courroux !;wird Euren Stahl zu Gesicht bekommen!;;¡sentirá nuestro acero!;;;;;;;;;x
EVTOPTB86160;Befriend him...;S'en faire un ami...;Freundet Euch mit ihm an ...;;Entablar amistad con él...;;;;;;;;;x
EVTTOOLTIP86165;will hear our invitation.;entendra notre invitation.;wird sich Eure Einladung anhören ...;;escuchará nuestra invitación.;;;;;;;;;x
EVTOPTC86160;I'll just ignore him.;Je vais le laisser tranquille.;Ich werde ihn einfach ignorieren.;;Lo ignoraré.;;;;;;;;;x
EVTDESC86161;We have been ambushed, and it seems as if it is [From.GetTitledName] who is attempting to kill you. It is an outrage, and it clear that [From.GetSheHe] is not a proper Muslim to attempt such a vile act in the darkness!;Nous avons subi une embuscade et il semble que [From.Get_le_TitledName] essaie de vous tuer. C'est un outrage et il est évident qu'aucun musulman digne de ce nom n'aurait commis un acte aussi vil en pleine nuit !;Wir wurden aus dem Hinterhalt angegriffen und es scheint sich um [From.GetTitledName] zu handeln, der versucht mich zu töten. Es ist eine Schandtat und es ist klar, dass [From.GetSheHe] kein wahrer Moslem ist, wenn [From.GetSheHe] eine solch widerwärtige Tat in der Dunkelheit versucht!;;Nos han emboscado, y pareciera que es [From.GetTitledFirstName] quien intenta matarte. Es un ultraje, queda claro que no es un verdadero musulmán, al intentar un acto tan vil en la oscuridad. ;;;;;;;;;x
EVTOPTA86161;Fight back!;Se défendre !;Wehrt Euch!;;¡Contraatacad!;;;;;;;;;x
EVTTOOLTIP86162;is left for dead in the night..;est laissé pour mort au milieu de la nuit...;wird in der Nacht dem Tode überlassen ...;;se le deja por muerto en la noche...;;;;;;;;;x
EVTOPTB86161;Fight back!;Défendons-nous !;Wehrt Euch!;;¡Contraatacad!;;;;;;;;;x
EVTOPTC86161;We got enough time to run away..;Nous disposons de suffisamment de temps pour nous enfuir.;Wir haben genug Zeit, um davonzulaufen ...;;Tuvimos suficiente tiempo para huir...;;;;;;;;;x
EVTDESC86162;Our ambush ended in disaster... Not only did [From.GetTitledName] get away, but [From.GetSheHe] also injured me severely.;Notre embuscade a tourné au désastre... Non seulement [From.Get_le_TitledName] a réussi à s'enfuir, mais [From.GetIlElle] m'a aussi infligé de graves blessures.;Unser Hinterhalt endete in einem Desaster ... [From.GetTitledName] konnte fliehen und [From.GetSheHe] hat es außerdem noch irgendwie geschafft, mich ernsthaft zu verletzen.;;Nuestra emboscada fue un desastre... [From.GetTitledFirstName] no soloescapó, sino que me hirió de gravedad.;;;;;;;;;x
EVTOPTA86162;[From.GetTitledName] got the best of me..;[From.Get_Le_TitledName] a eu le dessus...;[From.GetTitledName] hat mich ausgetrickst ..;;[From.GetTitledFirstName] me superó...;;;;;;;;;x
EVTDESC86163;Success!\nI've left [From.GetTitledName], bleeding severely, to die in the desert...;Victoire !\nJ'ai abandonné le corps [From.Get_du_TitledName] dans le désert, saignant abondamment...;Erfolg!\nIch habe [From.GetTitledName] ernsthaft blutend in der Wüste zurückgelassen, damit er dort stirbt ... ;;¡Victoria!\nHe dejado a [From.GetTitledName] sangrando profusamente, para que muera en el desierto...;;;;;;;;;x
EVTOPTA86163;[From.GetSheHeCap] will surely die soon enough..;[From.GetIlElleCap] quittera le monde des vivants bien assez tôt...;[From.GetSheHeCap] wird sicherlich bald sterben ...;;Seguramente morirá pronto...;;;;;;;;;x
EVTDESC86164;It seems that [From.GetTitledName] got away in the quiet of the night...;Il semble que [From.Get_le_TitledName] s'est échappé dans le silence de la nuit.;Es scheint, als hätte sich [From.GetTitledName] in der Stille der Nacht davongestohlen ...;;Parece que [From.GetTitledFirstName] ha huido en el silencio de la noche...;;;;;;;;;x
EVTOPTA86164;It can't be helped...;C'est inévitable...;Daran lässt sich nichts ändern ...;;Nada puede hacerse...;;;;;;;;;x
EVTDESC86165;A messenger comes with an invitation from [From.GetTitledName] who is camped not far from us, offering to break bread and reconcile our differences.;Un messager est venu transmettre une invitation de la part [From.Get_du_TitledName] dont le camp est établi non loin du nôtre. Il nous invite à faire la paix et à nous réconcilier.;Ein Bote kommt mit einer Einladung von [From.GetTitledName], der nicht weit von uns sein Lager aufgeschlagen hat. Er bietet an, das Brot mit mir zu brechen und in einem Gespräch unsere Differenzen beizulegen.;;Un mensajero viene con una invitación de [From.GetTitledFirstName], quien acampa no muy lejos de nosotros y nos invita a compartir el pan y solucionar nuestras diferencias.;;;;;;;;;x
EVTOPTA86165;We are allies in the faith after all..;Nous sommes de la même foi, après tout...;Wir sind schließlich Brüder im Glauben ...;;Somos hermanos en la fe después de todo...;;;;;;;;;x
EVTOPTB86165;Politely Decline...;Décliner poliment...;Lehnt höflich ab ...;;Declinar cortésmente...;;;;;;;;;x
EVTDESC86166;[From.GetTitledName] has joined our camp and we are breaking bread together, reconciling our differences.;[From.Get_Le_TitledName] a rejoint notre campement pour partager un repas et nous réconcilier.;[From.GetTitledName] hat sich unserem Lager angeschlossen. Wir brechen das Brot und legen unsere Differenzen bei.;;[From.GetTitledFirstName] se ha unido a nuestro campamento y estamos compartiendo el pan y solucionando nuestras diferencias.;;;;;;;;;x
EVTOPTA86166;Subhan'Allah;Gloire à Allah;Subhan'Allah;;Subhan'Allah;;;;;;;;;x
EVTDESC86167;Honorable [Root.GetTitledName]!\nI regret to inform you that I will not be able to break bread with you today, as I need to break camp immediately.\n\n[From.GetTitledName] ;Honorable [Root.GetTitledName] !\nJe suis au regret de vous informer que je ne pourrai pas venir partager votre repas, car il me faut lever le camp sans attendre.\n\n[From.GetTitledName];Werter [Root.GetTitledName]!\nEs tut mir leid, Euch mitteilen zu müssen, dass es mir nicht möglich ist, mit Euch heute das Brot zu brechen, da ich sofort das Lager abbrechen muss.\n\n[From.GetTitledName];;¡Honorable [Root.Liege.GetTitledName]!\nLamento informarte que hoy no podré compartir el pan contigo, pues necesito partir de inmediato.\n\n[From.GetTitledName] ;;;;;;;;;x
EVTOPTA86167;We have lost face!;Nous avons perdu la face !;Wir haben das Gesicht verloren!;;¡Hemos perdido la reputación!;;;;;;;;;x
EVTDESC86170;Travelling to Mecca gives time for reflection. A [Root.GetManWoman] should not go into excess when it comes to food, and should always abstain from wine!;Voyager jusqu'à La Mecque laisse du temps pour réfléchir. Un[Root.Get_E] [Root.GetManWoman] ne doit pas céder aux excès en termes de nourriture et devrait toujours s'abstenir de boire du vin !;Die Reise nach Mekka bietet einem Zeit zum Nachdenken. Man sollte nicht der Maßlosigkeit beim Essen verfallen ... und auch auf Wein verzichten!;;Viajar a La Meca me da tiempo para reflexionar. ¡Un hombre no debe excederse cuando se trata de comida, y siempre debe abstenerse del vino!;;;;;;;;;x
EVTOPTA86170;I shall be more moderate in my eating..;Je devrais modérer mes ardeurs en termes de nourriture...;Ich sollte mich beim Essen zügeln ...;;Seré más moderado cuando coma...;;;;;;;;;x
EVTOPTB86170;Alhamdulillah!;Alhamdulillah !;Alhamdulillah!;;¡Alhamdulillah!;;;;;;;;;x
EVTDESC86180;It seems as if we have managed to get lost here in the desert. One of the humble servants seems as if he might know the right way.;Il semble que nous nous sommes perdus dans le désert. Mais l'un des serviteurs prétend connaître le chemin pour retrouver notre route.;Es scheint so, als hätten wir es geschafft, uns in der Wüste zu verirren. Einer der niederen Bediensteten könnte den richtigen Weg kennen.;;Parece que nos hemos perdido en el desierto. Uno de nuestros humildes sirvientes parece saber el camino correcto.;;;;;;;;;x
EVTOPTA86180;I am [Root.GetTitle]! I know the best way!;Je suis [Root.Get_only_le_Title][Root.GetTitle] ! Je connais le meilleur chemin !;Ich bin [Root.GetTitle]! Ich kenne den besten Weg!;;¡Yo soy [Root.GetTitle]! ¡Conozco el mejor camino!;;;;;;;;;x
EVTOPTB86180;Listen to the servant...;Faire confiance au serviteur...;Hört auf den Bediensteten ...;;Escuchar al sirviente...;;;;;;;;;x
EVTDESC86300;As you stop for camp one evening, you notice that an old man in poor clothing has made camp at the same place. The man offers to tell you a hadith he has if you can spare him some bread.;Alors que vous vous arrêtez pour établir votre campement pour la nuit, vous remarquez qu'un vieillard en guenilles s'est installé au même endroit. L'homme vous propose de réciter un hadith en échange d'un peu de pain.;Als Ihr anhaltet, um für den Abend ein Lager aufzuschlagen, bemerkt Ihr einen alten, schlecht gekleideten Mann, der am selben Ort sein Lager aufgeschlagen hat. Der Mann bietet Euch an, einen Hadith zu erzählen, sofern Ihr etwas Brot für ihn habt.;;Habiéndote detenido para acampar una noche, ves que un anciano en harapos ha acampado en el mismo sitio. El viejo te ofrece contarte un jadiz que sabe si compartes con él un poco de pan.;;;;;;;;;x
EVTOPTA86300;Listen to the old man;Écouter le vieil homme;Hört dem alten Mann zu;;Escuchar al anciano;;;;;;;;;x
EVTOPTB86300;It is just an old man...;Ce n'est qu'un vieillard...;Es ist nur ein alter Mann...;;Es solo un anciano...;;;;;;;;;x
TOOLTIP_LISTEN_TO_HADITH;You listen carefully to the old man's hadith.\n;Vous écoutez attentivement le hadith du vieil homme.\n;Ihr hört dem Hadith des alten Mannes genau zu.\n;;Escuchas con cuidado el jadiz del anciano.\n;;;;;;;;;x
EVTOPTA86320;Greed is against Islam!;L'avidité est l'ennemie de l'islam !;Gier ist gegen den Islam!;;¡La codicia es contraria al islam!;;;;;;;;;x
EVTOPTB86320;Alhamdulillah!;Alhamdulillah !;Alhamdulillah!;;¡Alhamdulillah!;;;;;;;;;x
EVTDESC86330;The old man says that, the Messenger of Allah, may Allah bless him and grant him peace, would often pray, 'O Allah! I seek your protection from anxiety and grief, from incapacity and laziness, from stinginess and cowardice, and from the burden of debt and the domination of people.';D'après le vieil homme, le Prophète, que la paix et la bénédiction d'Allah soient sur lui, a dit : 'Ô Allah ! Offre-moi ta protection l'avidité et le chagrin, contre l'incapacité et la paresse, contre l'avidité et la couardise, et contre le poids écrasant des dettes et la domination des hommes.';Der alte Mann sagt, dass der Gesandte Allahs, möge Allah ihn segnen und ihm Frieden schenken, häufig Folgendes betete: "Oh Allah! Ich suche Zuflucht bei Dir vor Kummer und Trauer, vor Unfähigkeit, Faulheit und vor Geiz und Feigheit und vor der Last der Schulden und der Erniedrigung der Menschen.";;El anciano dice que el Mensajero de Alá, al que Alá bendiga y otorgue paz, constantemente rezaba, "¡Alá! Me refugio en Ti de las preocupaciones y la tristeza, de la incapacidad y la holgazanería, de la avaricia y la cobardía, del peso de las deudas y de la opresión de los enemigos";;;;;;;;;x
EVTOPTA86330;I bow my head and say the same prayer.;J'incline la tête et récite la même prière.;Ich neige meinen Kopf und bete dasselbe Gebet.;;Agacho mi cabeza y repito la misma oración.;;;;;;;;;x
EVTOPTB86330;Alhamdulillah!;Alhamdulillah !;Alhamdulillah!;;¡Alhamdulillah!;;;;;;;;;x
